player,country,team,assists
Kevin De Bruyne,Belgium,VfL Wolfsburg,20
Zlatko Junuzović,Austria,Werder Bremen,12
Thomas Müller,Germany,Bayern München,11
 Roberto Firmino,Brazil,1899 Hoffenheim,10
Max Kruse,Germany,Bor. Mönchengladbach,9
Jonathan Schmid,France,SC Freiburg,9
Franck Ribéry,France,Bayern München,8
Arjen Robben,Netherlands,Bayern München,8
Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,7
Karim Bellarabi,Germany,Bayer Leverkusen,7
Jimmy Briand,France,Hannover 96,7
Thorgan Hazard,Belgium,Bor. Mönchengladbach,7
Haris Seferović,Switzerland,Eintracht Frankfurt,7
Hakan Çalhanoğlu,Turkey,Bayer Leverkusen,6
Gonzalo Castro,Germany,Bayer Leverkusen,6
Eric Maxim Choupo-Moting,Cameroon,FC Schalke 04,6
Takashi Inui,Japan,Eintracht Frankfurt,6
Shinji Kagawa,Japan,Borussia Dortmund,6
Robert Lewandowski,Poland,Bayern München,6
Alexandru Maxim,Romania,VfB Stuttgart,6
Shinji Okazaki,Japan,1. FSV Mainz 05,6
Valentin Stocker,Switzerland,Hertha BSC,6
Halil Altintop,Turkey,FC Augsburg,5
Abdul Rahman Baba,Ghana,FC Augsburg,5
Fin Bartels,Germany,Werder Bremen,5
Roberto Hilbert,Germany,Bayer Leverkusen,5
Hiroshi Kiyotake,Japan,Hannover 96,5
Filip Kostić,Serbia,VfB Stuttgart,5
Henrikh Mkhitaryan,Armenia,Borussia Dortmund,5
Bastian Oczipka,Germany,Eintracht Frankfurt,5
Marco Reus,Germany,Borussia Dortmund,5
Sebastian Rode,Germany,Bayern München,5
Ricardo Rodríguez,Switzerland,VfL Wolfsburg,5
Pirmin Schwegler,Switzerland,1899 Hoffenheim,5
Marc Stendera,Germany,Eintracht Frankfurt,5
 Vieirinha,Portugal,VfL Wolfsburg,5
Kevin Volland,Germany,1899 Hoffenheim,5
Tranquillo Barnetta,Switzerland,FC Schalke 04,4
Andreas Beck,Germany,1899 Hoffenheim,4
Änis Ben-Hatira,Tunisia,Hertha BSC,4
Raúl Bobadilla,Paraguay,FC Augsburg,4
Daniel Caligiuri,Germany,VfL Wolfsburg,4
Pablo de Blasis,Argentina,1. FSV Mainz 05,4
Bas Dost,Netherlands,VfL Wolfsburg,4
Christian Fuchs,Austria,FC Schalke 04,4
Karim Guédé,Slovakia,SC Freiburg,4
İlkay Gündoğan,Germany,Borussia Dortmund,4
Patrick Herrmann,Germany,Bor. Mönchengladbach,4
Klaas Jan Huntelaar,Netherlands,FC Schalke 04,4
 Jairo,Spain,1. FSV Mainz 05,4
Fabian Johnson,USA,Bor. Mönchengladbach,4
Yuya Osako,Japan,1. FC Köln,4
Ivan Perišić,Croatia,VfL Wolfsburg,4
