player,country,team,goal,penalty
Klaas Jan Huntelaar,Netherlands,FC Schalke 04,29,6
Mario Gomez,Germany,Bayern München,26,4
Robert Lewandowski,Poland,Borussia Dortmund,22,0
Claudio Pizarro,Peru,Werder Bremen,18,2
Lukas Podolski,Germany,1. FC Köln,18,3
Marco Reus,Germany,Bor. Mönchengladbach,18,0
Martin Harnik,Austria,VfB Stuttgart,17,0
Stefan Kießling,Germany,Bayer Leverkusen,16,0
 Raúl,Spain,FC Schalke 04,15,0
Vedad Ibišević,Bosnia-Herzegovina,1899 Hoffenheim,13,0
Shinji Kagawa,Japan,Borussia Dortmund,13,0
Patrick Helmes,Germany,VfL Wolfsburg,12,1
Mario Mandžukić,Croatia,VfL Wolfsburg,12,1
Franck Ribéry,France,Bayern München,12,0
Arjen Robben,Netherlands,Bayern München,12,5
Mohammed Abdellaoue,Norway,Hannover 96,11,3
Eric Maxim Choupo-Moting,Cameroon,1. FSV Mainz 05,10,0
Markus Rosenberg,Sweden,Werder Bremen,10,0
Papiss Demba Cissé,Senegal,SC Freiburg,9,1
Daniel Didavi,Germany,1. FC Nürnberg,9,0
Tomáš Pekhart,Czech Republic,1. FC Nürnberg,9,0
Sejad Salihović,Bosnia-Herzegovina,1899 Hoffenheim,9,7
 Cacau,Germany,VfB Stuttgart,8,0
Mike Hanke,Germany,Bor. Mönchengladbach,8,0
Pierre-Michel Lasogga,Germany,Hertha BSC,8,0
Eren Derdiyok,Switzerland,Bayer Leverkusen,7,0
Kevin Großkreutz,Germany,Borussia Dortmund,7,0
Thomas Müller,Germany,Bayern München,7,0
Shinji Okazaki,Japan,VfB Stuttgart,7,0
Ivan Perišić,Croatia,Borussia Dortmund,7,0
Mladen Petrić,Croatia,Hamburger SV,7,3
 Roberto Firmino,Brazil,1899 Hoffenheim,7,0
André Schürrle,Germany,Bayer Leverkusen,7,0
Mohamed Zidan,Egypt,1. FSV Mainz 05,7,0
Juan Arango,Venezuela,Bor. Mönchengladbach,6,0
Marko Arnautović,Austria,Werder Bremen,6,0
Jakub Błaszczykowski,Poland,Borussia Dortmund,6,1
Daniel Caligiuri,Germany,SC Freiburg,6,2
Mame Diouf,Senegal,Hannover 96,6,0
Mario Götze,Germany,Borussia Dortmund,6,0
Paolo Guerrero,Peru,Hamburger SV,6,0
Patrick Herrmann,Germany,Bor. Mönchengladbach,6,0
