player,country,team,assists
 Iniesta,Spain,FC Barcelona,16
Mesut Özil,Germany,Real Madrid,15
 Cesc Fàbregas,Spain,FC Barcelona,14
Lionel Messi,Argentina,FC Barcelona,12
Karim Benzema,France,Real Madrid,11
 Koke,Spain,Atlético Madrid,11
 Cristiano Ronaldo,Portugal,Real Madrid,10
Ivan Rakitić,Croatia,Sevilla FC,10
Carlos Vela,Mexico,Real Sociedad,10
Ángel Di María,Argentina,Real Madrid,9
 Ibai,Spain,Athletic Bilbao,9
Alexis Sánchez,Chile,FC Barcelona,9
 Beñat,Spain,Real Betis,8
 Joaquín,Spain,Málaga CF,8
 Valerón,Spain,Deportivo La Coruña,8
 Diego Costa,Spain,Atlético Madrid,7
Giovani dos Santos,Mexico,RCD Mallorca,7
Patrick Ebert,Germany,Real Valladolid,7
 Iago Aspas,Spain,Celta Vigo,7
 Óscar,Spain,Real Valladolid,7
 Pedro León,Spain,Getafe CF,7
 Portillo,Spain,Málaga CF,7
 Rubén Castro,Spain,Real Betis,7
 Susaeta,Spain,Athletic Bilbao,7
 Víctor,Spain,Real Zaragoza,7
 Xavi,Spain,FC Barcelona,7
 Agirretxe,Spain,Real Sociedad,6
Abdelaziz Barrada,Morocco,Getafe CF,6
 Colunga,Spain,Getafe CF,6
Tino Costa,Argentina,Valencia CF,6
 Dani Alves,Brazil,FC Barcelona,6
Gonzalo Higuaín,Argentina,Real Madrid,6
 Leo Baptistão,Brazil,Rayo Vallecano,6
 Nacho,Spain,Real Betis,6
 Pedro,Spain,FC Barcelona,6
 Pizzi,Portugal,Deportivo La Coruña,6
 Reyes,Spain,Sevilla FC,6
 Sergio García,Spain,Espanyol Barcelona,6
Mubarak Wakaso,Ghana,Espanyol Barcelona,6
 Aduriz,Spain,Athletic Bilbao,5
 Álvaro Cejudo,Spain,CA Osasuna,5
Emiliano Armenteros,Argentina,CA Osasuna,5
Alhassane Bangoura,Guinea,Rayo Vallecano,5
 Bruno Gama,Portugal,Deportivo La Coruña,5
 David Villa,Spain,FC Barcelona,5
Alejandro Domínguez,Argentina,Rayo Vallecano,5
Sofiane Féghouli,Algeria,Valencia CF,5
Augusto Fernández,Argentina,Celta Vigo,5
 Jesús Navas,Spain,Sevilla FC,5
 Jordi Alba,Spain,FC Barcelona,5
Michael Krohn-Dehli,Denmark,Celta Vigo,5
 Míchel,Spain,Levante UD,5
Luka Modrić,Croatia,Real Madrid,5
 Omar,Spain,Real Valladolid,5
 Víctor Casadesús,Spain,RCD Mallorca,5
 Xabi Alonso,Spain,Real Madrid,5
 Apoño,Spain,Real Zaragoza,4
Éver Banega,Argentina,Valencia CF,4
Diego Buonanotte,Argentina,Granada CF,4
 Casado,Spain,Rayo Vallecano,4
Gonzalo Castro,Uruguay,Real Sociedad,4
 Coke,Spain,Sevilla FC,4
 Cristian Tello,Spain,FC Barcelona,4
 Iraola,Spain,Athletic Bilbao,4
 João Pereira,Portugal,Valencia CF,4
 Jonas,Brazil,Valencia CF,4
 Juankar,Spain,Real Betis,4
Fabián Orellana,Chile,Celta Vigo,4
 Rubén Pardo,Spain,Real Sociedad,4
 Thiago,Spain,FC Barcelona,4
 Trashorras,Spain,Rayo Vallecano,4
Arda Turan,Turkey,Atlético Madrid,4
 Zurutuza,Spain,Real Sociedad,4
Abel Aguilar,Colombia,Deportivo La Coruña,3
 Aurtenetxe,Spain,Athletic Bilbao,3
 Bueno,Spain,Real Valladolid,3
Joel Campbell,Costa Rica,Real Betis,3
Aly Cissokho,France,Valencia CF,3
 Eliseu,Portugal,Málaga CF,3
 Gabi,Spain,Atlético Madrid,3
Andrés Guardado,Mexico,Valencia CF,3
Diego Ifrán,Uruguay,Real Sociedad,3
 Illarra,Spain,Real Sociedad,3
 Jonathan Viera,Spain,Valencia CF,3
 José Callejón,Spain,Real Madrid,3
 Juanfran,Spain,Atlético Madrid,3
 Kaká,Brazil,Real Madrid,3
 Manucho,Angola,Real Valladolid,3
Gary Medel,Chile,Sevilla FC,3
Pedro Morales,Chile,Málaga CF,3
Héctor Moreno,Mexico,Espanyol Barcelona,3
 Movilla,Spain,Real Zaragoza,3
Emilio N'Sue,Equatorial Guinea,RCD Mallorca,3
Dorlan Pabón,Colombia,Real Betis,3
 Roberto Lago,Spain,Celta Vigo,3
Javier Saviola,Argentina,Málaga CF,3
 Siqueira,Brazil,Granada CF,3
 Soldado,Spain,Valencia CF,3
Cristhian Stuani,Uruguay,Espanyol Barcelona,3
 Verdú,Spain,Espanyol Barcelona,3
 Xabi Prieto,Spain,Real Sociedad,3
 Abraham,Spain,Real Zaragoza,2
 Alberto Moreno,Spain,Sevilla FC,2
 Álex López,Spain,Celta Vigo,2
 Alfaro,Spain,RCD Mallorca,2
 Álvaro Rubio,Spain,Real Valladolid,2
 Álvaro Vadillo,Spain,Real Betis,2
 Ander Herrera,Spain,Athletic Bilbao,2
 Arbeloa,Spain,Real Madrid,2
 Barkero,Spain,Levante UD,2
 Busquets,Spain,FC Barcelona,2
 Canales,Spain,Valencia CF,2
 Carlos Martínez,Spain,Real Sociedad,2
 Cicinho,Brazil,Sevilla FC,2
 De la Bella,Spain,Real Sociedad,2
 De Marcos,Spain,Athletic Bilbao,2
 Diego Castro,Spain,Getafe CF,2
 Filipe Luís,Brazil,Atlético Madrid,2
 Gavilán,Spain,Getafe CF,2
Diego Godín,Uruguay,Atlético Madrid,2
Antoine Griezmann,France,Real Sociedad,2
Tomer Hemed,Israel,RCD Mallorca,2
Odion Ighalo,Nigeria,Granada CF,2
 Juan Bernat,Spain,Valencia CF,2
 Juanfran,Spain,Levante UD,2
 Juanma Ortiz,Spain,Granada CF,2
Sami Khedira,Germany,Real Madrid,2
Roland Lamah,Belgium,CA Osasuna,2
 Lolo,Spain,CA Osasuna,2
 Lucas Piazón,Brazil,Málaga CF,2
 Mané,Spain,Getafe CF,2
 Manuel Pablo,Spain,Deportivo La Coruña,2
 Martín Montoya,Spain,FC Barcelona,2
Obafemi Martins,Nigeria,Levante UD,2
 Miranda,Brazil,Atlético Madrid,2
 Nacho Monreal,Spain,Málaga CF,2
 Navarro,Spain,Levante UD,2
Allan Nyom,Cameroon,Granada CF,2
 Parejo,Spain,Valencia CF,2
Pablo Piatti,Argentina,Valencia CF,2
 Piti,Spain,Rayo Vallecano,2
Adil Rami,France,Valencia CF,2
 Raúl García,Spain,Atlético Madrid,2
 Riki,Spain,Deportivo La Coruña,2
 Rubén García,Spain,Levante UD,2
Antonio Rukavina,Serbia,Real Valladolid,2
Roque Santa Cruz,Paraguay,Málaga CF,2
 Simão,Portugal,Espanyol Barcelona,2
 Víctor Álvarez,Spain,Espanyol Barcelona,2
 Víctor Ruiz,Spain,Valencia CF,2
 Xavi Torres,Spain,Getafe CF,2
 Adrián,Spain,Rayo Vallecano,1
 Adrián,Spain,Atlético Madrid,1
 Adriano,Brazil,FC Barcelona,1
 Álex,Spain,Deportivo La Coruña,1
 Álex Martínez,Spain,Real Betis,1
 Ángel,Spain,Levante UD,1
 Antonio Luna,Spain,RCD Mallorca,1
 Antunes,Portugal,Málaga CF,1
Dudu Aouate,Israel,RCD Mallorca,1
 Aranda,Spain,Granada CF,1
 Arizmendi,Spain,RCD Mallorca,1
 Aythami Artiles,Spain,Deportivo La Coruña,1
 Balenziaga,Spain,Real Valladolid,1
 Ballesteros,Spain,Levante UD,1
Emre Belözoğlu,Turkey,Atlético Madrid,1
Henri Bienvenu,Cameroon,Real Zaragoza,1
 Borja,Spain,Getafe CF,1
Yacine Brahimi,Algeria,Granada CF,1
 Cañas,Spain,Real Betis,1
Diego Colotto,Argentina,Espanyol Barcelona,1
 Cote,Spain,Real Sociedad,1
 Cristian Gómez,Spain,Espanyol Barcelona,1
 Damiá,Spain,CA Osasuna,1
 Dani Aquino,Spain,Atlético Madrid,1
 Dani Benítez,Spain,Granada CF,1
