player,country,team,assists
Eden Hazard,Belgium,Lille OSC,15
Jérémy Ménez,France,Paris Saint-Germain,12
 Nenê,Brazil,Paris Saint-Germain,11
Mathieu Valbuena,France,Olympique Marseille,11
Julien Féret,France,Stade Rennes,10
Olivier Giroud,France,Montpellier HSC,10
Marvin Martin,France,FC Sochaux,9
Cédric Barbosa,France,Évian Thonon Gaillard,8
 Michel Bastos,Brazil,Olympique Lyon,8
Frédéric Bulot,Gabon,SM Caen,7
Yohan Mollo,France,AS Nancy,7
Dimitri Payet,France,Lille OSC,7
Pierre-Emerick Aubameyang,Gabon,AS Saint-Étienne,6
Jimmy Briand,France,Olympique Lyon,6
Jonathan Pitroipa,Burkina Faso,Stade Rennes,6
Éric Bauthéac,France,Dijon FCO,5
Younès Belhanda,Morocco,Montpellier HSC,5
Ryad Boudebouz,Algeria,FC Sochaux,5
Johan Cavalli,France,AC Ajaccio,5
Thomas Guerbert,France,Dijon FCO,5
Christophe Jallet,France,Paris Saint-Germain,5
Yann Jouffre,France,FC Lorient,5
Christian Kinkela,Congo DR,AC Ajaccio,5
Ludovic Obraniak,Poland,Girondins Bordeaux,5
Javier Pastore,Argentina,Paris Saint-Germain,5
Jaroslav Plašil,Czech Republic,Girondins Bordeaux,5
Loïc Rémy,France,Olympique Marseille,5
Yannick Sagbo,Ivory Coast,Évian Thonon Gaillard,5
Vincent Aboubakar,Cameroon,Valenciennes FC,4
Morgan Amalfitano,France,Olympique Marseille,4
Garry Bocaly,France,Montpellier HSC,4
Souleymane Camara,Senegal,Montpellier HSC,4
Renaud Cohade,France,Valenciennes FC,4
Bruno Grougi,Martinique,Stade Brest,4
Brice Jovial,France,Dijon FCO,4
Thomas Kahlenberg,Denmark,Évian Thonon Gaillard,4
Kim Källström,Sweden,Olympique Lyon,4
Saber Khalifa,Tunisia,Évian Thonon Gaillard,4
Nicolas Maurice-Belay,France,Girondins Bordeaux,4
Arnold Mvuemba,France,FC Lorient,4
Dennis Oliech,Kenya,AJ Auxerre,4
Benoît Pedretti,France,Lille OSC,4
Ben Sahar,Israel,AJ Auxerre,4
Franck Tabanou,France,Toulouse FC,4
Laurent Batlles,France,AS Saint-Étienne,3
Mathieu Bodmer,France,Paris Saint-Germain,3
Étienne Capoue,France,Toulouse FC,3
Kamel Chafni,Morocco,AJ Auxerre,3
Renato Civelli,Argentina,OGC Nice,3
Roy Contout,French Guyana,AJ Auxerre,3
Romain Danzé,France,Stade Rennes,3
Cheick Diabaté,Mali,Girondins Bordeaux,3
Marco Estrada,Chile,Montpellier HSC,3
Bafétimbi Gomis,France,Olympique Lyon,3
Yoan Gouffran,France,Girondins Bordeaux,3
Max Gradel,Ivory Coast,AS Saint-Étienne,3
Foued Kadir,Algeria,Valenciennes FC,3
Lossémy Karaboué,Ivory Coast,AS Nancy,3
Reynald Lemaître,France,AS Nancy,3
Kévin Monnet-Paquet,France,FC Lorient,3
Bănel Nicoliţă,Romania,AS Saint-Étienne,3
Romain Poyet,France,Stade Brest,3
Nolan Roux,France,Lille OSC,3
Benoît Trémoulinas,France,Girondins Bordeaux,3
Jérémie Aliadiére,France,FC Lorient,2
Benjamin André,France,AC Ajaccio,2
Sylvain Armand,France,Paris Saint-Germain,2
Jordan Ayew,Ghana,Olympique Marseille,2
 Azpilicueta,Spain,Olympique Marseille,2
Eden Ben Basat,Israel,Stade Brest,2
Razak Boukari,Togo,Stade Rennes,2
Grégory Bourillon,France,FC Lorient,2
Clément Chantôme,France,Paris Saint-Germain,2
Joe Cole,England,Lille OSC,2
Sébastien Corchia,France,FC Sochaux,2
Benjamin Corgnet,France,Dijon FCO,2
Mehdi Courgnaud,France,Dijon FCO,2
Mouhamadou Dabo,France,Olympique Lyon,2
Gaël Danic,France,Valenciennes FC,2
Fousseni Diawara,Mali,AC Ajaccio,2
Étienne Didot,France,Toulouse FC,2
Dariusz Dudka,Poland,AJ Auxerre,2
 Eduardo,Brazil,AC Ajaccio,2
Fabrice Ehret,France,Évian Thonon Gaillard,2
Mevlüt Erdinç,Turkey,Paris Saint-Germain,2
 Esmaël Gonçalves,Portugal,OGC Nice,2
Kevin Gameiro,France,Paris Saint-Germain,2
Maxime Gonalons,France,Olympique Lyon,2
Clément Grenier,France,Olympique Lyon,2
Abraham Guié-Guié,Ivory Coast,OGC Nice,2
Youssouf Hadji,Morocco,AS Nancy,2
Romain Hamouma,France,SM Caen,2
Guillaume Hoarau,France,Paris Saint-Germain,2
Lynel Kitambala,France,AS Saint-Étienne,2
Paul Lasne,France,AC Ajaccio,2
Anthony Le Tallec,France,AJ Auxerre,2
Fabien Lemoine,France,AS Saint-Étienne,2
Camel Meriem,France,OGC Nice,2
Victor Montaño,Colombia,Stade Rennes,2
Anthony Mounier,France,OGC Nice,2
Livio Nabab,Guadeloupe,SM Caen,2
Daniel Niculae,Romania,AS Nancy,2
Miralem Pjanić,Bosnia-Herzegovina,Olympique Lyon,2
Grégory Proment,France,SM Caen,2
Adrien Regattin,Morocco,Toulouse FC,2
Anthony Réveillère,France,Olympique Lyon,2
Henri Saivet,Senegal,Girondins Bordeaux,2
Bakary Sako,Mali,AS Saint-Étienne,2
Lamine Sané,Senegal,Girondins Bordeaux,2
Moussa Sissoko,France,Toulouse FC,2
Moussa Sow,Senegal,Lille OSC,2
Benjamin Stambouli,France,Montpellier HSC,2
Damien Tibéri,France,AC Ajaccio,2
Eric Tié Bi,France,Évian Thonon Gaillard,2
Siaka Tiéné,Ivory Coast,Paris Saint-Germain,2
Alain Traoré,Burkina Faso,AJ Auxerre,2
Kandia Traoré,Ivory Coast,SM Caen,2
 Túlio de Melo,Brazil,Lille OSC,2
Daniel Wass,Denmark,Évian Thonon Gaillard,2
Fabrice Abriel,France,OGC Nice,1
Karim Aït Fana,Morocco,Montpellier HSC,1
Alexandre Alphonse,Guadeloupe,Stade Brest,1
Adama Bâ,Mauritania,Stade Brest,1
Florent Balmont,France,Lille OSC,1
Henri Bédimo,Cameroon,Montpellier HSC,1
David Bellion,France,Girondins Bordeaux,1
Franck Béria,France,Lille OSC,1
Milan Biševac,Serbia,Paris Saint-Germain,1
Yacine Brahimi,Algeria,Stade Rennes,1
 Brandão,Brazil,Olympique Marseille,1
Edouard Butin,France,FC Sochaux,1
Jean Calvé,France,AS Nancy,1
Cédric Cambon,France,Évian Thonon Gaillard,1
Joel Campbell,Costa Rica,FC Lorient,1
Benoît Cheyrou,France,Olympique Marseille,1
Michaël Ciani,France,Girondins Bordeaux,1
Édouard Cissé,France,AJ Auxerre,1
Aly Cissokho,France,Olympique Lyon,1
François Clerc,France,OGC Nice,1
Kafoumba Coulibaly,Ivory Coast,OGC Nice,1
Mathieu Coutadeur,France,FC Lorient,1
Stéphane Dalmat,France,Stade Rennes,1
Mathieu Debuchy,France,Lille OSC,1
Geoffrey Dernis,France,Montpellier HSC,1
Antoine Devaux,France,Toulouse FC,1
