player,country,team,goal,penalty
Edinson Cavani,Uruguay,Paris Saint-Germain,28,3
Florian Thauvin,France,Olympique Marseille,22,3
Memphis Depay,Netherlands,Olympique Lyon,19,2
 Neymar,Brazil,Paris Saint-Germain,19,4
Mario Balotelli,Italy,OGC Nice,18,6
Radamel Falcao,Colombia,AS Monaco,18,3
Nabil Fekir,France,Olympique Lyon,18,3
 Mariano,Dom. Republic,Olympique Lyon,18,1
Karl Toko Ekambi,Cameroon,Angers SCO,17,3
Alassane Pléa,France,OGC Nice,16,1
 Rony Lopes,Portugal,AS Monaco,15,0
Nolan Roux,France,FC Metz,15,0
Moussa Konaté,Senegal,Amiens SC,13,2
Kylian Mbappé,France,AS Monaco,13,0
Nicolas Pépé,Ivory Coast,Lille OSC,13,1
Bertrand Traoré,Burkina Faso,Olympique Lyon,13,0
 Júlio Tavares,Cape Verde,Dijon FCO,12,3
 Malcom,Brazil,Girondins Bordeaux,12,2
Emiliano Sala,Argentina,FC Nantes,12,4
Jimmy Briand,France,EA Guingamp,11,3
Ángel Di María,Argentina,Paris Saint-Germain,11,0
Chang-hoon Kwon,South Korea,Dijon FCO,11,0
Ivan Santini,Croatia,SM Caen,11,5
Benjamin Bourigeaud,France,Stade Rennes,10,3
Giovanni Sio,Ivory Coast,Montpellier HSC,10,0
Valère Germain,France,Olympique Marseille,9,0
Wahbi Khazri,Tunisia,Stade Rennes,9,3
Kostas Mitroglou,Greece,Olympique Marseille,9,0
Lucas Ocampos,Argentina,Olympique Marseille,9,0
Wesley Saïd,France,Dijon FCO,9,0
Morgan Sanson,France,Olympique Marseille,9,0
Keita Baldé,Senegal,AS Monaco,8,0
Rémy Cabella,France,AS Saint-Étienne,8,1
Max Gradel,Ivory Coast,Toulouse FC,8,4
Stevan Jovetić,Montenegro,AS Monaco,8,0
François Kamano,Guinea,Girondins Bordeaux,8,1
Isaac Mbenza,Belgium,Montpellier HSC,8,0
Adama Niane,Mali,ESTAC Troyes,8,2
Stéphane Bahoken,France,RC Strasbourg,7,0
Jonathan Bamba,France,AS Saint-Étienne,7,4
Robert Berić,Slovenia,AS Saint-Étienne,7,1
 Fabinho,Brazil,AS Monaco,7,4
Florent Mollet,France,FC Metz,7,1
Clinton N'Jie,Cameroon,Olympique Marseille,7,0
Younousse Sankharé,Senegal,Girondins Bordeaux,7,0
Naïm Sliti,Tunisia,Dijon FCO,7,2
Houssem Aouar,France,Olympique Lyon,6,0
Nicolas de Préville,France,Girondins Bordeaux,6,1
Gaël Kakuta,France,Amiens SC,6,0
Ndombe Mubele,Congo DR,Stade Rennes,6,0
Dimitri Payet,France,Olympique Marseille,6,2
Yaya Sanogo,France,Toulouse FC,6,0
Hyun-jun Suk,South Korea,ESTAC Troyes,6,0
Jean-Eudes Aholou,Ivory Coast,RC Strasbourg,5,0
Andy Delort,France,Toulouse FC,5,1
Moustapha Diallo,Senegal,EA Guingamp,5,0
Clément Grenier,France,EA Guingamp,5,2
Romain Hamouma,France,AS Saint-Étienne,5,0
Adrien Hunou,France,Stade Rennes,5,0
Saîf-Eddine Khaoui,Tunisia,ESTAC Troyes,5,0
Pierre Lees-Melou,France,OGC Nice,5,1
Dimitri Liénard,France,RC Strasbourg,5,1
 Luiz Araujo,Brazil,Lille OSC,5,0
 Luiz Gustavo,Brazil,Olympique Marseille,5,0
Lebo Mothiba,South Africa,Lille OSC,5,0
 Nuno Da Costa,Cape Verde,RC Strasbourg,5,0
Emmanuel Rivière,France,FC Metz,5,2
Ronny Rodelin,France,SM Caen,5,0
Ismaïla Sarr,Senegal,Stade Rennes,5,0
Adrien Thomasson,France,FC Nantes,5,0
Martin Braithwaite,Denmark,Girondins Bordeaux,4,0
Guido Carrillo,Argentina,AS Monaco,4,0
Maxwel Cornet,Ivory Coast,Olympique Lyon,4,0
Damien Da Silva,France,SM Caen,4,0
Mathieu Debuchy,France,AS Saint-Étienne,4,0
Julian Draxler,Germany,Paris Saint-Germain,4,0
Anwar el Ghazi,Netherlands,Lille OSC,4,0
Benjamin Jeannot,France,Dijon FCO,4,0
James Lea Siliki,France,Stade Rennes,4,0
Giovani Lo Celso,Argentina,Paris Saint-Germain,4,0
Harisson Manzala,France,Amiens SC,4,1
Jonas Martin,France,RC Strasbourg,4,3
Alexandre Mendy,France,Girondins Bordeaux,4,0
Thomas Meunier,Belgium,Paris Saint-Germain,4,0
Christopher Nkunku,France,Paris Saint-Germain,4,0
Javier Pastore,Argentina,Paris Saint-Germain,4,0
Idriss Saâdi,Algeria,RC Strasbourg,4,0
Ellyes Skhiri,Tunisia,Montpellier HSC,4,0
Flavien Tait,France,Angers SCO,4,0
Benjamin André,France,Stade Rennes,3,0
Yacine Bammou,Morocco,FC Nantes,3,0
Nicolas Benezet,France,EA Guingamp,3,0
Ludovic Blas,France,EA Guingamp,3,0
Jérémy Blayac,France,RC Strasbourg,3,0
Enzo Crivelli,France,Angers SCO,3,0
Stéphane Darbion,France,ESTAC Troyes,3,0
Issa Diop,France,Toulouse FC,3,0
Léo Dubois,France,FC Nantes,3,0
Jimmy Durmaz,Sweden,Toulouse FC,3,3
Angelo Fulgini,France,Angers SCO,3,0
Serge Gakpé,Togo,Amiens SC,3,0
Kamil Glik,Poland,AS Monaco,3,0
Samuel Grandsir,France,ESTAC Troyes,3,0
 Hernani,Brazil,AS Saint-Étienne,3,0
Gaëtan Laborde,France,Girondins Bordeaux,3,1
Kenny Lala,France,RC Strasbourg,3,3
Lukas Lerager,Denmark,Girondins Bordeaux,3,0
 Marcelo,Brazil,Olympique Lyon,3,0
Yeni N'Gbakoto,France,EA Guingamp,3,1
Préjuce Nakoulma,Burkina Faso,FC Nantes,3,0
Jérôme Roussillon,France,Montpellier HSC,3,0
Allan Saint-Maximin,France,AS Monaco,3,0
Yannis Salibur,France,EA Guingamp,3,0
Bassem Srarfi,Tunisia,OGC Nice,3,0
Martin Terrier,France,RC Strasbourg,3,0
 Thiago Mendes,Brazil,Lille OSC,3,0
Marcus Thuram,France,EA Guingamp,3,0
Adama Traoré,Mali,AS Monaco,3,0
Ismaël Traoré,Ivory Coast,Angers SCO,3,0
Cédric Yamberé,France,Dijon FCO,3,0
Junior Alonso,Paraguay,Lille OSC,2,0
Yves Bissouma,Mali,Lille OSC,2,0
Abdoul Camara,Guinea,EA Guingamp,2,0
Souleymane Camara,Senegal,Montpellier HSC,2,0
Pierrick Capelle,France,Angers SCO,2,0
Marcus Coco,France,EA Guingamp,2,0
Wylan Cyprien,France,OGC Nice,2,0
Bryan Dabo,France,AS Saint-Étienne,2,1
Lucas Deaux,France,EA Guingamp,2,0
Adama Diakhaby,France,AS Monaco,2,0
Étienne Didot,France,EA Guingamp,2,0
Rachid Ghezzal,Algeria,AS Monaco,2,0
Joris Gnagnon,France,Stade Rennes,2,0
 Jemerson,Brazil,AS Monaco,2,0
 Jonathan Cafú,Brazil,Girondins Bordeaux,2,0
Christopher Jullien,France,Toulouse FC,2,0
