Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Paris SG,38,24,11,3,83,36,47,83,440,63,3,480,221
2,Lyon,38,22,9,7,72,33,39,75,581,64,1,523,219
3,Monaco,38,20,11,7,51,26,25,71,506,58,5,451,165
4,Marseille,38,21,6,11,76,42,34,69,552,65,6,578,203
5,St Etienne,38,19,12,7,51,30,21,69,557,66,2,445,152
6,Bordeaux,38,17,12,9,47,44,3,63,503,61,5,486,159
7,Montpellier,38,16,8,14,46,39,7,56,518,51,1,394,142
8,Lille,38,16,8,14,43,42,1,56,462,63,4,461,148
9,Rennes,38,13,11,14,35,42,-7,50,482,55,1,360,125
10,Guingamp,38,15,4,19,41,55,-14,49,476,58,7,354,135
11,Nice,38,13,9,16,44,53,-9,48,546,84,6,414,139
12,Bastia,38,12,11,15,37,46,-9,47,567,76,5,319,119
13,Caen,38,12,10,16,54,55,-1,46,447,43,6,459,156
14,Nantes,38,11,12,15,29,40,-11,45,567,70,3,419,135
15,Reims,38,12,8,18,47,66,-19,44,544,76,4,436,137
16,Lorient,38,12,7,19,44,50,-6,43,456,54,2,481,173
17,Toulouse,38,12,6,20,43,64,-21,42,578,61,5,428,127
18,Evian Thonon Gaillard,38,11,4,23,41,62,-21,37,533,66,4,328,102
19,Metz,38,7,9,22,31,61,-30,30,595,71,3,447,149
20,Lens,38,7,8,23,32,61,-29,29,552,70,5,407,126
