player,country,team,goal,penalty
Harry Kane,England,Tottenham Hotspur,29,5
Romelu Lukaku,Belgium,Everton FC,25,1
Alexis Sánchez,Chile,Arsenal FC,24,2
Kun Agüero,Argentina,Manchester City,20,4
 Diego Costa,Spain,Chelsea FC,20,0
Dele Alli,England,Tottenham Hotspur,18,1
Zlatan Ibrahimović,Sweden,Manchester United,17,2
Eden Hazard,Belgium,Chelsea FC,16,2
Joshua King,Norway,AFC Bournemouth,16,2
Christian Benteke,Belgium,Crystal Palace,15,2
Jermain Defoe,England,Sunderland AFC,15,5
 Llorente,Spain,Swansea City,15,0
Heung-min Son,South Korea,Tottenham Hotspur,14,0
 Coutinho,Brazil,Liverpool FC,13,0
Sadio Mané,Senegal,Liverpool FC,13,0
Jamie Vardy,England,Leicester City,13,0
Olivier Giroud,France,Arsenal FC,12,0
 Roberto Firmino,Brazil,Liverpool FC,11,0
Troy Deeney,England,Watford FC,10,3
 Pedro,Spain,Chelsea FC,10,0
Sam Vokes,Wales,Burnley FC,10,2
Theo Walcott,England,Arsenal FC,10,0
 Álvaro Negredo,Spain,Middlesbrough FC,9,2
Michail Antonio,England,West Ham United,9,0
Andre Gray,England,Burnley FC,9,2
Gylfi Sigurðsson,Iceland,Swansea City,9,3
Christian Eriksen,Denmark,Tottenham Hotspur,8,0
Adam Lallana,England,Liverpool FC,8,0
Manuel Lanzini,Argentina,West Ham United,8,2
Mesut Özil,Germany,Arsenal FC,8,0
Salomón Rondón,Venezuela,West Bromwich Albion,8,0
 Willian,Brazil,Chelsea FC,8,0
Étienne Capoue,France,Watford FC,7,0
Andy Carroll,England,West Ham United,7,0
Peter Crouch,England,Stoke City,7,0
 Gabriel Jesus,Brazil,Manchester City,7,1
James Milner,England,Liverpool FC,7,7
Divock Origi,Belgium,Liverpool FC,7,0
Nathan Redmond,England,Southampton FC,7,0
Islam Slimani,Algeria,Leicester City,7,1
Robert Snodgrass,Scotland,Hull City,7,2
Junior Stanislas,England,AFC Bournemouth,7,2
Raheem Sterling,England,Manchester City,7,0
Wilfried Zaha,Ivory Coast,Crystal Palace,7,0
Benik Afobe,Congo DR,AFC Bournemouth,6,0
Joe Allen,Wales,Stoke City,6,0
Marko Arnautović,Austria,Stoke City,6,0
Charlie Austin,England,Southampton FC,6,2
André Ayew,Ghana,West Ham United,6,0
Ashley Barnes,England,Burnley FC,6,2
Gary Cahill,England,Chelsea FC,6,0
Kevin De Bruyne,Belgium,Manchester City,6,0
Leroy Fer,Netherlands,Swansea City,6,0
Riyad Mahrez,Algeria,Leicester City,6,3
 Marcos Alonso,Spain,Chelsea FC,6,0
 Mata,Spain,Manchester United,6,0
Gareth McAuley,Northern Ireland,West Bromwich Albion,6,0
Georginio Wijnaldum,Netherlands,Liverpool FC,6,0
Callum Wilson,England,AFC Bournemouth,6,3
Ross Barkley,England,Everton FC,5,0
Michy Batshuayi,Belgium,Chelsea FC,5,0
Emre Can,Germany,Liverpool FC,5,0
 Cesc Fàbregas,Spain,Chelsea FC,5,0
Nacer Chadli,Belgium,West Bromwich Albion,5,1
James McArthur,Scotland,Crystal Palace,5,0
James Morrison,Scotland,West Bromwich Albion,5,0
Paul Pogba,France,Manchester United,5,0
Marcus Rashford,England,Manchester United,5,0
Jay Rodriguez,England,Southampton FC,5,0
Wayne Rooney,England,Manchester United,5,1
Leroy Sané,Germany,Manchester City,5,0
Yaya Touré,Ivory Coast,Manchester City,5,2
Patrick van Aanholt,Netherlands,Crystal Palace,5,0
Yohan Cabaye,France,Crystal Palace,4,0
Séamus Coleman,Ireland,Everton FC,4,0
Charlie Daniels,England,AFC Bournemouth,4,0
 David Silva,Spain,Manchester City,4,0
Craig Dawson,England,West Bromwich Albion,4,0
Marten de Roon,Netherlands,Middlesbrough FC,4,0
Manolo Gabbiadini,Italy,Southampton FC,4,0
Abel Hernández,Uruguay,Hull City,4,0
Kelechi Iheanacho,Nigeria,Manchester City,4,0
Anthony Martial,France,Manchester United,4,0
Alfie Mawson,England,Swansea City,4,0
Kevin Mirallas,Belgium,Everton FC,4,0
Henrikh Mkhitaryan,Armenia,Manchester United,4,0
Oumar Niasse,Senegal,Hull City,4,0
 Nolito,Spain,Manchester City,4,0
Stefano Okaka,Italy,Watford FC,4,0
Matt Phillips,Scotland,West Bromwich Albion,4,0
Xherdan Shaqiri,Switzerland,Stoke City,4,0
Cristhian Stuani,Uruguay,Middlesbrough FC,4,0
Jon Walters,Ireland,Stoke City,4,1
Victor Wanyama,Kenya,Tottenham Hotspur,4,0
James Ward-Prowse,England,Southampton FC,4,0
Nathan Aké,Netherlands,AFC Bournemouth,3,0
