Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Chelsea,38,26,9,3,73,32,41,87,382,77,4,563,210
2,Man City,38,24,7,7,83,38,45,79,445,77,2,668,228
3,Arsenal,38,22,9,7,71,36,35,75,377,68,2,612,228
4,Man United,38,20,10,8,62,37,25,70,453,64,5,509,179
5,Tottenham,38,19,7,12,58,53,5,64,441,79,4,524,172
6,Liverpool,38,18,8,12,52,48,4,62,385,66,3,590,194
7,Southampton,38,18,6,14,54,33,21,60,468,57,3,506,170
8,Swansea,38,16,8,14,46,49,-3,56,398,48,5,422,147
9,Stoke,38,15,9,14,48,45,3,54,486,82,1,501,136
10,Crystal Palace,38,13,9,16,47,51,-4,48,527,63,4,438,139
11,Everton,38,12,11,15,48,50,-2,47,388,66,2,484,166
12,West Ham,38,12,11,15,44,47,-3,47,420,64,2,485,152
13,West Brom,38,11,11,16,38,51,-13,44,423,64,3,411,130
14,Leicester,38,11,8,19,46,55,-9,41,457,49,4,457,137
15,Newcastle,38,10,9,19,40,63,-23,39,433,66,7,467,143
16,Sunderland,38,7,17,14,31,53,-22,38,435,94,3,404,129
17,Aston Villa,38,10,8,20,31,57,-26,38,400,70,7,414,127
18,Hull,38,8,11,19,33,51,-18,35,451,71,6,429,131
19,Burnley,38,7,12,19,28,53,-25,33,406,64,2,429,125
20,QPR,38,8,6,24,42,73,-31,30,447,75,3,533,151
