player,country,team,goal,penalty
Antonio Di Natale,Italy,Udinese Calcio,28,5
Edinson Cavani,Uruguay,SSC Napoli,26,5
Samuel Eto'o,Cameroon,Inter,21,5
Alessandro Matri,Italy,Cagliari Calcio,20,1
Marco Di Vaio,Italy,Bologna FC,19,1
Giampaolo Pazzini,Italy,Inter,17,2
Francesco Totti,Italy,AS Roma,15,8
 Alexandre Pato,Brazil,AC Milan,14,0
Zlatan Ibrahimović,Sweden,AC Milan,14,3
 Robinho,Brazil,AC Milan,14,0
Antonio Floro Flores,Italy,Genoa CFC,13,0
Andrea Caracciolo,Italy,Brescia Calcio,12,4
Alberto Gilardino,Italy,ACF Fiorentina,12,0
Alexis Sánchez,Chile,Udinese Calcio,12,0
Marco Borriello,Italy,AC Milan,11,1
Marek Hamšík,Slovakia,SSC Napoli,11,2
 Hernanes,Brazil,Lazio Roma,11,1
Javier Pastore,Argentina,US Palermo,11,0
Sergio Pellissier,Italy,Chievo Verona,11,1
Mirko Vučinić,Montenegro,AS Roma,10,1
Hernán Crespo,Argentina,Parma FC,9,3
Luis Jiménez,Chile,AC Cesena,9,2
Fabrizio Miccoli,Italy,US Palermo,9,0
Rodrigo Palacio,Argentina,Genoa CFC,9,1
Fabio Quagliarella,Italy,Juventus,9,0
Mauro Zárate,Argentina,Lazio Roma,9,2
Robert Acquafresca,Italy,Cagliari Calcio,8,0
Erjon Bogdani,Albania,AC Cesena,8,1
Antonio Cassano,Italy,AC Milan,8,4
Alessandro Del Piero,Italy,Juventus,8,3
David Di Michele,Italy,US Lecce,8,0
Sergio Floccari,Italy,Lazio Roma,8,0
Josip Iličič,Slovenia,US Palermo,8,0
Maxi López,Argentina,Calcio Catania,8,1
Mauricio Pinilla,Chile,US Palermo,8,1
 Amauri,Italy,Juventus,7,0
Esteban Cambiasso,Argentina,Inter,7,0
Alessio Cerci,Italy,ACF Fiorentina,7,0
Emanuele Giaccherini,Italy,AC Cesena,7,0
Sebastian Giovinco,Italy,Parma FC,7,0
Miloš Krasić,Serbia,Juventus,7,0
Daniele Corvia,Italy,US Lecce,6,1
Alessandro Diamanti,Italy,Brescia Calcio,6,1
 Éder,Italy,Brescia Calcio,6,0
Libor Kozák,Czech Republic,Lazio Roma,6,1
Ezequiel Lavezzi,Argentina,SSC Napoli,6,0
Stefano Mauri,Italy,Lazio Roma,6,0
Davide Moscardelli,Italy,Chievo Verona,6,0
 Nenê,Brazil,Cagliari Calcio,6,0
Nicola Pozzi,Italy,Sampdoria,6,2
Matías Silvestre,Argentina,Calcio Catania,6,0
Gonzalo Bergessio,Argentina,Calcio Catania,5,0
Daniele Conti,Italy,Cagliari Calcio,5,0
Gaetano D'Agostino,Italy,ACF Fiorentina,5,1
Stefano Guberti,Italy,Sampdoria,5,0
Massimo Maccarone,Italy,Sampdoria,5,1
Diego Milito,Argentina,Inter,5,0
Marco Parolo,Italy,AC Cesena,5,0
Dejan Stanković,Serbia,Inter,5,0
Luca Toni,Italy,Genoa CFC,5,1
 Barreto,Brazil,AS Bari,4,2
Cesare Bovo,Italy,US Palermo,4,1
Andrea Cossu,Italy,Cagliari Calcio,4,0
Germán Denis,Argentina,Udinese Calcio,4,0
 Fábio Simplício,Brazil,AS Roma,4,0
Papu Gómez,Argentina,Calcio Catania,4,0
Vincenzo Iaquinta,Italy,Juventus,4,0
 Jeda,Brazil,US Lecce,4,1
Christian Maggio,Italy,SSC Napoli,4,0
Claudio Marchisio,Italy,Juventus,4,0
Giuseppe Mascara,Italy,Calcio Catania,4,1
Adrian Mutu,Romania,ACF Fiorentina,4,0
Antonio Nocerino,Italy,US Palermo,4,0
Rubén Olivera,Uruguay,US Lecce,4,0
Simone Pepe,Italy,Juventus,4,0
Gastón Ramírez,Uruguay,Bologna FC,4,0
Mario Santana,Argentina,ACF Fiorentina,4,0
Clarence Seedorf,Netherlands,AC Milan,4,0
Wesley Sneijder,Netherlands,Inter,4,0
 Thiago Motta,Italy,Inter,4,0
Juan Vargas,Peru,ACF Fiorentina,4,0
Medhi Benatia,Morocco,Udinese Calcio,3,0
Andrea Bertolacci,Italy,US Lecce,3,0
Giuseppe Biava,Italy,Lazio Roma,3,0
Kevin-Prince Boateng,Ghana,AC Milan,3,0
Valeri Bojinov,Bulgaria,Parma FC,3,0
Miguel Britos,Uruguay,Bologna FC,3,0
Antonio Candreva,Italy,Parma FC,3,0
Boštjan Cesar,Slovenia,Chievo Verona,3,0
Guillermo Giacomazzi,Uruguay,US Lecce,3,0
Henry Giménez,Uruguay,Bologna FC,3,0
Francesco Grandolfo,Italy,AS Bari,3,0
Abel Hernández,Uruguay,US Palermo,3,0
Gökhan Inler,Switzerland,Udinese Calcio,3,0
Adem Ljajić,Serbia,ACF Fiorentina,3,2
Francesco Lodi,Italy,Calcio Catania,3,0
Edward Ofere,Nigeria,US Lecce,3,0
Raffaele Palladino,Italy,Genoa CFC,3,0
Simone Perrotta,Italy,AS Roma,3,0
Ignacio Piatti,Argentina,US Lecce,3,0
Tommaso Rocchi,Italy,Lazio Roma,3,0
Gergely Rudolf,Hungary,AS Bari,3,0
Cristian Zaccardo,Italy,Parma FC,3,0
 André Dias,Brazil,Lazio Roma,2,0
Alberto Aquilani,Italy,Juventus,2,0
Pablo Armero,Colombia,Udinese Calcio,2,0
Kwadwo Asamoah,Ghana,Udinese Calcio,2,0
Armin Bačinovič,Slovenia,US Palermo,2,0
Federico Balzaretti,Italy,US Palermo,2,0
Simone Bentivoglio,Italy,Chievo Verona,2,1
Mauro Boselli,Argentina,Genoa CFC,2,0
Nicolás Burdisso,Argentina,AS Roma,2,0
Michele Canini,Italy,Cagliari Calcio,2,0
Paolo Cannavaro,Italy,SSC Napoli,2,0
Ernesto Chevantón,Uruguay,US Lecce,2,0
Giorgio Chiellini,Italy,Juventus,2,0
Kévin Constant,Guinea,Chievo Verona,2,0
Nicolás Córdova,Chile,Brescia Calcio,2,0
Daniele De Rossi,Italy,AS Roma,2,0
Mattia Destro,Italy,Genoa CFC,2,0
Maurizio Domizzi,Italy,Udinese Calcio,2,0
Gelson Fernandes,Switzerland,Chievo Verona,2,0
Mathieu Flamini,France,AC Milan,2,0
Gennaro Gattuso,Italy,AC Milan,2,0
Abdelkader Ghezzal,Algeria,AS Bari,2,1
Përparim Hetemaj,Finland,Brescia Calcio,2,0
Erik Huseklepp,Norway,AS Bari,2,0
Filippo Inzaghi,Italy,AC Milan,2,0
Mauricio Isla,Chile,Udinese Calcio,2,0
 Juan,Brazil,AS Roma,2,0
Houssine Kharja,Morocco,Genoa CFC,2,0
Pablo Ledesma,Argentina,Calcio Catania,2,0
Simone Loria,Italy,AS Roma,2,0
Dominique Malonga,Congo,AC Cesena,2,0
Davide Mandelli,Italy,Chievo Verona,2,0
Daniele Mannini,Italy,Sampdoria,2,0
Michele Marcolini,Italy,Chievo Verona,2,0
Jérémy Ménez,France,AS Roma,2,0
Djamel Mesbah,Algeria,US Lecce,2,0
Giandomenico Mesto,Italy,Genoa CFC,2,0
Giulio Migliaccio,Italy,US Palermo,2,0
Omar Milanetto,Italy,Genoa CFC,2,0
Riccardo Montolivo,Italy,ACF Fiorentina,2,0
Gianni Munari,Italy,US Lecce,2,0
Yuto Nagatomo,Japan,AC Cesena,2,0
Radja Nainggolan,Belgium,Cagliari Calcio,2,0
Stefano Okaka,Italy,AS Roma,2,0
Alberto Paloschi,Italy,Genoa CFC,2,0
Goran Pandev,Macedonia,Inter,2,0
Daniele Paponi,Italy,Bologna FC,2,0
Alessandro Parisi,Italy,AS Bari,2,0
 Rafinha,Brazil,Genoa CFC,2,0
Andrea Ranocchia,Italy,Genoa CFC,2,0
Marco Rossi,Italy,Genoa CFC,2,0
Gennaro Sardo,Italy,Chievo Verona,2,0
Giuseppe Sculli,Italy,Genoa CFC,2,0
Christian Terlizzi,Italy,Calcio Catania,2,0
Cyril Théréau,France,Chievo Verona,2,0
Cristián Zapata,Colombia,Udinese Calcio,2,0
Davide Zoboli,Italy,Brescia Calcio,2,0
Juan Zúñiga,Colombia,SSC Napoli,2,0
Pietro Accardi,Italy,Brescia Calcio,1,0
Edgar Álvarez,Honduras,AS Bari,1,0
Massimo Ambrosini,Italy,AC Milan,1,0
Mirco Antenucci,Italy,Calcio Catania,1,1
Luca Antonelli,Italy,Genoa CFC,1,0
Francesco Bega,Italy,Brescia Calcio,1,0
Jonathan Biabiany,France,Inter,1,0
Davide Biondini,Italy,Cagliari Calcio,1,0
Mariano Bogliacino,Uruguay,Chievo Verona,1,0
Leonardo Bonucci,Italy,Juventus,1,0
Matteo Brighi,Italy,AS Roma,1,0
Igor Budan,Croatia,AC Cesena,1,0
Michele Camporese,Italy,ACF Fiorentina,1,0
Ciro Capuano,Italy,Calcio Catania,1,0
Francesco Caputo,Italy,AS Bari,1,0
Fabio Caserta,Italy,AC Cesena,1,0
José Castillo,Argentina,AS Bari,1,0
Luca Ceccarelli,Italy,AC Cesena,1,0
Cristian Chivu,Romania,Inter,1,0
Giuseppe Colucci,Italy,AC Cesena,1,1
Manuel Coppola,Italy,Parma FC,1,0
Bernardo Corradi,Italy,Udinese Calcio,1,0
 Coutinho,Brazil,Inter,1,0
Dario Dainelli,Italy,Genoa CFC,1,0
Simone Dallamano,Italy,Brescia Calcio,1,0
Lorenzo De Silvestri,Italy,ACF Fiorentina,1,0
Souleymane Diamoutèné,Mali,US Lecce,1,0
Marco Donadel,Italy,ACF Fiorentina,1,0
Massimo Donati,Italy,AS Bari,1,0
Andrea Dossena,Italy,SSC Napoli,1,0
Blerim Džemaili,Switzerland,Parma FC,1,0
Albin Ekdal,Sweden,Bologna FC,1,0
 Fabiano,Brazil,US Lecce,1,0
 Felipe Melo,Brazil,Juventus,1,1
Alessandro Gamberini,Italy,ACF Fiorentina,1,0
Daniele Gastaldello,Italy,Sampdoria,1,0
Alessandro Gazzi,Italy,AS Bari,1,0
Dorin Goian,Romania,US Palermo,1,0
Álvaro González,Uruguay,Lazio Roma,1,0
Pablo Granoche,Uruguay,Chievo Verona,1,0
Carlos Grossmüller,Uruguay,US Lecce,1,0
Kakha Kaladze,Georgia,Genoa CFC,1,0
Panagiotis Kone,Greece,Brescia Calcio,1,0
Jasmin Kurtić,Slovenia,US Palermo,1,0
Vitaliy Kutuzov,Belarus,AS Bari,1,0
Andrea Lazzari,Italy,Cagliari Calcio,1,0
Cristian Ledesma,Italy,Lazio Roma,1,0
Nicola Legrottaglie,Italy,AC Milan,1,0
Cristian Llama,Argentina,Calcio Catania,1,0
Alessandro Lucarelli,Italy,Parma FC,1,0
Cristiano Lucarelli,Italy,SSC Napoli,1,0
 Lúcio,Brazil,Inter,1,0
 Maicon,Brazil,Inter,1,0
Marco Marchionni,Italy,ACF Fiorentina,1,0
Andrea Masiello,Italy,AS Bari,1,1
Riccardo Meggiorini,Italy,Bologna FC,1,0
Philippe Mexès,France,AS Roma,1,0
Francesco Modesto,Italy,Genoa CFC,1,0
Takayuki Morimoto,Japan,Calcio Catania,1,0
Stefano Morrone,Italy,Parma FC,1,0
Gaby Mudingayi,Belgium,Bologna FC,1,0
Sulley Ali Muntari,Ghana,Inter,1,0
Angelo Palombo,Italy,Sampdoria,1,0
Manuel Pasqual,Italy,ACF Fiorentina,1,0
Michele Pazienza,Italy,SSC Napoli,1,0
Simone Pesce,Italy,Calcio Catania,1,0
Giampiero Pinzi,Italy,Udinese Calcio,1,0
Andrea Pirlo,Italy,AC Milan,1,0
David Pizarro,Chile,AS Roma,1,1
Daniele Portanova,Italy,Bologna FC,1,0
Nico Pulzetti,Italy,Chievo Verona,1,0
Daniele Ragatzu,Italy,Cagliari Calcio,1,0
Adrian Ricchiuti,Argentina,Calcio Catania,1,0
Luca Rigoni,Italy,Chievo Verona,1,0
Emanuel Rivas,Argentina,AS Bari,1,0
Aleandro Rosi,Italy,AS Roma,1,0
Alessandro Rosina,Italy,AC Cesena,1,0
Paolo Sammarco,Italy,AC Cesena,1,0
Ezequiel Schelotto,Italy,AC Cesena,1,0
José Sosa,Argentina,SSC Napoli,1,0
Rodney Strasser,Sierra Leone,AC Milan,1,0
 Thiago Silva,Brazil,AC Milan,1,0
Fernando Tissone,Argentina,Sampdoria,1,0
Fernando Uribe,Colombia,Chievo Verona,1,0
Massimo Volta,Italy,Sampdoria,1,0
Reto Ziegler,Switzerland,Sampdoria,1,0
