Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Juventus,38,29,4,5,77,27,50,91,473,70,0,583,221
2,Roma,38,28,3,7,90,38,52,87,462,64,1,676,234
3,Napoli,38,26,8,4,94,39,55,86,376,58,2,670,262
4,Atalanta,38,21,9,8,62,41,21,72,603,85,3,534,201
5,Lazio,38,21,7,10,74,51,23,70,543,90,4,584,211
6,Milan,38,18,9,11,57,45,12,63,521,81,12,555,191
7,Inter,38,19,5,14,72,49,23,62,540,74,5,630,208
8,Fiorentina,38,16,12,10,63,57,6,60,535,92,6,609,226
9,Torino,38,13,14,11,71,66,5,53,587,80,4,573,184
10,Sampdoria,38,12,12,14,49,55,-6,48,511,73,4,501,167
11,Cagliari,38,14,5,19,55,76,-21,47,557,97,7,421,174
12,Sassuolo,38,13,7,18,58,63,-5,46,518,90,2,441,171
13,Udinese,38,12,9,17,47,56,-9,45,484,84,2,434,155
14,Chievo,38,12,7,19,43,61,-18,43,555,82,4,407,129
15,Bologna,38,11,8,19,40,58,-18,41,486,84,11,422,145
16,Genoa,38,9,9,20,38,64,-26,36,623,89,8,443,147
17,Crotone,38,9,7,22,34,58,-24,34,585,87,4,399,130
18,Empoli,38,8,8,22,29,61,-32,32,538,107,2,362,127
19,Palermo,38,6,8,24,33,77,-44,26,564,93,9,381,118
20,Pescara,38,3,9,26,37,81,-44,18,551,92,4,442,146
