player,country,team,assists
Christian Tiffert,Germany,1. FC Kaiserslautern,16
Mario Götze,Germany,Borussia Dortmund,12
Thomas Müller,Germany,Bayern München,12
Franck Ribéry,France,Bayern München,12
Marko Marin,Germany,Werder Bremen,11
Mehmet Ekici,Turkey,1. FC Nürnberg,9
Lewis Holtby,Germany,1. FSV Mainz 05,9
Arjen Robben,Netherlands,Bayern München,9
Julian Schieber,Germany,1. FC Nürnberg,9
Arturo Vidal,Chile,Bayer Leverkusen,9
 Zé Roberto,Brazil,Hamburger SV,9
Gonzalo Castro,Germany,Bayer Leverkusen,8
Jefferson Farfán,Peru,FC Schalke 04,8
Martin Harnik,Austria,VfB Stuttgart,8
Marco Reus,Germany,Bor. Mönchengladbach,8
Nuri Şahin,Turkey,Borussia Dortmund,8
Gerald Asamoah,Germany,FC St. Pauli,7
 Diego,Brazil,VfL Wolfsburg,7
Christian Fuchs,Austria,1. FSV Mainz 05,7
Ivo Iličević,Croatia,1. FC Kaiserslautern,7
Jonathan Pitroipa,Burkina Faso,Hamburger SV,7
Marcel Schäfer,Germany,VfL Wolfsburg,7
Eren Derdiyok,Switzerland,Bayer Leverkusen,6
Timo Gebhart,Germany,VfB Stuttgart,6
Kevin Großkreutz,Germany,Borussia Dortmund,6
Mike Hanke,Germany,Bor. Mönchengladbach,6
Ciprian Marica,Romania,VfB Stuttgart,6
Mladen Petrić,Croatia,Hamburger SV,6
Łukasz Piszczek,Poland,Borussia Dortmund,6
Lukas Podolski,Germany,1. FC Köln,6
Danijel Pranjić,Croatia,Bayern München,6
Konstantin Rausch,Russia,Hannover 96,6
Sebastian Rudy,Germany,1899 Hoffenheim,6
Bastian Schweinsteiger,Germany,Bayern München,6
 Sérgio da Silva Pinto,Germany,Hannover 96,6
Didier Ya Konan,Ivory Coast,Hannover 96,6
Sami Allagui,Tunisia,1. FSV Mainz 05,5
Juan Arango,Venezuela,Bor. Mönchengladbach,5
Felix Bastians,Germany,SC Freiburg,5
 Cacau,Germany,VfB Stuttgart,5
Theofanis Gekas,Greece,Eintracht Frankfurt,5
Max Kruse,Germany,FC St. Pauli,5
Sławomir Peszko,Poland,1. FC Köln,5
Claudio Pizarro,Peru,Werder Bremen,5
Stefan Reisinger,Germany,SC Freiburg,5
Sejad Salihović,Bosnia-Herzegovina,1899 Hoffenheim,5
Jan Schlaudraff,Germany,Hannover 96,5
Manuel Schmiedebach,Germany,Hannover 96,5
André Schürrle,Germany,1. FSV Mainz 05,5
Lars Stindl,Germany,Hannover 96,5
Hamit Altintop,Turkey,Bayern München,4
Lucas Barrios,Paraguay,Borussia Dortmund,4
Fin Bartels,Germany,FC St. Pauli,4
Andreas Beck,Germany,1899 Hoffenheim,4
Arthur Boka,Ivory Coast,VfB Stuttgart,4
Marvin Compper,Germany,1899 Hoffenheim,4
Tamás Hajnal,Hungary,Borussia Dortmund,4
Stefan Kießling,Germany,Bayer Leverkusen,4
Toni Kroos,Germany,Bayern München,4
 Luiz Gustavo,Brazil,1899 Hoffenheim,4
Cédric Makiadi,Congo DR,SC Freiburg,4
Maximilian Nicu,Romania,SC Freiburg,4
Milivoje Novakovič,Slovenia,1. FC Köln,4
Eugen Polanski,Poland,1. FSV Mainz 05,4
 Raúl,Spain,FC Schalke 04,4
 Renato Augusto,Brazil,Bayer Leverkusen,4
Marcel Risse,Germany,1. FSV Mainz 05,4
Sidney Sam,Germany,Bayer Leverkusen,4
Marko Arnautović,Austria,Werder Bremen,3
Demba Ba,Senegal,1899 Hoffenheim,3
Tranquillo Barnetta,Switzerland,Bayer Leverkusen,3
Raúl Bobadilla,Paraguay,Bor. Mönchengladbach,3
Michael Bradley,USA,Bor. Mönchengladbach,3
Mišo Brečko,Slovenia,1. FC Köln,3
Christian Eigler,Germany,1. FC Nürnberg,3
Eljero Elia,Netherlands,Hamburger SV,3
Malik Fathi,Germany,1. FSV Mainz 05,3
Mario Gomez,Germany,Bayern München,3
 Grafite,Brazil,VfL Wolfsburg,3
Aaron Hunt,Germany,Werder Bremen,3
Vedad Ibišević,Bosnia-Herzegovina,1899 Hoffenheim,3
Mato Jajalo,Bosnia-Herzegovina,1. FC Köln,3
Zdravko Kuzmanović,Serbia,VfB Stuttgart,3
Mario Mandžukić,Croatia,VfL Wolfsburg,3
Cristian Molinaro,Italy,VfB Stuttgart,3
Patrick Ochs,Germany,Eintracht Frankfurt,3
Bastian Oczipka,Germany,FC St. Pauli,3
Peter Pekarík,Slovakia,VfL Wolfsburg,3
Sebastian Prödl,Austria,Werder Bremen,3
Ivan Rakitić,Croatia,FC Schalke 04,3
Sascha Riether,Germany,VfL Wolfsburg,3
Julian Schuster,Germany,SC Freiburg,3
Pirmin Schwegler,Switzerland,Eintracht Frankfurt,3
Ádám Szalai,Hungary,1. FSV Mainz 05,3
Giorgos Tzavellas,Greece,Eintracht Frankfurt,3
Atsuto Uchida,Japan,FC Schalke 04,3
Halil Altintop,Turkey,Eintracht Frankfurt,2
 Antônio da Silva,Brazil,Borussia Dortmund,2
Jakub Błaszczykowski,Poland,Borussia Dortmund,2
Heiko Butscher,Germany,SC Freiburg,2
Timothy Chandler,USA,1. FC Nürnberg,2
Papiss Demba Cissé,Senegal,SC Freiburg,2
Christian Clemens,Germany,1. FC Köln,2
Igor de Camargo,Belgium,Bor. Mönchengladbach,2
Florian Dick,Germany,1. FC Kaiserslautern,2
 Edu,Brazil,FC Schalke 04,2
Christian Eichner,Germany,1. FC Köln,2
Clemens Fritz,Germany,Werder Bremen,2
Paolo Guerrero,Peru,Hamburger SV,2
İlkay Gündoğan,Germany,1. FC Nürnberg,2
Jens Hegeler,Germany,1. FC Nürnberg,2
Patrick Herrmann,Germany,Bor. Mönchengladbach,2
