player,country,team,goal,penalty
Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,31,2
Robert Lewandowski,Poland,Bayern München,30,5
Anthony Modeste,France,1. FC Köln,25,3
Timo Werner,Germany,RB Leipzig,21,2
Mario Gomez,Germany,VfL Wolfsburg,16,2
Andrej Kramarić,Croatia,1899 Hoffenheim,15,5
Max Kruse,Germany,Werder Bremen,15,4
Arjen Robben,Netherlands,Bayern München,13,0
Vedad Ibišević,Bosnia-Herzegovina,Hertha BSC,12,3
Serge Gnabry,Germany,Werder Bremen,11,1
Javier Hernández,Mexico,Bayer Leverkusen,11,0
Florian Niederlechner,Germany,SC Freiburg,11,3
Lars Stindl,Germany,Bor. Mönchengladbach,11,0
Sandro Wagner,Germany,1899 Hoffenheim,11,0
Nils Petersen,Germany,SC Freiburg,10,2
Guido Burgstaller,Austria,FC Schalke 04,9,0
Maximilian Philipp,Germany,SC Freiburg,9,0
Fin Bartels,Germany,Werder Bremen,8,0
Emil Forsberg,Sweden,RB Leipzig,8,1
Naby Keïta,Guinea,RB Leipzig,8,0
Marcel Sabitzer,Austria,RB Leipzig,8,0
Ádám Szalai,Hungary,1899 Hoffenheim,8,0
Almog Cohen,Israel,FC Ingolstadt 04,7,1
Marco Fabián,Mexico,Eintracht Frankfurt,7,1
Salomon Kalou,Ivory Coast,Hertha BSC,7,1
Yunus Mallı,Turkey,1. FSV Mainz 05,7,3
Yuya Osako,Japan,1. FC Köln,7,0
 Raffael,Brazil,Bor. Mönchengladbach,7,1
Marco Reus,Germany,Borussia Dortmund,7,2
Mark Uth,Germany,1899 Hoffenheim,7,0
Halil Altintop,Turkey,FC Augsburg,6,0
Hakan Çalhanoğlu,Turkey,Bayer Leverkusen,6,1
Ousmane Dembélé,France,Borussia Dortmund,6,0
Kerem Demirbay,Germany,1899 Hoffenheim,6,0
Vincenzo Grifo,Italy,SC Freiburg,6,1
Thorgan Hazard,Belgium,Bor. Mönchengladbach,6,0
Joshua Kimmich,Germany,Bayern München,6,0
Dario Lezcano,Paraguay,FC Ingolstadt 04,6,0
Joel Pohjanpalo,Finland,Bayer Leverkusen,6,0
 Raphaël Guerreiro,Portugal,Borussia Dortmund,6,0
Alessandro Schöpf,Austria,FC Schalke 04,6,0
 Thiago,Spain,Bayern München,6,0
Kevin Volland,Germany,Bayer Leverkusen,6,1
Stefan Bell,Germany,1. FSV Mainz 05,5,0
Nabil Bentaleb,Algeria,FC Schalke 04,5,1
Jhon Córdoba,Colombia,1. FSV Mainz 05,5,0
Pablo de Blasis,Argentina,1. FSV Mainz 05,5,1
Theodor Gebre Selassie,Czech Republic,Werder Bremen,5,0
