Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Bayern Munich,34,25,4,5,80,18,62,79,414,37,2,583,238
2,Wolfsburg,34,20,9,5,72,38,34,69,454,44,1,522,205
3,M'gladbach,34,19,9,6,53,26,27,66,416,54,2,424,174
4,Leverkusen,34,17,10,7,62,37,25,61,609,76,4,554,192
5,Augsburg,34,15,4,15,43,43,0,49,552,61,3,458,150
6,Schalke 04,34,13,9,12,42,40,2,48,517,65,4,418,153
7,Dortmund,34,13,7,14,47,42,5,46,454,54,0,567,190
8,Hoffenheim,34,12,8,14,49,55,-6,44,600,66,2,501,171
9,Ein Frankfurt,34,11,10,13,56,62,-6,43,569,84,3,426,171
10,Werder Bremen,34,11,10,13,50,65,-15,43,588,67,2,415,170
11,Mainz,34,9,13,12,45,47,-2,40,495,53,2,437,145
12,FC Koln,34,9,13,12,34,40,-6,40,421,48,2,362,126
13,Hannover,34,9,10,15,40,56,-16,37,568,72,5,384,145
14,Stuttgart,34,9,9,16,42,60,-18,36,504,59,5,411,138
15,Hertha,34,9,8,17,36,52,-16,35,589,72,4,297,107
16,Hamburg,34,9,8,17,25,50,-25,35,618,83,5,364,114
17,Freiburg,34,7,13,14,36,47,-11,34,492,63,4,385,158
18,Paderborn,34,7,10,17,31,65,-34,31,484,51,3,454,140
