player,country,team,assists
Lionel Messi,Argentina,FC Barcelona,16
Luis Suárez,Uruguay,FC Barcelona,16
 Koke,Spain,Atlético Madrid,14
 Neymar,Brazil,FC Barcelona,12
 Cristiano Ronaldo,Portugal,Real Madrid,11
Gareth Bale,Wales,Real Madrid,10
Toni Kroos,Germany,Real Madrid,10
 Marco Asensio,Spain,Espanyol Barcelona,10
 Soldado,Spain,Villarreal CF,10
 Jonathan Viera,Spain,UD Las Palmas,9
 Lucas Pérez,Spain,Deportivo La Coruña,8
James Rodríguez,Colombia,Real Madrid,8
 Susaeta,Spain,Athletic Bilbao,8
Karim Benzema,France,Real Madrid,7
 Isco,Spain,Real Madrid,7
 Jony,Spain,Sporting Gijón,7
 Luis Alberto,Spain,Deportivo La Coruña,7
 Nolito,Spain,Celta Vigo,7
 Rubén Pardo,Spain,Real Sociedad,7
 Trashorras,Spain,Rayo Vallecano,7
 Aduriz,Spain,Athletic Bilbao,6
 Bebé,Portugal,Rayo Vallecano,6
 Jesé,Spain,Real Madrid,6
 Jordi Alba,Spain,FC Barcelona,6
 Lucas Vázquez,Spain,Real Madrid,6
Fabián Orellana,Chile,Celta Vigo,6
 Pablo Sarabia,Spain,Getafe CF,6
 Paco Alcácer,Spain,Valencia CF,6
 Raúl García,Spain,Athletic Bilbao,6
 Rubén Rochina,Spain,Granada CF,6
 Sergi Enrich,Spain,SD Eibar,6
 Víctor Sánchez,Spain,Espanyol Barcelona,6
 Beñat,Spain,Athletic Bilbao,5
 Capa,Spain,SD Eibar,5
 Danilo,Brazil,Real Madrid,5
 Embarba,Spain,Rayo Vallecano,5
 Fernando Torres,Spain,Atlético Madrid,5
Antoine Griezmann,France,Atlético Madrid,5
Alen Halilović,Croatia,Sporting Gijón,5
 Joaquín,Spain,Real Betis,5
 Morales,Spain,Levante UD,5
 Parejo,Spain,Valencia CF,5
Roberto Rosales,Venezuela,Málaga CF,5
 Sergi Roberto,Spain,FC Barcelona,5
Daniel Wass,Denmark,Celta Vigo,5
 Adrián,Spain,Villarreal CF,4
 Álvaro,Spain,Getafe CF,4
 Busquets,Spain,FC Barcelona,4
Gonzalo Castro,Uruguay,Málaga CF,4
Ángel Correa,Argentina,Atlético Madrid,4
 Dani Alves,Brazil,FC Barcelona,4
 Dani Carvajal,Spain,Real Madrid,4
 Denis Suárez,Spain,Sevilla FC,4
Nabil El Zhar,Morocco,UD Las Palmas,4
Fayçal Fajr,Morocco,Deportivo La Coruña,4
 Filipe Luís,Brazil,Atlético Madrid,4
Kevin Gameiro,France,Sevilla FC,4
Pablo Hernández,Chile,Celta Vigo,4
 Hugo Mallo,Spain,Celta Vigo,4
 Iago Aspas,Spain,Celta Vigo,4
 João Cancelo,Portugal,Valencia CF,4
 Jonny,Spain,Celta Vigo,4
 Juncà,Spain,SD Eibar,4
Yevhen Konoplyanka,Ukraine,Sevilla FC,4
 Lora,Spain,Sporting Gijón,4
 Miku,Venezuela,Rayo Vallecano,4
Luka Modrić,Croatia,Real Madrid,4
 Pablo Hernández,Spain,Rayo Vallecano,4
 Pedro León,Spain,Getafe CF,4
 Recio,Spain,Málaga CF,4
 Rubén Castro,Spain,Real Betis,4
 Saúl,Spain,SD Eibar,4
 Tana,Spain,UD Las Palmas,4
Carlos Vela,Mexico,Real Sociedad,4
 Vitolo,Spain,Sevilla FC,4
 Yuri,Spain,Real Sociedad,4
 André Gomes,Portugal,Valencia CF,3
Sergio Araujo,Argentina,UD Las Palmas,3
Cédric Bakambu,Congo DR,Villarreal CF,3
Zakaria Bakkali,Belgium,Valencia CF,3
 Balenziaga,Spain,Athletic Bilbao,3
 Borja Bastón,Spain,SD Eibar,3
 Burgui,Spain,Espanyol Barcelona,3
 Carmona,Spain,Sporting Gijón,3
Fede Cartabia,Argentina,Deportivo La Coruña,3
 Casemiro,Brazil,Real Madrid,3
 Charles,Brazil,Málaga CF,3
Duje Čop,Croatia,Málaga CF,3
Youssef El-Arabi,Morocco,Granada CF,3
 Gabi,Spain,Atlético Madrid,3
 Gerard,Spain,Espanyol Barcelona,3
Takashi Inui,Japan,SD Eibar,3
 Keko,Spain,SD Eibar,3
Michael Krohn-Dehli,Denmark,Sevilla FC,3
 Llorente,Spain,Sevilla FC,3
 Marcelo,Brazil,Real Madrid,3
 Mariano,Brazil,Sevilla FC,3
Jackson Martínez,Colombia,Atlético Madrid,3
 Moi Gómez,Spain,Getafe CF,3
 Momo,Spain,UD Las Palmas,3
Adalberto Peñaranda,Venezuela,Granada CF,3
 Rodrigo,Spain,Valencia CF,3
 San José,Spain,Athletic Bilbao,3
Damián Suárez,Uruguay,Getafe CF,3
 Tito,Spain,Rayo Vallecano,3
Benoît Trémoulinas,France,Sevilla FC,3
Arda Turan,Turkey,FC Barcelona,3
 Verza,Spain,Levante UD,3
Luciano Vietto,Argentina,Atlético Madrid,3
 Williams,Spain,Athletic Bilbao,3
 Xabi Prieto,Spain,Real Sociedad,3
 Zurutuza,Spain,Real Sociedad,3
Rachid Aït-Atmane,Algeria,Sporting Gijón,2
 Álvaro Cejudo,Spain,Real Betis,2
Éver Banega,Argentina,Sevilla FC,2
Celso Borges,Costa Rica,Deportivo La Coruña,2
 Camarasa,Spain,Levante UD,2
 Carles Planas,Spain,Celta Vigo,2
 Carlos Martínez,Spain,Real Sociedad,2
 Cuéllar,Spain,Sporting Gijón,2
 Dani Ceballos,Spain,Real Betis,2
 David Simón,Spain,UD Las Palmas,2
 De Marcos,Spain,Athletic Bilbao,2
 Fernando Navarro,Spain,Deportivo La Coruña,2
 Iborra,Spain,Sevilla FC,2
 Iniesta,Spain,FC Barcelona,2
 Isaac Cuenca,Spain,Granada CF,2
 Javi López,Spain,Espanyol Barcelona,2
 Jonathas,Brazil,Real Sociedad,2
 Jozabed,Spain,Rayo Vallecano,2
 Juanfran,Spain,Deportivo La Coruña,2
 Juankar,Spain,Málaga CF,2
Mateo Kovačić,Croatia,Real Madrid,2
 Lafita,Spain,Getafe CF,2
Jefferson Lerma,Colombia,Levante UD,2
 Mario,Spain,Villarreal CF,2
Jérémy Mathieu,France,FC Barcelona,2
 Miguel Torres,Spain,Málaga CF,2
 Mosquera,Spain,Deportivo La Coruña,2
 Munir,Spain,FC Barcelona,2
 Óliver Torres,Spain,Atlético Madrid,2
 Piti,Spain,Granada CF,2
Ivan Rakitić,Croatia,FC Barcelona,2
 Roberto Lago,Spain,Getafe CF,2
 Roque Mesa,Spain,UD Las Palmas,2
Giuseppe Rossi,Italy,Levante UD,2
 Rubén Pérez,Spain,Granada CF,2
 Saúl,Spain,Atlético Madrid,2
 Sergio Álvarez,Spain,Sporting Gijón,2
 Sergio Ramos,Spain,Real Madrid,2
Isaac Success,Nigeria,Granada CF,2
 Tiago,Portugal,Atlético Madrid,2
Ricky van Wolfswinkel,Netherlands,Real Betis,2
Juan Vargas,Peru,Real Betis,2
 Víctor,Spain,Getafe CF,2
 Víctor Álvarez,Spain,Espanyol Barcelona,2
 Víctor Casadesús,Spain,Levante UD,2
 Weligton,Brazil,Málaga CF,2
 Abraham,Spain,Espanyol Barcelona,1
 Adriano,Brazil,FC Barcelona,1
 Aleix Vidal,Spain,FC Barcelona,1
 Álex,Spain,Deportivo La Coruña,1
 Álex Menéndez,Spain,Sporting Gijón,1
 Álvaro González,Spain,Espanyol Barcelona,1
 Álvaro Negredo,Spain,Valencia CF,1
 Amaya,Spain,Rayo Vallecano,1
Nordin Amrabat,Morocco,Málaga CF,1
Juanpi Añor,Venezuela,Málaga CF,1
 Antonio Luna,Spain,SD Eibar,1
 Aythami Artiles,Spain,UD Las Palmas,1
Alhassane Bangoura,Guinea,Rayo Vallecano,1
 Bartra,Spain,FC Barcelona,1
Cristiano Biraghi,Italy,Granada CF,1
Théo Bongonda,Belgium,Celta Vigo,1
 Bruma,Portugal,Real Sociedad,1
 Bruno Soriano,Spain,Villarreal CF,1
 Cala,Spain,Getafe CF,1
 Camacho,Spain,Málaga CF,1
Denis Cheryshev,Russia,Real Madrid,1
 Coke,Spain,Sevilla FC,1
Sebastián Cristóforo,Uruguay,Sevilla FC,1
