Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Real Madrid,38,29,6,3,106,41,65,93,425,72,2,661,265
2,Barcelona,38,28,6,4,116,37,79,90,421,73,1,648,268
3,Ath Madrid,38,23,9,6,70,27,43,78,498,80,3,502,198
4,Sevilla,38,21,9,8,69,49,20,72,581,105,4,486,198
5,Villarreal,38,19,10,9,56,33,23,67,507,89,4,425,169
6,Sociedad,38,19,7,12,59,53,6,64,528,79,6,487,167
7,Ath Bilbao,38,19,6,13,53,43,10,63,499,87,2,478,186
8,Espanol,38,15,11,12,49,50,-1,56,567,80,2,343,129
9,Alaves,38,14,13,11,41,43,-2,55,540,113,5,389,132
10,Eibar,38,15,9,14,56,51,5,54,515,91,7,449,177
11,Malaga,38,12,10,16,49,55,-6,46,547,108,7,491,168
12,Valencia,38,13,7,18,56,65,-9,46,550,108,6,447,169
13,Celta,38,13,6,19,53,69,-16,45,513,98,8,405,148
14,Las Palmas,38,10,9,19,53,74,-21,39,466,98,6,437,182
15,Betis,38,10,9,19,41,64,-23,39,574,102,5,440,152
16,La Coruna,38,8,12,18,43,61,-18,36,536,92,4,461,145
17,Leganes,38,8,11,19,36,55,-19,35,644,105,3,413,132
18,Sp Gijon,38,7,10,21,42,72,-30,31,567,112,4,375,135
19,Osasuna,38,4,10,24,40,94,-54,22,567,98,3,389,143
20,Granada,38,4,8,26,30,82,-52,20,553,109,6,380,124
