player,country,team,assists
Morgan Sanson,France,Montpellier HSC,14
 Bernardo Silva,Portugal,AS Monaco,11
Thomas Lemar,France,AS Monaco,11
Kylian Mbappé,France,AS Monaco,11
Jean Michaël Seri,Ivory Coast,OGC Nice,10
Ryad Boudebouz,Algeria,Montpellier HSC,9
Romain Hamouma,France,AS Saint-Étienne,9
Florian Thauvin,France,Olympique Marseille,9
Memphis Depay,Netherlands,Olympique Lyon,8
Loïs Diony,France,Dijon FCO,8
Léo Dubois,France,FC Nantes,8
Thomas Mangani,France,Angers SCO,8
 Marçal,Brazil,EA Guingamp,8
Younès Belhanda,Morocco,OGC Nice,7
Valentin Eysseric,France,OGC Nice,7
Maxime Lopez,France,Olympique Marseille,7
Ludovic Baal,French Guyana,Stade Rennes,6
Vincent Bessat,France,SM Caen,6
Ángel Di María,Argentina,Paris Saint-Germain,6
 Éder,Portugal,Lille OSC,6
Radamel Falcao,Colombia,AS Monaco,6
Nabil Fekir,France,Olympique Lyon,6
 Lucas,Brazil,Paris Saint-Germain,6
Sylvain Marveaux,France,FC Lorient,6
 Maxwell,Brazil,Paris Saint-Germain,6
Cheikh N'Doye,Senegal,Angers SCO,6
Yannis Salibur,France,EA Guingamp,6
Arnaud Souquet,France,OGC Nice,6
Majeed Waris,Ghana,FC Lorient,6
 Balliu,Albania,FC Metz,5
Jimmy Briand,France,EA Guingamp,5
Edinson Cavani,Uruguay,Paris Saint-Germain,5
Lucas Deaux,France,EA Guingamp,5
Jonathan Delaplace,France,SM Caen,5
Corentin Jean,France,AS Monaco,5
 Júlio Tavares,Cape Verde,Dijon FCO,5
Gaëtan Laborde,France,Girondins Bordeaux,5
 Malcom,Brazil,Girondins Bordeaux,5
Blaise Matuidi,France,Paris Saint-Germain,5
Benjamin Mendy,France,AS Monaco,5
Paul-Georges Ntep,France,Stade Rennes,5
Javier Pastore,Argentina,Paris Saint-Germain,5
Jaroslav Plašil,Czech Republic,Girondins Bordeaux,5
Youssouf Sabaly,Senegal,Girondins Bordeaux,5
Emiliano Sala,Argentina,FC Nantes,5
Ismaïla Sarr,Senegal,FC Metz,5
Djibril Sidibé,France,AS Monaco,5
Karl Toko Ekambi,Cameroon,Angers SCO,5
Corentin Tolisso,France,Olympique Lyon,5
Almamy Touré,Mali,AS Monaco,5
Óscar Trejo,Argentina,Toulouse FC,5
Mathieu Valbuena,France,Olympique Lyon,5
Marco Verratti,Italy,Paris Saint-Germain,5
Serge Aurier,Ivory Coast,Paris Saint-Germain,4
Yassine Benzia,Algeria,Lille OSC,4
Martin Braithwaite,Denmark,Toulouse FC,4
Rémy Cabella,France,Olympique Marseille,4
Jimmy Cabot,France,FC Lorient,4
Renaud Cohade,France,FC Metz,4
Sébastien Corchia,France,Lille OSC,4
Maurice Dalé,France,AS Nancy,4
Julien Féret,France,SM Caen,4
Valère Germain,France,AS Monaco,4
Rachid Ghezzal,Algeria,Olympique Lyon,4
Bafétimbi Gomis,France,Olympique Marseille,4
