player,country,team,goal,penalty
Alexandre Lacazette,France,Olympique Lyon,27,8
André-Pierre Gignac,France,Olympique Marseille,21,2
Zlatan Ibrahimović,Sweden,Paris Saint-Germain,19,8
Edinson Cavani,Uruguay,Paris Saint-Germain,18,3
Claudio Beauvue,Guadeloupe,EA Guingamp,17,6
Max Gradel,Ivory Coast,AS Saint-Étienne,17,4
Diego Rolán,Uruguay,Girondins Bordeaux,15,3
Wissam Ben Yedder,France,Toulouse FC,14,2
Nabil Fekir,France,Olympique Lyon,13,0
Jordan Ayew,Ghana,FC Lorient,12,3
Lucas Barrios,Paraguay,Montpellier HSC,11,2
Christophe Mandanne,Réunion,EA Guingamp,11,1
André Ayew,Ghana,Olympique Marseille,10,0
 Carlos Eduardo,Brazil,OGC Nice,10,0
Mathieu Duhamel,France,Évian Thonon Gaillard,10,2
Michy Batshuayi,Belgium,Olympique Marseille,9,0
 Bernardo Silva,Portugal,AS Monaco,9,0
Wahbi Khazri,Tunisia,Girondins Bordeaux,9,2
Modibo Maïga,Mali,FC Metz,9,2
Anthony Martial,France,AS Monaco,9,1
Anthony Mounier,France,Montpellier HSC,9,1
Paul-Georges Ntep,France,Stade Rennes,9,0
Nolan Roux,France,Lille OSC,9,1
Éric Bauthéac,France,OGC Nice,8,3
Cheick Diabaté,Mali,Girondins Bordeaux,8,2
Mevlüt Erdinç,Turkey,AS Saint-Étienne,8,1
Ezequiel Lavezzi,Argentina,Paris Saint-Germain,8,0
Benjamin Moukandjo,Cameroon,Stade Reims,8,1
Divock Origi,Belgium,Lille OSC,8,2
Yoann Touzghar,Tunisia,RC Lens,8,3
Daniel Wass,Denmark,Évian Thonon Gaillard,8,1
Hervé Bazile,Haiti,SM Caen,7,0
Pablo Chavarría,Argentina,RC Lens,7,0
Benjamin Jeannot,France,FC Lorient,7,1
 Lucas,Brazil,Paris Saint-Germain,7,2
David N'Gog,France,Stade Reims,7,0
Clinton N'Jie,Cameroon,Olympique Lyon,7,0
Dimitri Payet,France,Olympique Marseille,7,0
 Raphaël Guerreiro,Portugal,FC Lorient,7,0
Ola Toivonen,Sweden,Stade Rennes,7,1
Corentin Tolisso,France,Olympique Lyon,7,0
Jordan Veretout,France,FC Nantes,7,4
Floyd Ayité,Togo,SC Bastia,6,0
Dimitar Berbatov,Bulgaria,AS Monaco,6,2
Martin Braithwaite,Denmark,Toulouse FC,6,0
Gaëtan Charbonnier,France,Stade Reims,6,2
Julien Féret,France,SM Caen,6,2
Yannick Ferreira-Carrasco,Belgium,AS Monaco,6,0
Aïssa Mandi,Algeria,Stade Reims,6,0
Aleksandar Pešić,Serbia,Toulouse FC,6,0
Sloan Privat,French Guyana,SM Caen,6,0
Emiliano Sala,Argentina,Girondins Bordeaux,6,2
Morgan Sanson,France,Montpellier HSC,6,0
Alexy Bosetti,France,OGC Nice,5,0
Ryad Boudebouz,Algeria,SC Bastia,5,4
 Diego,Brazil,Stade Reims,5,0
Yeni N'Gbakoto,France,FC Metz,5,4
Clarck N'Sikulu,Congo DR,Évian Thonon Gaillard,5,0
Javier Pastore,Argentina,Paris Saint-Germain,5,0
Giovanni Sio,Ivory Coast,SC Bastia,5,0
Florian Thauvin,France,Olympique Marseille,5,0
Ricky van Wolfswinkel,Netherlands,AS Saint-Étienne,5,0
Jordan Amavi,France,OGC Nice,4,0
Yacine Bammou,Morocco,FC Nantes,4,0
Cédric Barbosa,France,Évian Thonon Gaillard,4,0
Nicolas Benezet,France,Évian Thonon Gaillard,4,0
Kévin Bérigaud,France,Montpellier HSC,4,0
Adamo Coulibaly,France,RC Lens,4,1
