Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Paris SG,38,25,8,5,69,23,46,83,467,71,9,501,197
2,Marseille,38,21,8,9,42,36,6,71,509,51,7,506,176
3,Lyon,38,19,10,9,61,38,23,67,575,63,6,471,169
4,Nice,38,18,10,10,57,46,11,64,581,64,5,413,151
5,St Etienne,38,16,15,7,60,32,28,63,497,56,4,475,187
6,Lille,38,16,14,8,59,40,19,62,532,59,3,533,185
7,Bordeaux,38,13,16,9,40,34,6,55,486,66,3,490,180
8,Lorient,38,14,11,13,57,58,-1,53,429,50,7,476,187
9,Montpellier,38,15,7,16,54,51,3,52,600,66,6,482,168
10,Toulouse,38,13,12,13,49,47,2,51,645,62,7,438,158
11,Valenciennes,38,12,12,14,49,53,-4,48,568,58,3,447,154
12,Bastia,38,13,8,17,50,66,-16,47,534,81,7,397,137
13,Rennes,38,13,7,18,48,59,-11,46,487,43,10,457,170
14,Reims,38,10,13,15,33,42,-9,43,516,62,4,374,119
15,Ajaccio,38,9,15,14,39,51,-12,42,586,73,7,400,147
16,Sochaux,38,10,11,17,41,57,-16,41,524,57,3,379,135
17,Evian Thonon Gaillard,38,10,10,18,46,53,-7,40,556,76,2,465,157
18,Nancy,38,9,11,18,38,58,-20,38,562,64,5,467,175
19,Troyes,38,8,13,17,43,61,-18,37,510,50,5,386,146
20,Brest,38,8,5,25,32,62,-30,29,594,68,4,405,127
