player,country,team,goal,penalty
Mohamed Salah,Egypt,Liverpool FC,32,1
Harry Kane,England,Tottenham Hotspur,30,2
Kun Agüero,Argentina,Manchester City,21,4
Jamie Vardy,England,Leicester City,20,5
Raheem Sterling,England,Manchester City,18,1
Romelu Lukaku,Belgium,Manchester United,16,0
 Roberto Firmino,Brazil,Liverpool FC,15,1
Alexandre Lacazette,France,Arsenal FC,14,2
 Gabriel Jesus,Brazil,Manchester City,13,0
Eden Hazard,Belgium,Chelsea FC,12,2
Riyad Mahrez,Algeria,Leicester City,12,0
Glenn Murray,England,Brighton & Hove Albion,12,4
Heung-min Son,South Korea,Tottenham Hotspur,12,0
Marko Arnautović,Austria,West Ham United,11,0
 Morata,Spain,Chelsea FC,11,0
Pierre-Emerick Aubameyang,Gabon,Arsenal FC,10,1
Christian Eriksen,Denmark,Tottenham Hotspur,10,0
Sadio Mané,Senegal,Liverpool FC,10,0
Luka Milivojević,Serbia,Crystal Palace,10,7
Wayne Rooney,England,Everton FC,10,3
Leroy Sané,Germany,Manchester City,10,0
Chris Wood,New Zealand,Burnley FC,10,0
Dele Alli,England,Tottenham Hotspur,9,0
Ashley Barnes,England,Burnley FC,9,0
 David Silva,Spain,Manchester City,9,0
Anthony Martial,France,Manchester United,9,1
Alexis Sánchez,Chile,Arsenal FC,9,1
Wilfried Zaha,Ivory Coast,Crystal Palace,9,0
 Ayoze Pérez,Spain,Newcastle United,8,0
Kevin De Bruyne,Belgium,Manchester City,8,0
Javier Hernández,Mexico,West Ham United,8,0
Joshua King,Norway,AFC Bournemouth,8,2
Jesse Lingard,England,Manchester United,8,0
Oumar Niasse,Senegal,Everton FC,8,0
Xherdan Shaqiri,Switzerland,Stoke City,8,0
Callum Wilson,England,AFC Bournemouth,8,0
Charlie Austin,England,Southampton FC,7,1
Jordan Ayew,Ghana,Swansea City,7,1
 Coutinho,Brazil,Liverpool FC,7,0
Abdoulaye Doucouré,France,Watford FC,7,0
Olivier Giroud,France,Arsenal FC,7,0
Pascal Groß,Germany,Brighton & Hove Albion,7,1
 Marcos Alonso,Spain,Chelsea FC,7,0
Steve Mounié,Benin,Huddersfield Town,7,0
Aaron Ramsey,Wales,Arsenal FC,7,0
Marcus Rashford,England,Manchester United,7,0
Jay Rodriguez,England,West Bromwich Albion,7,1
Salomón Rondón,Venezuela,West Bromwich Albion,7,0
 Bernardo Silva,Portugal,Manchester City,6,0
Laurent Depoitre,Belgium,Huddersfield Town,6,0
Mame Diouf,Senegal,Stoke City,6,0
Dwight Gayle,England,Newcastle United,6,0
Shinji Okazaki,Japan,Leicester City,6,0
Paul Pogba,France,Manchester United,6,0
Dušan Tadić,Serbia,Southampton FC,6,1
 Willian,Brazil,Chelsea FC,6,1
Tammy Abraham,England,Swansea City,5,0
Eric Maxim Choupo-Moting,Cameroon,Stoke City,5,0
Peter Crouch,England,Stoke City,5,0
Troy Deeney,England,Watford FC,5,3
 Fernandinho,Brazil,Manchester City,5,0
Ryan Fraser,Scotland,AFC Bournemouth,5,0
Manolo Gabbiadini,Italy,Southampton FC,5,1
Andre Gray,England,Watford FC,5,0
José Izquierdo,Colombia,Brighton & Hove Albion,5,0
Manuel Lanzini,Argentina,West Ham United,5,0
James McArthur,Scotland,Crystal Palace,5,0
 Nacho Monreal,Spain,Arsenal FC,5,0
Roberto Pereyra,Argentina,Watford FC,5,0
 Richarlison,Brazil,Watford FC,5,0
Junior Stanislas,England,AFC Bournemouth,5,1
Cenk Tosun,Turkey,Everton FC,5,0
Patrick van Aanholt,Netherlands,Crystal Palace,5,0
Danny Welbeck,England,Arsenal FC,5,0
Dominic Calvert-Lewin,England,Everton FC,4,0
Jermain Defoe,England,AFC Bournemouth,4,0
Marouane Fellaini,Belgium,Manchester United,4,0
İlkay Gündoğan,Germany,Manchester City,4,1
 Joselu,Spain,Newcastle United,4,0
Aaron Mooy,Australia,Huddersfield Town,4,1
Mark Noble,England,West Ham United,4,2
Nicolás Otamendi,Argentina,Manchester City,4,0
Mesut Özil,Germany,Arsenal FC,4,0
 Pedro,Spain,Chelsea FC,4,0
Gylfi Sigurðsson,Iceland,Everton FC,4,0
Chris Smalling,England,Manchester United,4,0
Sam Vokes,Wales,Burnley FC,4,0
Michail Antonio,England,West Ham United,3,0
André Ayew,Ghana,Swansea City,3,0
Christian Benteke,Belgium,Crystal Palace,3,1
Emre Can,Germany,Liverpool FC,3,0
Andy Carroll,England,West Ham United,3,0
Sam Clucas,England,Swansea City,3,0
 Danilo,Brazil,Manchester City,3,0
Steven Davis,Northern Ireland,Southampton FC,3,0
Demarai Gray,England,Leicester City,3,0
 Iborra,Spain,Leicester City,3,0
Kelechi Iheanacho,Nigeria,Leicester City,3,0
