Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Leicester,38,23,12,3,68,36,32,81,405,48,3,523,181
2,Arsenal,38,20,11,7,65,36,29,71,350,39,4,572,210
3,Tottenham,38,19,13,6,69,35,34,70,452,72,0,661,250
4,Man City,38,19,9,10,71,41,30,66,409,61,0,612,210
5,Man United,38,19,9,10,49,35,14,66,472,65,1,430,143
6,Southampton,38,18,9,11,59,41,18,63,416,57,6,519,169
7,West Ham,38,16,14,8,65,51,14,62,381,56,5,556,184
8,Liverpool,38,16,12,10,63,50,13,60,422,61,3,629,203
9,Stoke,38,14,9,15,41,55,-14,51,419,51,4,418,130
10,Chelsea,38,12,14,12,59,53,6,50,408,58,6,526,173
11,Everton,38,11,14,13,59,55,4,47,315,44,5,492,175
12,Swansea,38,12,11,15,42,52,-10,47,392,62,1,442,136
13,Watford,38,12,9,17,40,50,-10,45,460,74,3,445,136
14,West Brom,38,10,13,15,34,48,-14,43,392,63,3,384,106
15,Crystal Palace,38,11,9,18,39,51,-12,42,465,60,1,466,152
16,Bournemouth,38,11,9,18,45,67,-22,42,362,52,1,463,144
17,Sunderland,38,9,12,17,48,62,-14,39,396,62,2,439,143
18,Newcastle,38,9,10,19,44,65,-21,37,414,58,5,398,152
19,Norwich,38,9,7,22,39,67,-28,34,417,61,3,416,126
20,Aston Villa,38,3,8,27,27,76,-49,17,431,75,3,368,111
