Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Milan,38,24,10,4,65,24,41,82,551,63,5,588,217
2,Inter,38,23,7,8,69,42,27,76,442,55,3,652,220
3,Napoli,38,21,7,10,59,39,20,70,584,90,5,520,188
4,Udinese,38,20,6,12,65,43,22,66,581,72,7,544,193
5,Lazio,38,20,6,12,55,39,16,66,543,65,7,559,186
6,Roma,38,18,9,11,59,52,7,63,555,81,9,601,182
7,Juventus,38,15,13,10,57,47,10,58,592,72,5,577,181
8,Palermo,38,17,5,16,58,63,-5,56,518,74,3,610,208
9,Fiorentina,38,12,15,11,49,44,5,51,576,71,5,538,177
10,Genoa,38,14,9,15,45,47,-2,51,601,65,5,537,156
11,Chievo,38,11,13,14,38,40,-2,46,667,91,4,507,162
12,Parma,38,11,13,14,39,47,-8,46,655,83,7,470,150
13,Catania,38,12,10,16,40,52,-12,46,629,66,7,516,145
14,Cagliari,38,12,9,17,44,51,-7,45,629,75,0,487,147
15,Bologna,38,11,12,15,35,52,-17,45,619,83,4,436,130
16,Cesena,38,11,10,17,38,50,-12,43,579,78,7,459,135
17,Lecce,38,11,8,19,46,66,-20,41,692,80,9,459,160
18,Sampdoria,38,8,12,18,33,49,-16,36,541,72,5,454,133
19,Brescia,38,7,11,20,34,52,-18,32,650,93,5,491,154
20,Bari,38,5,9,24,27,56,-29,24,559,70,6,419,128
