Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Bayern Munich,34,29,3,2,94,23,71,90,407,45,2,630,258
2,Dortmund,34,22,5,7,80,38,42,71,464,43,2,614,242
3,Schalke 04,34,19,7,8,63,43,20,64,556,53,5,474,182
4,Leverkusen,34,19,4,11,60,41,19,61,510,69,2,494,185
5,Wolfsburg,34,18,6,10,63,50,13,60,550,54,8,523,200
6,M'gladbach,34,16,7,11,59,43,16,55,361,50,3,430,169
7,Mainz,34,16,5,13,52,54,-2,53,494,53,4,441,163
8,Augsburg,34,15,7,12,47,47,0,52,518,61,1,512,159
9,Hoffenheim,34,11,11,12,72,70,2,44,658,63,2,496,196
10,Hannover,34,12,6,16,46,59,-13,42,591,71,6,469,164
11,Hertha,34,11,8,15,40,48,-8,41,552,56,1,383,150
12,Werder Bremen,34,10,9,15,42,66,-24,39,551,73,3,367,132
13,Ein Frankfurt,34,9,9,16,40,57,-17,36,556,75,2,431,154
14,Freiburg,34,9,9,16,43,61,-18,36,513,62,5,370,130
15,Stuttgart,34,8,8,18,49,62,-13,32,507,60,5,401,139
16,Hamburg,34,7,6,21,51,75,-24,27,537,54,2,500,205
17,Nurnberg,34,5,11,18,37,70,-33,26,524,71,4,389,142
18,Braunschweig,34,6,7,21,29,60,-31,25,553,62,3,412,119
