Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Bayern Munich,34,27,3,4,92,28,64,84,348,42,0,589,236
2,Schalke 04,34,18,9,7,53,37,16,63,532,62,2,404,165
3,Hoffenheim,34,15,10,9,66,48,18,55,487,68,0,473,180
4,Dortmund,34,15,10,9,64,47,17,55,392,41,3,489,182
5,Leverkusen,34,15,10,9,58,44,14,55,438,58,4,509,172
6,RB Leipzig,34,15,8,11,57,53,4,53,425,48,6,486,176
7,Stuttgart,34,15,6,13,36,36,0,51,443,59,2,368,129
8,Ein Frankfurt,34,14,7,13,45,45,0,49,510,72,2,389,147
9,M'gladbach,34,13,8,13,47,52,-5,47,388,47,0,454,156
10,Hertha,34,10,13,11,43,46,-3,43,469,47,3,318,134
11,Werder Bremen,34,10,12,12,37,40,-3,42,509,55,0,433,153
12,Augsburg,34,10,11,13,43,46,-3,41,463,68,2,433,146
13,Hannover,34,10,9,15,44,54,-10,39,475,63,0,434,146
14,Mainz,34,9,9,16,38,52,-14,36,505,63,3,416,146
15,Freiburg,34,8,12,14,32,56,-24,36,432,54,5,376,117
16,Wolfsburg,34,6,15,13,36,48,-12,33,428,62,6,355,117
17,Hamburg,34,8,7,19,29,53,-24,31,473,60,4,398,137
18,FC Koln,34,5,7,22,35,70,-35,22,460,66,1,385,117
