player,country,team,assists
Marco Reus,Germany,Borussia Dortmund,13
Alexandru Maxim,Romania,VfB Stuttgart,12
Max Kruse,Germany,Bor. Mönchengladbach,10
Robert Lewandowski,Poland,Borussia Dortmund,10
Thomas Müller,Germany,Bayern München,10
Franck Ribéry,France,Bayern München,10
 Roberto Firmino,Brazil,1899 Hoffenheim,10
Kevin Volland,Germany,1899 Hoffenheim,10
Gonzalo Castro,Germany,Bayer Leverkusen,9
Patrick Herrmann,Germany,Bor. Mönchengladbach,9
Henrikh Mkhitaryan,Armenia,Borussia Dortmund,9
Ricardo Rodríguez,Switzerland,VfL Wolfsburg,9
Mario Götze,Germany,Bayern München,8
André Hahn,Germany,FC Augsburg,8
Szabolcs Huszti,Hungary,Hannover 96,8
Jonathan Schmid,France,SC Freiburg,8
Tobias Werner,Germany,FC Augsburg,8
Stefan Aigner,Germany,Eintracht Frankfurt,7
Julian Draxler,Germany,FC Schalke 04,7
Aaron Hunt,Germany,Werder Bremen,7
Sebastian Jung,Germany,Eintracht Frankfurt,7
Hiroshi Kiyotake,Japan,1. FC Nürnberg,7
Zdeněk Pospěch,Czech Republic,1. FSV Mainz 05,7
 Raffael,Brazil,Bor. Mönchengladbach,7
 Rafinha,Brazil,Bayern München,7
Adrián Ramos,Colombia,Hertha BSC,7
Sidney Sam,Germany,Bayer Leverkusen,7
Per Skjelbred,Norway,Hamburger SV,7
Rafael van der Vaart,Netherlands,Hamburger SV,7
David Alaba,Austria,Bayern München,6
Juan Arango,Venezuela,Bor. Mönchengladbach,6
Kevin De Bruyne,Belgium,VfL Wolfsburg,6
Jefferson Farfán,Peru,FC Schalke 04,6
Johannes Geis,Germany,1. FSV Mainz 05,6
Jonas Hofmann,Germany,Borussia Dortmund,6
Matthias Ostrzolek,Germany,FC Augsburg,6
Arjen Robben,Netherlands,Bayern München,6
Ibrahima Traoré,Guinea,VfB Stuttgart,6
Karim Bellarabi,Germany,Eintracht Braunschweig,5
Leonardo Bittencourt,Germany,Hannover 96,5
Mirko Boland,Germany,Eintracht Braunschweig,5
Vladimír Darida,Czech Republic,SC Freiburg,5
Fabian Johnson,USA,1899 Hoffenheim,5
Mario Mandžukić,Croatia,Bayern München,5
Ivica Olić,Croatia,VfL Wolfsburg,5
Sejad Salihović,Bosnia-Herzegovina,1899 Hoffenheim,5
Sven Schipplock,Germany,1899 Hoffenheim,5
Bastian Schweinsteiger,Germany,Bayern München,5
Timo Werner,Germany,VfB Stuttgart,5
Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,4
Alexander Baumjohann,Germany,Hertha BSC,4
Maximilian Beister,Germany,Hamburger SV,4
Sebastian Boenisch,Poland,Bayer Leverkusen,4
Hakan Çalhanoğlu,Turkey,Hamburger SV,4
Eric Maxim Choupo-Moting,Cameroon,1. FSV Mainz 05,4
Franco Di Santo,Argentina,Werder Bremen,4
Mame Diouf,Senegal,Hannover 96,4
Eljero Elia,Netherlands,Werder Bremen,4
Sebastian Freis,Germany,SC Freiburg,4
Toni Kroos,Germany,Bayern München,4
Admir Mehmedi,Switzerland,SC Freiburg,4
Max Meyer,Germany,FC Schalke 04,4
