player,country,team,goal,penalty
Mario Gomez,Germany,Bayern München,28,1
Papiss Demba Cissé,Senegal,SC Freiburg,22,4
Milivoje Novakovič,Slovenia,1. FC Köln,17,0
Lucas Barrios,Paraguay,Borussia Dortmund,16,0
Theofanis Gekas,Greece,Eintracht Frankfurt,16,4
Srđan Lakić,Croatia,1. FC Kaiserslautern,16,0
André Schürrle,Germany,1. FSV Mainz 05,15,3
Didier Ya Konan,Ivory Coast,Hannover 96,14,2
Lukas Podolski,Germany,1. FC Köln,13,2
 Raúl,Spain,FC Schalke 04,13,0
Thomas Müller,Germany,Bayern München,12,0
Arjen Robben,Netherlands,Bayern München,12,0
Mladen Petrić,Croatia,Hamburger SV,11,1
Mohammed Abdellaoue,Norway,Hannover 96,10,0
Sami Allagui,Tunisia,1. FSV Mainz 05,10,0
Edin Džeko,Bosnia-Herzegovina,VfL Wolfsburg,10,0
Marco Reus,Germany,Bor. Mönchengladbach,10,0
Arturo Vidal,Chile,Bayer Leverkusen,10,6
 Grafite,Brazil,VfL Wolfsburg,9,0
Martin Harnik,Austria,VfB Stuttgart,9,0
 Hugo Almeida,Portugal,Werder Bremen,9,0
Zdravko Kuzmanović,Serbia,VfB Stuttgart,9,4
Claudio Pizarro,Peru,Werder Bremen,9,0
Gylfi Sigurðsson,Iceland,1899 Hoffenheim,9,2
 Cacau,Germany,VfB Stuttgart,8,0
Christian Eigler,Germany,1. FC Nürnberg,8,0
Kevin Großkreutz,Germany,Borussia Dortmund,8,0
Klaas Jan Huntelaar,Netherlands,FC Schalke 04,8,1
Vedad Ibišević,Bosnia-Herzegovina,1899 Hoffenheim,8,1
Shinji Kagawa,Japan,Borussia Dortmund,8,0
Robert Lewandowski,Poland,Borussia Dortmund,8,0
Mario Mandžukić,Croatia,VfL Wolfsburg,8,0
Pavel Pogrebnyak,Russia,VfB Stuttgart,8,0
Igor de Camargo,Belgium,Bor. Mönchengladbach,7,0
Stefan Kießling,Germany,Bayer Leverkusen,7,0
 Renato Augusto,Brazil,Bayer Leverkusen,7,0
Franck Ribéry,France,Bayern München,7,0
Sidney Sam,Germany,Bayer Leverkusen,7,0
Julian Schieber,Germany,1. FC Nürnberg,7,0
Ruud van Nistelrooy,Netherlands,Hamburger SV,7,1
Gerald Asamoah,Germany,FC St. Pauli,6,0
Demba Ba,Senegal,1899 Hoffenheim,6,0
Eren Derdiyok,Switzerland,Bayer Leverkusen,6,0
 Diego,Brazil,VfL Wolfsburg,6,0
Torsten Frings,Germany,Werder Bremen,6,3
Mario Götze,Germany,Borussia Dortmund,6,0
Patrick Helmes,Germany,Bayer Leverkusen,6,0
Nuri Şahin,Turkey,Borussia Dortmund,6,0
Christian Gentner,Germany,VfB Stuttgart,5,1
İlkay Gündoğan,Germany,1. FC Nürnberg,5,0
Erwin Hoffer,Austria,1. FC Kaiserslautern,5,0
Mats Hummels,Germany,Borussia Dortmund,5,0
Mohamadou Idrissou,Cameroon,Bor. Mönchengladbach,5,0
Ivo Iličević,Croatia,1. FC Kaiserslautern,5,1
Matthias Lehmann,Germany,FC St. Pauli,5,1
Jan Morávek,Czech Republic,1. FC Kaiserslautern,5,0
Georg Niedermeier,Germany,VfB Stuttgart,5,0
Konstantin Rausch,Russia,Hannover 96,5,0
Simon Rolfes,Germany,Bayer Leverkusen,5,0
