Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Dortmund,34,23,6,5,67,22,45,75,501,39,1,576,233
2,Leverkusen,34,20,8,6,64,44,20,68,510,55,1,473,171
3,Bayern Munich,34,19,8,7,81,40,41,65,429,43,2,509,205
4,Hannover,34,19,3,12,49,45,4,60,595,54,5,367,145
5,Mainz,34,18,4,12,52,39,13,58,561,53,1,418,156
6,Nurnberg,34,13,8,13,47,45,2,47,558,62,3,457,148
7,Kaiserslautern,34,13,7,14,48,51,-3,46,628,59,4,454,145
8,Hamburg,34,12,9,13,46,52,-6,45,502,53,2,422,145
9,Freiburg,34,13,5,16,41,50,-9,44,556,46,3,359,114
10,FC Koln,34,13,5,16,47,62,-15,44,616,79,1,387,145
11,Hoffenheim,34,11,10,13,50,50,0,43,654,61,4,474,168
12,Stuttgart,34,12,6,16,60,59,1,42,530,65,4,459,179
13,Werder Bremen,34,10,11,13,47,61,-14,41,568,67,4,456,165
14,Schalke 04,34,11,7,16,38,44,-6,40,580,51,4,388,137
15,Wolfsburg,34,9,11,14,43,48,-5,38,594,71,2,398,137
16,M'gladbach,34,10,6,18,48,65,-17,36,533,51,8,432,170
17,Ein Frankfurt,34,9,7,18,31,49,-18,34,514,73,3,386,121
18,St Pauli,34,8,5,21,35,68,-33,29,566,56,5,416,134
