player,country,team,assists
Lionel Messi,Argentina,FC Barcelona,18
 Cristiano Ronaldo,Portugal,Real Madrid,16
Luis Suárez,Uruguay,FC Barcelona,14
 Nolito,Spain,Celta Vigo,13
James Rodríguez,Colombia,Real Madrid,13
Karim Benzema,France,Real Madrid,10
 Koke,Spain,Atlético Madrid,10
Gareth Bale,Wales,Real Madrid,9
Denis Cheryshev,Russia,Villarreal CF,9
 Isco,Spain,Real Madrid,9
 Sergio García,Spain,Espanyol Barcelona,9
 Xavi,Spain,FC Barcelona,8
 Jonathas,Brazil,Elche CF,7
Gaël Kakuta,France,Rayo Vallecano,7
Toni Kroos,Germany,Real Madrid,7
 Marcelo,Brazil,Real Madrid,7
 Neymar,Brazil,FC Barcelona,7
Ivan Rakitić,Croatia,FC Barcelona,7
 Saúl,Spain,SD Eibar,7
 Susaeta,Spain,Athletic Bilbao,7
Carlos Bacca,Colombia,Sevilla FC,6
 Dani Alves,Brazil,FC Barcelona,6
Sofiane Féghouli,Algeria,Valencia CF,6
 Gayà,Spain,Valencia CF,6
 Lucas Vázquez,Spain,Espanyol Barcelona,6
Fabián Orellana,Chile,Celta Vigo,6
 Pedro,Spain,FC Barcelona,6
Pablo Piatti,Argentina,Valencia CF,6
 Rubén Pardo,Spain,Real Sociedad,6
 Xabi Prieto,Spain,Real Sociedad,6
 Aduriz,Spain,Athletic Bilbao,5
 Aleix Vidal,Spain,Sevilla FC,5
 Arbeloa,Spain,Real Madrid,5
Fede Cartabia,Argentina,Córdoba CF,5
 Gabi,Spain,Atlético Madrid,5
 Gerard Deulofeu,Spain,Sevilla FC,5
Michael Krohn-Dehli,Denmark,Celta Vigo,5
Mario Mandžukić,Croatia,Atlético Madrid,5
 Pablo Sarabia,Spain,Getafe CF,5
 Paco Alcácer,Spain,Valencia CF,5
 Parejo,Spain,Valencia CF,5
 Pedro León,Spain,Getafe CF,5
 Samu Castillejo,Spain,Málaga CF,5
 Álvaro Negredo,Spain,Valencia CF,4
Nordin Amrabat,Morocco,Málaga CF,4
 Bueno,Spain,Rayo Vallecano,4
 Canales,Spain,Real Sociedad,4
Gonzalo Castro,Uruguay,Real Sociedad,4
Rodrigo de Paul,Argentina,Valencia CF,4
 Denis Suárez,Spain,Sevilla FC,4
Fayçal Fajr,Morocco,Elche CF,4
Tomer Hemed,Israel,UD Almería,4
Javier Hernández,Mexico,Real Madrid,4
 Juanfran,Spain,Atlético Madrid,4
 Moi Gómez,Spain,Villarreal CF,4
 Reyes,Spain,Sevilla FC,4
 Rodrigo,Spain,Valencia CF,4
 Sammir,Croatia,Getafe CF,4
 Tiago,Portugal,Atlético Madrid,4
 Trashorras,Spain,Rayo Vallecano,4
Benoît Trémoulinas,France,Sevilla FC,4
Arda Turan,Turkey,Atlético Madrid,4
 Arruabarrena,Spain,SD Eibar,3
Éver Banega,Argentina,Sevilla FC,3
 Bartra,Spain,FC Barcelona,3
 Borja García,Spain,Córdoba CF,3
 Coke,Spain,Sevilla FC,3
 Dani Carvajal,Spain,Real Madrid,3
 Dani García,Spain,SD Eibar,3
 De Marcos,Spain,Athletic Bilbao,3
 Edu Albácar,Spain,Elche CF,3
 Embarba,Spain,Rayo Vallecano,3
 Gerard,Spain,Villarreal CF,3
José Giménez,Uruguay,Atlético Madrid,3
 Ivan Cavaleiro,Portugal,Deportivo La Coruña,3
 Iván López,Spain,Levante UD,3
Andreas Ivanschitz,Austria,Levante UD,3
 Javi Lara,Spain,SD Eibar,3
 Jordi Alba,Spain,FC Barcelona,3
 Licá,Portugal,Rayo Vallecano,3
 Lucas Pérez,Spain,Deportivo La Coruña,3
Luka Modrić,Croatia,Real Madrid,3
 Morales,Spain,Levante UD,3
 Pina,Spain,Villarreal CF,3
 Piti,Spain,Granada CF,3
 Raúl García,Spain,Atlético Madrid,3
Roberto Rosales,Venezuela,Málaga CF,3
 Sevilla,Spain,Espanyol Barcelona,3
 Verza,Spain,UD Almería,3
 Víctor Sánchez,Spain,Espanyol Barcelona,3
 Vitolo,Spain,Sevilla FC,3
 Wellington Silva,Brazil,UD Almería,3
 Zé Castro,Portugal,Rayo Vallecano,3
 Abraham,Spain,SD Eibar,2
 Antunes,Portugal,Málaga CF,2
Javier Aquino,Mexico,Rayo Vallecano,2
 Barragán,Spain,Valencia CF,2
 Beñat,Spain,Athletic Bilbao,2
 Busquets,Spain,FC Barcelona,2
Felipe Caicedo,Ecuador,Espanyol Barcelona,2
 Camacho,Spain,Málaga CF,2
 Cani,Spain,Atlético Madrid,2
 Carlos Martínez,Spain,Real Sociedad,2
 Charles,Brazil,Celta Vigo,2
 De la Bella,Spain,Real Sociedad,2
 Diogo,Portugal,Sevilla FC,2
Giovani dos Santos,Mexico,Villarreal CF,2
Nabil El Zhar,Morocco,Levante UD,2
Youssef El-Arabi,Morocco,Granada CF,2
 Eneko Bóveda,Spain,SD Eibar,2
 Escudero,Spain,Getafe CF,2
Dimitri Foulquier,France,Granada CF,2
Kevin Gameiro,France,Sevilla FC,2
Freddy Hinestroza,Colombia,Getafe CF,2
 Ibai,Spain,Athletic Bilbao,2
Emiliano Insúa,Argentina,Rayo Vallecano,2
 Isaac Cuenca,Spain,Deportivo La Coruña,2
 Jesé,Spain,Real Madrid,2
Raúl Jiménez,Mexico,Atlético Madrid,2
 Joseba Zaldúa,Spain,Real Sociedad,2
Mehdi Lacen,Algeria,Getafe CF,2
Joaquin Larrivey,Argentina,Celta Vigo,2
 Mario,Spain,Villarreal CF,2
 Mikel Rico,Spain,Athletic Bilbao,2
 Pepe,Portugal,Real Madrid,2
 Raúl Albentosa,Spain,SD Eibar,2
 Recio,Spain,Málaga CF,2
 Rubén García,Spain,Levante UD,2
 Saúl,Spain,Atlético Madrid,2
 Sidnei,Brazil,Deportivo La Coruña,2
 Tito,Spain,Rayo Vallecano,2
 Toño García,Spain,Levante UD,2
Kalu Uche,Nigeria,Levante UD,2
Carlos Vela,Mexico,Real Sociedad,2
 Víctor,Spain,Elche CF,2
 Víctor Álvarez,Spain,Espanyol Barcelona,2
 Víctor Casadesús,Spain,Levante UD,2
 Víctor Ruiz,Spain,Villarreal CF,2
Luciano Vietto,Argentina,Villarreal CF,2
 Ximo Navarro,Spain,UD Almería,2
 Aarón,Spain,Elche CF,1
 Abraham,Spain,Espanyol Barcelona,1
 Adrián,Spain,Elche CF,1
 Adriano,Brazil,FC Barcelona,1
 Agirretxe,Spain,Real Sociedad,1
 Aketxe,Spain,Athletic Bilbao,1
 Álex,Spain,Deportivo La Coruña,1
 Alexis,Spain,Getafe CF,1
 André Gomes,Portugal,Valencia CF,1
 Ángel,Spain,SD Eibar,1
 Arbilla,Spain,Espanyol Barcelona,1
Ramon Azeez,Nigeria,UD Almería,1
 Balenziaga,Spain,Athletic Bilbao,1
Alhassane Bangoura,Guinea,Granada CF,1
 Bebé,Portugal,Córdoba CF,1
Thievy Bifouma,Congo,UD Almería,1
Arthur Boka,Ivory Coast,Málaga CF,1
Théo Bongonda,Belgium,Celta Vigo,1
Celso Borges,Costa Rica,Deportivo La Coruña,1
 Bruno Soriano,Spain,Villarreal CF,1
 Camarasa,Spain,Levante UD,1
 Candeias,Portugal,Granada CF,1
 Capa,Spain,SD Eibar,1
 Carles Gil,Spain,Valencia CF,1
 Carles Planas,Spain,Celta Vigo,1
 Casado,Spain,Málaga CF,1
 Cisma,Spain,Elche CF,1
 Coro,Spain,Elche CF,1
Babá Diawara,Senegal,Getafe CF,1
Pape Diop,Senegal,Levante UD,1
Jonathan dos Santos,Mexico,Villarreal CF,1
Sebastián Dubarbier,Argentina,UD Almería,1
 Duda,Portugal,Málaga CF,1
 Édgar,Spain,UD Almería,1
 Edimar,Brazil,Córdoba CF,1
Patrick Ekeng,Cameroon,Córdoba CF,1
 Fernando Torres,Spain,Atlético Madrid,1
 Fidel,Spain,Córdoba CF,1
Alfreð Finnbogason,Iceland,Real Sociedad,1
 Fran Rico,Spain,Granada CF,1
 Fran Vélez,Spain,UD Almería,1
 Granero,Spain,Real Sociedad,1
Antoine Griezmann,France,Atlético Madrid,1
Pablo Hernández,Chile,Celta Vigo,1
 Iago Aspas,Spain,Sevilla FC,1
