player,country,team,assists
Luis Suárez,Uruguay,FC Barcelona,13
Toni Kroos,Germany,Real Madrid,12
 Neymar,Brazil,FC Barcelona,11
 Marcelo,Brazil,Real Madrid,10
Pablo Piatti,Argentina,Espanyol Barcelona,10
Lionel Messi,Argentina,FC Barcelona,9
Ángel Correa,Argentina,Atlético Madrid,8
Antoine Griezmann,France,Atlético Madrid,8
 Isco,Spain,Real Madrid,8
 Koke,Spain,Atlético Madrid,8
 Pablo Sarabia,Spain,Sevilla FC,8
 Jonathan Viera,Spain,UD Las Palmas,7
 Lucas Vázquez,Spain,Real Madrid,7
 Mikel Oyarzabal,Spain,Real Sociedad,7
 Nani,Portugal,Valencia CF,7
 Parejo,Spain,Valencia CF,7
 Sergi Enrich,Spain,SD Eibar,7
 Álex Berenguer,Spain,CA Osasuna,6
Emre Çolak,Turkey,Deportivo La Coruña,6
 Cristiano Ronaldo,Portugal,Real Madrid,6
 Filipe Luís,Brazil,Atlético Madrid,6
 Jordi Alba,Spain,FC Barcelona,6
 Juanfran,Spain,Deportivo La Coruña,6
James Rodríguez,Colombia,Real Madrid,6
 Sergi Roberto,Spain,FC Barcelona,6
 Vitolo,Spain,Sevilla FC,6
 Williams,Spain,Athletic Bilbao,6
 Xabi Prieto,Spain,Real Sociedad,6
 Antonio Luna,Spain,SD Eibar,5
 Beñat,Spain,Athletic Bilbao,5
Karim Benzema,France,Real Madrid,5
 Fernando Torres,Spain,Atlético Madrid,5
Kevin Gameiro,France,Atlético Madrid,5
 Leo Baptistão,Brazil,Espanyol Barcelona,5
 Moi Gómez,Spain,Sporting Gijón,5
 Pedro León,Spain,SD Eibar,5
Ivan Rakitić,Croatia,FC Barcelona,5
Roberto Soriano,Italy,Villarreal CF,5
Wissam Ben Yedder,France,Sevilla FC,4
Kevin-Prince Boateng,Ghana,UD Las Palmas,4
 Burgui,Spain,Sporting Gijón,4
 Canales,Spain,Real Sociedad,4
 Carles Gil,Spain,Deportivo La Coruña,4
 Dani Carvajal,Spain,Real Madrid,4
 De Marcos,Spain,Athletic Bilbao,4
Riza Durmisi,Denmark,Real Betis,4
Nabil El Zhar,Morocco,CD Leganés,4
Yannick Ferreira-Carrasco,Belgium,Atlético Madrid,4
 Gerard,Spain,Espanyol Barcelona,4
 Jaime,Spain,CA Osasuna,4
 João Cancelo,Portugal,Valencia CF,4
 Joaquín,Spain,Real Betis,4
Stevan Jovetić,Montenegro,Sevilla FC,4
 Juankar,Spain,Málaga CF,4
 Jurado,Spain,Espanyol Barcelona,4
 Míchel,Brazil,UD Las Palmas,4
 Odriozola,Spain,Real Sociedad,4
 Raúl García,Spain,Athletic Bilbao,4
 Reyes,Spain,Espanyol Barcelona,4
 Tana,Spain,UD Las Palmas,4
Daniel Wass,Denmark,Celta Vigo,4
 Willian José,Brazil,Real Sociedad,4
 Andreas Pereira,Brazil,Granada CF,3
Théo Bongonda,Belgium,Celta Vigo,3
 Bueno,Spain,CD Leganés,3
 Capa,Spain,SD Eibar,3
Duje Čop,Croatia,Sporting Gijón,3
 Denis Suárez,Spain,FC Barcelona,3
Jonathan dos Santos,Mexico,Villarreal CF,3
 Escudero,Spain,Sevilla FC,3
Theo Hernández,France,CD Alavés,3
 Iago Aspas,Spain,Celta Vigo,3
 Iniesta,Spain,FC Barcelona,3
 Isma López,Spain,Sporting Gijón,3
 Jaume Costa,Spain,Villarreal CF,3
 Javi Ontiveros,Spain,Málaga CF,3
 Jonny,Spain,Celta Vigo,3
Aleksandar Katai,Serbia,CD Alavés,3
 Keko,Spain,Málaga CF,3
Mateo Kovačić,Croatia,Real Madrid,3
Marko Livaja,Croatia,UD Las Palmas,3
Darwin Machís,Venezuela,CD Leganés,3
 Mario,Spain,Villarreal CF,3
Javier Mascherano,Argentina,FC Barcelona,3
 Morata,Spain,Real Madrid,3
 Munir,Spain,FC Barcelona,3
Steven N'Zonzi,France,Sevilla FC,3
 Nacho,Spain,Real Madrid,3
Samir Nasri,France,Sevilla FC,3
Fabián Orellana,Chile,Celta Vigo,3
 Paco Alcácer,Spain,FC Barcelona,3
Cristiano Piccini,Italy,Real Betis,3
 Roberto Torres,Spain,CA Osasuna,3
 Rodrigo,Spain,Valencia CF,3
 Rubén Castro,Spain,Real Betis,3
 Samu Castillejo,Spain,Villarreal CF,3
