player,country,team,goal,penalty
Lionel Messi,Argentina,FC Barcelona,50,10
 Cristiano Ronaldo,Portugal,Real Madrid,46,12
Radamel Falcao,Colombia,Atlético Madrid,24,5
Gonzalo Higuaín,Argentina,Real Madrid,22,0
Karim Benzema,France,Real Madrid,21,0
 Soldado,Spain,Valencia CF,17,1
 Llorente,Spain,Athletic Bilbao,16,0
 Rubén Castro,Spain,Real Betis,16,0
Arouna Koné,Ivory Coast,Levante UD,15,0
 Michu,Spain,Rayo Vallecano,15,0
 Álvaro Negredo,Spain,Sevilla FC,14,1
 Miku,Venezuela,Getafe CF,12,2
Carlos Vela,Mexico,Real Sociedad,12,0
 Raúl García,Spain,CA Osasuna,11,0
Salomón Rondón,Venezuela,Málaga CF,11,0
Alexis Sánchez,Chile,FC Barcelona,11,0
 Agirretxe,Spain,Real Sociedad,10,0
 Diego Costa,Spain,Rayo Vallecano,10,2
 Jonas,Brazil,Valencia CF,10,1
 Manu del Moral,Spain,Sevilla FC,10,0
 Xavi,Spain,FC Barcelona,10,0
 Barral,Spain,Sporting Gijón,9,0
 Cesc Fàbregas,Spain,FC Barcelona,9,0
 Hélder Postiga,Portugal,Real Zaragoza,9,0
 Raúl Tamudo,Spain,Rayo Vallecano,9,1
Marco Rubén,Argentina,Villarreal CF,9,1
 Santi Cazorla,Spain,Málaga CF,9,0
Cristhian Stuani,Uruguay,Racing Santander,9,4
 Víctor Casadesús,Spain,RCD Mallorca,9,0
Tomer Hemed,Israel,RCD Mallorca,8,5
 Rubén Suárez,Spain,Levante UD,8,4
 Adrián,Spain,Atlético Madrid,7,0
 Aduriz,Spain,Valencia CF,7,0
Ibrahima Baldé,Senegal,CA Osasuna,7,0
 Barkero,Spain,Levante UD,7,3
 Diego Castro,Spain,Getafe CF,7,1
Antoine Griezmann,France,Real Sociedad,7,0
Roque Santa Cruz,Paraguay,Real Betis,7,0
 Valdo,Cape Verde,Levante UD,7,0
 Apoño,Spain,Málaga CF,6,4
 Beñat,Spain,Real Betis,6,1
Gonzalo Castro,Uruguay,RCD Mallorca,6,0
Sofiane Féghouli,Algeria,Valencia CF,6,0
Odion Ighalo,Nigeria,Granada CF,6,0
 Molina,Spain,Real Betis,6,0
 Nino,Spain,CA Osasuna,6,0
 Siqueira,Brazil,Granada CF,6,4
 Susaeta,Spain,Athletic Bilbao,6,0
 Álvaro,Spain,Espanyol Barcelona,5,0
 Borja Valero,Spain,Villarreal CF,5,0
Tino Costa,Argentina,Valencia CF,5,1
 Coutinho,Brazil,Espanyol Barcelona,5,0
 David Villa,Spain,FC Barcelona,5,0
Ángel Di María,Argentina,Real Madrid,5,0
Sebastián Fernández,Uruguay,Málaga CF,5,0
 Isco,Spain,Málaga CF,5,0
 Jesús Navas,Spain,Sevilla FC,5,0
 José Callejón,Spain,Real Madrid,5,0
 Juanlu,Spain,Levante UD,5,0
 Kaká,Brazil,Real Madrid,5,0
 Marcos Senna,Spain,Villarreal CF,5,2
Javad Nekounam,Iran,CA Osasuna,5,1
 Pedro,Spain,FC Barcelona,5,0
 Sergio García,Spain,Espanyol Barcelona,5,0
Kalu Uche,Nigeria,Espanyol Barcelona,5,0
 Verdú,Spain,Espanyol Barcelona,5,1
 Xavi Torres,Spain,Levante UD,5,0
 Álvaro Cejudo,Spain,CA Osasuna,4,0
Abdelaziz Barrada,Morocco,Getafe CF,4,0
Mate Bilić,Croatia,Sporting Gijón,4,0
 De Marcos,Spain,Athletic Bilbao,4,0
 Íñigo López,Spain,Granada CF,4,0
 Javi Martínez,Spain,Athletic Bilbao,4,0
 Jonathan Pereira,Spain,Real Betis,4,0
Frederic Kanouté,Mali,Sevilla FC,4,0
Dejan Lekić,Serbia,CA Osasuna,4,0
 Luis García,Spain,Espanyol Barcelona,4,0
 Nilmar,Brazil,Villarreal CF,4,1
Mesut Özil,Germany,Real Madrid,4,0
Hernán Pérez,Paraguay,Villarreal CF,4,0
Gastón Sangoy,Argentina,Sporting Gijón,4,1
 Toquero,Spain,Athletic Bilbao,4,0
Óscar Trejo,Argentina,Sporting Gijón,4,0
Ruud van Nistelrooy,Netherlands,Málaga CF,4,0
 Adrián,Spain,Racing Santander,3,0
Fernando Amorebieta,Venezuela,Athletic Bilbao,3,0
Alhassane Bangoura,Guinea,Rayo Vallecano,3,0
 Bruno Soriano,Spain,Villarreal CF,3,0
 Carlos Martins,Portugal,Granada CF,3,0
 Colunga,Spain,Getafe CF,3,0
 Cristian Tello,Spain,FC Barcelona,3,0
 De las Cuevas,Spain,Sporting Gijón,3,2
Martín Demichelis,Argentina,Málaga CF,3,0
Babá Diawara,Senegal,Sevilla FC,3,0
 Diego,Brazil,Atlético Madrid,3,0
 Domínguez,Spain,Atlético Madrid,3,0
 Güiza,Spain,Getafe CF,3,0
 Iñigo Martínez,Spain,Real Sociedad,3,0
Franco Jara,Argentina,Granada CF,3,0
 Juankar,Spain,Real Zaragoza,3,0
Seydou Keita,Mali,FC Barcelona,3,0
 Lafita,Spain,Real Zaragoza,3,0
 Lora,Spain,Sporting Gijón,3,0
 Marcelo,Brazil,Real Madrid,3,0
 Mikel Rico,Spain,Granada CF,3,0
Héctor Moreno,Mexico,Espanyol Barcelona,3,0
Emilio N'Sue,Equatorial Guinea,RCD Mallorca,3,0
 Nacho Novo,Spain,Sporting Gijón,3,0
