player,country,team,goal,penalty
Lionel Messi,Argentina,FC Barcelona,46,4
 Cristiano Ronaldo,Portugal,Real Madrid,34,6
Radamel Falcao,Colombia,Atlético Madrid,28,8
 Álvaro Negredo,Spain,Sevilla FC,25,4
 Soldado,Spain,Valencia CF,24,5
 Piti,Spain,Rayo Vallecano,18,5
 Rubén Castro,Spain,Real Betis,18,2
Gonzalo Higuaín,Argentina,Real Madrid,16,0
 Aduriz,Spain,Athletic Bilbao,14,1
 Hélder Postiga,Portugal,Real Zaragoza,14,1
Carlos Vela,Mexico,Real Sociedad,14,4
 Agirretxe,Spain,Real Sociedad,13,0
 Jonas,Brazil,Valencia CF,13,1
 Molina,Spain,Real Betis,13,1
 Riki,Spain,Deportivo La Coruña,13,0
 Iago Aspas,Spain,Celta Vigo,12,3
 Óscar,Spain,Real Valladolid,12,0
Karim Benzema,France,Real Madrid,11,0
 Cesc Fàbregas,Spain,FC Barcelona,11,0
Tomer Hemed,Israel,RCD Mallorca,11,0
 David Villa,Spain,FC Barcelona,10,0
 Diego Costa,Spain,Atlético Madrid,10,0
Antoine Griezmann,France,Real Sociedad,10,0
 Apoño,Spain,Real Zaragoza,9,7
 Isco,Spain,Málaga CF,9,2
 Kike Sola,Spain,CA Osasuna,9,0
Mesut Özil,Germany,Real Madrid,9,0
 Verdú,Spain,Espanyol Barcelona,9,3
 Xabi Prieto,Spain,Real Sociedad,9,3
Youssef El-Arabi,Morocco,Granada CF,8,1
 Javi Guerra,Spain,Real Valladolid,8,0
 Manucho,Angola,Real Valladolid,8,0
Dorlan Pabón,Colombia,Real Betis,8,0
 Pizzi,Portugal,Deportivo La Coruña,8,4
Ivan Rakitić,Croatia,Sevilla FC,8,1
Alexis Sánchez,Chile,FC Barcelona,8,0
Roque Santa Cruz,Paraguay,Málaga CF,8,0
Javier Saviola,Argentina,Málaga CF,8,0
 Víctor Casadesús,Spain,RCD Mallorca,8,1
Gonzalo Castro,Uruguay,Real Sociedad,7,0
 Cristian Tello,Spain,FC Barcelona,7,0
 Diego Castro,Spain,Getafe CF,7,4
 Leo Baptistão,Brazil,Rayo Vallecano,7,0
Obafemi Martins,Nigeria,Levante UD,7,0
 Pedro,Spain,FC Barcelona,7,0
 Sergio García,Spain,Espanyol Barcelona,7,0
Cristhian Stuani,Uruguay,Espanyol Barcelona,7,0
 Susaeta,Spain,Athletic Bilbao,7,0
 Alfaro,Spain,RCD Mallorca,6,0
 Bruno Gama,Portugal,Deportivo La Coruña,6,0
 Colunga,Spain,Getafe CF,6,0
 De Marcos,Spain,Athletic Bilbao,6,0
Andrija Delibašić,Montenegro,Rayo Vallecano,6,0
Ángel Di María,Argentina,Real Madrid,6,0
Giovani dos Santos,Mexico,RCD Mallorca,6,0
Patrick Ebert,Germany,Real Valladolid,6,0
Augusto Fernández,Argentina,Celta Vigo,6,0
Gary Medel,Chile,Sevilla FC,6,0
 Siqueira,Brazil,Granada CF,6,6
Nelson Valdez,Paraguay,Valencia CF,6,0
 Adriano,Brazil,FC Barcelona,5,0
 Álvaro,Spain,Espanyol Barcelona,5,0
 Barkero,Spain,Levante UD,5,2
 Bermejo,Spain,Celta Vigo,5,0
 Bueno,Spain,Real Valladolid,5,1
Alejandro Domínguez,Argentina,Rayo Vallecano,5,2
 Paco Montañés,Spain,Real Zaragoza,5,0
 Raúl García,Spain,Atlético Madrid,5,0
 San José,Spain,Athletic Bilbao,5,0
Arda Turan,Turkey,Atlético Madrid,5,0
 Xavi,Spain,FC Barcelona,5,0
Éver Banega,Argentina,Valencia CF,4,0
Abdelaziz Barrada,Morocco,Getafe CF,4,0
 Beñat,Spain,Real Betis,4,0
Martín Demichelis,Argentina,Málaga CF,4,0
 Ibai,Spain,Athletic Bilbao,4,0
 Iborra,Spain,Levante UD,4,0
Odion Ighalo,Nigeria,Granada CF,4,0
 Iñigo Martínez,Spain,Real Sociedad,4,0
 Joaquín,Spain,Málaga CF,4,1
 Júlio Baptista,Brazil,Málaga CF,4,0
 Llorente,Spain,Athletic Bilbao,4,0
 Míchel,Spain,Levante UD,4,1
 Nélson Oliveira,Portugal,Deportivo La Coruña,4,0
 Reyes,Spain,Sevilla FC,4,0
 Ricardo Costa,Portugal,Valencia CF,4,0
 Rubén García,Spain,Levante UD,4,0
 Sergio Ramos,Spain,Real Madrid,4,0
 Víctor Pérez,Spain,Real Valladolid,4,4
Robert Acquafresca,Italy,Levante UD,3,0
 Adrián,Spain,Atlético Madrid,3,0
Abel Aguilar,Colombia,Deportivo La Coruña,3,0
 Alexis,Spain,Getafe CF,3,0
 Álvaro Cejudo,Spain,CA Osasuna,3,0
Emiliano Armenteros,Argentina,CA Osasuna,3,0
Alhassane Bangoura,Guinea,Rayo Vallecano,3,0
 Coke,Spain,Sevilla FC,3,0
 De la Bella,Spain,Real Sociedad,3,0
 De Lucas,Spain,Celta Vigo,3,0
Federico Fazio,Argentina,Sevilla FC,3,0
Sofiane Féghouli,Algeria,Valencia CF,3,0
 Iniesta,Spain,FC Barcelona,3,0
 Javi Márquez,Spain,RCD Mallorca,3,1
 José Callejón,Spain,Real Madrid,3,0
 Kaká,Brazil,Real Madrid,3,1
Sami Khedira,Germany,Real Madrid,3,0
 Koke,Spain,Atlético Madrid,3,0
Samuele Longo,Italy,Espanyol Barcelona,3,0
Luka Modrić,Croatia,Real Madrid,3,0
Pedro Morales,Chile,Málaga CF,3,0
 Nino,Spain,CA Osasuna,3,0
 Nolito,Spain,Granada CF,3,0
 Paco Alcácer,Spain,Getafe CF,3,0
Chu-young Park,South Korea,Celta Vigo,3,0
 Pedro León,Spain,Getafe CF,3,0
 Simão,Portugal,Espanyol Barcelona,3,0
Gabriel Torje,Romania,Granada CF,3,0
