Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Barcelona,38,29,4,5,112,29,83,91,382,66,1,604,267
2,Real Madrid,38,28,6,4,110,34,76,90,422,68,5,710,290
3,Ath Madrid,38,28,4,6,63,18,45,88,505,88,3,480,166
4,Villarreal,38,18,10,10,44,35,9,64,519,96,4,342,132
5,Ath Bilbao,38,18,8,12,58,45,13,62,501,83,6,454,163
6,Celta,38,17,9,12,51,59,-8,60,529,109,7,444,155
7,Sevilla,38,14,10,14,51,50,1,52,557,95,8,460,182
8,Malaga,38,12,12,14,38,35,3,48,552,103,5,448,166
9,Sociedad,38,13,9,16,45,48,-3,48,464,104,5,457,157
10,Betis,38,11,12,15,34,52,-18,45,491,104,5,392,125
11,Valencia,38,11,11,16,46,48,-2,44,566,101,7,396,138
12,Las Palmas,38,12,8,18,45,53,-8,44,466,95,4,419,164
13,Eibar,38,11,10,17,49,61,-12,43,593,103,4,419,153
14,Espanol,38,12,7,19,40,74,-34,43,653,120,5,388,144
15,La Coruna,38,8,18,12,45,61,-16,42,401,80,4,451,156
16,Sp Gijon,38,10,9,19,40,62,-22,39,524,98,6,371,122
17,Granada,38,10,9,19,46,69,-23,39,585,133,7,429,130
18,Vallecano,38,9,11,18,52,73,-21,38,546,108,10,501,179
19,Getafe,38,9,9,20,37,67,-30,36,531,122,6,432,144
20,Levante,38,8,8,22,37,70,-33,32,548,126,7,433,143
