Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Barcelona,38,30,6,2,95,21,74,96,399,71,2,591,274
2,Real Madrid,38,29,5,4,102,33,69,92,537,91,7,718,299
3,Valencia,38,21,8,9,64,44,20,71,602,103,8,494,194
4,Villarreal,38,18,8,12,54,44,10,62,465,89,4,524,207
5,Ath Madrid,38,17,7,14,62,53,9,58,559,103,5,569,215
6,Ath Bilbao,38,18,4,16,59,55,4,58,625,95,7,502,193
7,Sevilla,38,17,7,14,62,61,1,58,545,96,7,518,207
8,Espanol,38,15,4,19,46,55,-9,49,539,105,5,459,172
9,Osasuna,38,13,8,17,45,46,-1,47,651,106,7,480,163
10,Sp Gijon,38,11,14,13,35,42,-7,47,597,101,6,432,152
11,Malaga,38,13,7,18,54,68,-14,46,540,95,7,442,161
12,Santander,38,12,10,16,41,56,-15,46,600,85,7,461,176
13,Levante,38,12,9,17,41,52,-11,45,557,125,3,388,121
14,Zaragoza,38,12,9,17,40,53,-13,45,679,115,9,524,177
15,Sociedad,38,14,3,21,49,66,-17,45,540,75,0,428,139
16,Getafe,38,12,8,18,49,60,-11,44,515,107,7,523,173
17,Mallorca,38,12,8,18,41,56,-15,44,532,85,3,488,185
18,La Coruna,38,10,13,15,31,47,-16,43,497,85,5,414,139
19,Hercules,38,9,8,21,36,60,-24,35,517,92,8,394,154
20,Almeria,38,6,12,20,36,70,-34,30,560,93,4,456,148
