player,country,team,assists
Dimitri Payet,France,Olympique Marseille,16
 Neymar,Brazil,Paris Saint-Germain,15
Memphis Depay,Netherlands,Olympique Lyon,13
Mathieu Dossevi,Togo,FC Metz,11
Florian Thauvin,France,Olympique Marseille,11
Jonathan Bamba,France,AS Saint-Étienne,10
Thomas Lemar,France,AS Monaco,10
Nabil Fekir,France,Olympique Lyon,9
Edinson Cavani,Uruguay,Paris Saint-Germain,8
 Malcom,Brazil,Girondins Bordeaux,8
Kylian Mbappé,France,AS Monaco,8
Allan Saint-Maximin,France,AS Monaco,8
Jean Michaël Seri,Ivory Coast,OGC Nice,8
Naïm Sliti,Tunisia,Dijon FCO,8
Benjamin Bourigeaud,France,Stade Rennes,7
 Dani Alves,Brazil,Paris Saint-Germain,7
Pierre Lees-Melou,France,OGC Nice,7
Kévin Malcuit,France,Lille OSC,7
Tanguy NDombèlé,France,Amiens SC,7
Djibril Sidibé,France,AS Monaco,7
Karl Toko Ekambi,Cameroon,Angers SCO,7
Rémy Cabella,France,AS Saint-Étienne,6
Maxwel Cornet,Ivory Coast,Olympique Lyon,6
Ángel Di María,Argentina,Paris Saint-Germain,6
Angelo Fulgini,France,Angers SCO,6
Valère Germain,France,Olympique Marseille,6
 João Moutinho,Portugal,AS Monaco,6
Gaël Kakuta,France,Amiens SC,6
Thomas Mangani,France,Angers SCO,6
Ferland Mendy,France,Olympique Lyon,6
Ronny Rodelin,France,SM Caen,6
 Rony Lopes,Portugal,AS Monaco,6
Almamy Touré,Mali,AS Monaco,6
Jordan Amavi,France,Olympique Marseille,5
Houssem Aouar,France,Olympique Lyon,5
Keita Baldé,Senegal,AS Monaco,5
Yassine Benzia,Algeria,Lille OSC,5
Andy Delort,France,Toulouse FC,5
Julian Draxler,Germany,Paris Saint-Germain,5
Léo Dubois,France,FC Nantes,5
Corentin Jean,France,Toulouse FC,5
François Kamano,Guinea,Girondins Bordeaux,5
Dimitri Liénard,France,RC Strasbourg,5
 Mariano,Dom. Republic,Olympique Lyon,5
Javier Pastore,Argentina,Paris Saint-Germain,5
Nicolas Pépé,Ivory Coast,Lille OSC,5
Alassane Pléa,France,OGC Nice,5
Adrien Rabiot,France,Paris Saint-Germain,5
Youssouf Sabaly,Senegal,Girondins Bordeaux,5
Ismaïla Sarr,Senegal,Stade Rennes,5
Bertrand Traoré,Burkina Faso,Olympique Lyon,5
Nicolas de Préville,France,Girondins Bordeaux,4
Jimmy Durmaz,Sweden,Toulouse FC,4
Anwar el Ghazi,Netherlands,Lille OSC,4
 Fabinho,Brazil,AS Monaco,4
Radamel Falcao,Colombia,AS Monaco,4
Samuel Grandsir,France,ESTAC Troyes,4
Clément Grenier,France,EA Guingamp,4
 Jorge,Brazil,AS Monaco,4
Chang-hoon Kwon,South Korea,Dijon FCO,4
Kenny Lala,France,RC Strasbourg,4
Giovani Lo Celso,Argentina,Paris Saint-Germain,4
Thomas Meunier,Belgium,Paris Saint-Germain,4
Danijel Miličević,Bosnia-Herzegovina,FC Metz,4
Thomas Monconduit,France,Amiens SC,4
Adama Niane,Mali,ESTAC Troyes,4
 Nuno Da Costa,Cape Verde,RC Strasbourg,4
Emiliano Sala,Argentina,FC Nantes,4
Junior Sambia,France,Montpellier HSC,4
Frédéric Sammaritano,France,Dijon FCO,4
Bouna Sarr,Guinea,Olympique Marseille,4
Martin Terrier,France,RC Strasbourg,4
Kenny Tete,Netherlands,Olympique Lyon,4
 Thiago Mendes,Brazil,Lille OSC,4
Adrien Thomasson,France,FC Nantes,4
 Yuri,Spain,Paris Saint-Germain,4
Romain Amalfitano,France,Dijon FCO,3
Benjamin André,France,Stade Rennes,3
Florent Balmont,France,Dijon FCO,3
Nicolas Benezet,France,EA Guingamp,3
Alexis Blin,France,Toulouse FC,3
Martin Braithwaite,Denmark,Girondins Bordeaux,3
Jimmy Briand,France,EA Guingamp,3
Marcus Coco,France,EA Guingamp,3
Renaud Cohade,France,FC Metz,3
Adama Diakhaby,France,AS Monaco,3
Loïs Diony,France,AS Saint-Étienne,3
Serge Gakpé,Togo,Amiens SC,3
Rachid Ghezzal,Algeria,AS Monaco,3
Kamil Glik,Poland,AS Monaco,3
Max Gradel,Ivory Coast,Toulouse FC,3
Romain Hamouma,France,AS Saint-Étienne,3
Maxime Le Marchand,France,OGC Nice,3
James Lea Siliki,France,Stade Rennes,3
 Lucas Lima,Brazil,FC Nantes,3
 Luiz Araujo,Brazil,Lille OSC,3
Harisson Manzala,France,Amiens SC,3
 Marçal,Brazil,Olympique Lyon,3
Jonas Martin,France,RC Strasbourg,3
Kévin Monnet-Paquet,France,AS Saint-Étienne,3
Ndombe Mubele,Congo DR,Stade Rennes,3
Clinton N'Jie,Cameroon,Olympique Marseille,3
Lucas Ocampos,Argentina,Olympique Marseille,3
 Pablo Castro,Brazil,Girondins Bordeaux,3
Nicolas Pallois,France,FC Nantes,3
Valentin Rosier,France,Dijon FCO,3
Jérôme Roussillon,France,Montpellier HSC,3
Wesley Saïd,France,Dijon FCO,3
Hiroki Sakai,Japan,Olympique Marseille,3
Yannis Salibur,France,EA Guingamp,3
Morgan Sanson,France,Olympique Marseille,3
Ivan Santini,Croatia,SM Caen,3
Giovanni Sio,Ivory Coast,Montpellier HSC,3
Arnaud Souquet,France,OGC Nice,3
Issiaga Sylla,Guinea,Toulouse FC,3
Flavien Tait,France,Angers SCO,3
Marcus Thuram,France,EA Guingamp,3
Charles Traoré,Mali,ESTAC Troyes,3
Lacina Traoré,Ivory Coast,Amiens SC,3
Marco Verratti,Italy,Paris Saint-Germain,3
 Xeka,Portugal,Dijon FCO,3
Ruben Aguilar,France,Montpellier HSC,2
 Andrei,Brazil,FC Nantes,2
Yoann Andreu,France,Angers SCO,2
Mario Balotelli,Italy,OGC Nice,2
Robert Berić,Slovenia,AS Saint-Étienne,2
Kévin Bérigaud,France,Montpellier HSC,2
Ludovic Blas,France,EA Guingamp,2
Jérémy Blayac,France,RC Strasbourg,2
Souleymane Camara,Senegal,Montpellier HSC,2
Fouad Chafik,Morocco,Dijon FCO,2
Benjamin Corgnet,France,RC Strasbourg,2
Quentin Cornette,France,Amiens SC,2
Lassana Coulibaly,Mali,Angers SCO,2
Enzo Crivelli,France,Angers SCO,2
Wylan Cyprien,France,OGC Nice,2
Stéphane Darbion,France,ESTAC Troyes,2
Mathieu Deplagne,France,ESTAC Troyes,2
Keagan Dolly,South Africa,Montpellier HSC,2
Dimitri Foulquier,France,RC Strasbourg,2
 Gabriel Silva,Brazil,AS Saint-Étienne,2
Jérémy Gelin,France,Stade Rennes,2
Joris Gnagnon,France,Stade Rennes,2
Yoann Gourcuff,France,Stade Rennes,2
Frédéric Guilbert,France,SM Caen,2
Baptiste Guillaume,Belgium,Angers SCO,2
Adrien Hunou,France,Stade Rennes,2
Jordan Ikoko,Congo DR,EA Guingamp,2
 Jonathan Cafú,Brazil,Girondins Bordeaux,2
 Júlio Tavares,Cape Verde,Dijon FCO,2
Christopher Jullien,France,Toulouse FC,2
Saîf-Eddine Khaoui,Tunisia,ESTAC Troyes,2
Wahbi Khazri,Tunisia,Stade Rennes,2
Moussa Konaté,Senegal,Amiens SC,2
Paul Lasne,France,Montpellier HSC,2
Kader Mangane,Senegal,RC Strasbourg,2
Faitout Maouassa,France,Stade Rennes,2
 Marquinhos,Brazil,Paris Saint-Germain,2
Soualiho Meïté,France,AS Monaco,2
Benjamin Nivet,France,ESTAC Troyes,2
Vincent Pajot,France,AS Saint-Étienne,2
Stef Peeters,Belgium,SM Caen,2
Bryan Pelé,France,ESTAC Troyes,2
Maxime Poundje,France,Girondins Bordeaux,2
Sanjin Prcić,Bosnia-Herzegovina,Stade Rennes,2
 Rafael,Brazil,Olympique Lyon,2
Adil Rami,France,Olympique Marseille,2
 Rebocho,Portugal,EA Guingamp,2
Emmanuel Rivière,France,FC Metz,2
Valentin Rongier,France,FC Nantes,2
Ibrahim Sangaré,Ivory Coast,Toulouse FC,2
Yaya Sanogo,France,Toulouse FC,2
Ole Selnæs,Norway,AS Saint-Étienne,2
Stéphane Sessègnon,Benin,Montpellier HSC,2
Franck Tabanou,France,EA Guingamp,2
Mehdi Abeid,France,Dijon FCO,1
Khaled Adenon,Benin,Amiens SC,1
David Alcibiade,France,FC Nantes,1
Junior Alonso,Paraguay,Lille OSC,1
Kelvin Amian Adou,France,Toulouse FC,1
Chidozie Awaziem,Nigeria,FC Nantes,1
Stéphane Bahoken,France,RC Strasbourg,1
 Balliu,Albania,FC Metz,1
Hervé Bazile,Haiti,SM Caen,1
Ramy Bensebaini,Algeria,Stade Rennes,1
Vincent Bessat,France,SM Caen,1
Yves Bissouma,Mali,Lille OSC,1
Farid Boulaya,Algeria,FC Metz,1
Emmanuel Bourgaud,France,Amiens SC,1
Abdoul Camara,Guinea,EA Guingamp,1
Pierrick Capelle,France,Angers SCO,1
Guido Carrillo,Argentina,AS Monaco,1
Diego Contento,Germany,Girondins Bordeaux,1
Jérémy Cordoval,France,ESTAC Troyes,1
Nicolas Cozza,France,Montpellier HSC,1
Damien Da Silva,France,SM Caen,1
Bryan Dabo,France,AS Saint-Étienne,1
Lucas Deaux,France,EA Guingamp,1
Jonathan Delaplace,France,SM Caen,1
Jessy Deminguet,France,SM Caen,1
Fallou Diagné,Senegal,FC Metz,1
Lassana Diarra,France,Paris Saint-Germain,1
Bakaye Dibassy,Mali,Amiens SC,1
Étienne Didot,France,EA Guingamp,1
Ismaël Diomandé,Ivory Coast,SM Caen,1
Papy Djilobodji,Senegal,Dijon FCO,1
Oualid El Hajjam,Morocco,Amiens SC,1
Imad Faraj,France,Lille OSC,1
Julien Féret,France,SM Caen,1
Jordan Ferri,France,Olympique Lyon,1
Milan Gajić,Serbia,Girondins Bordeaux,1
Romain Genevois,Haiti,SM Caen,1
Anthony Gonçalves,France,RC Strasbourg,1
Oussema Haddadi,Tunisia,Dijon FCO,1
Jonathan Ikoné,France,Montpellier HSC,1
Giannelli Imbula,France,Toulouse FC,1
Benjamin Jeannot,France,Dijon FCO,1
