player,country,team,assists
Mathieu Valbuena,France,Olympique Marseille,12
Yohan Mollo,France,AS Nancy,11
Gaël Danic,France,Valenciennes FC,10
Dimitri Payet,France,Lille OSC,10
Jérémie Aliadiére,France,FC Lorient,8
Pierre-Emerick Aubameyang,Gabon,AS Saint-Étienne,8
Zlatan Ibrahimović,Sweden,Paris Saint-Germain,8
Wahbi Khazri,Tunisia,SC Bastia,8
Javier Pastore,Argentina,Paris Saint-Germain,8
Jérôme Rothen,France,SC Bastia,8
Rémy Cabella,France,Montpellier HSC,7
Steed Malbranque,France,Olympique Lyon,7
Jérémy Ménez,France,Paris Saint-Germain,7
Benoît Trémoulinas,France,Girondins Bordeaux,7
Éric Bauthéac,France,OGC Nice,6
Ryad Boudebouz,Algeria,FC Sochaux,6
Renaud Cohade,France,AS Saint-Étienne,6
Étienne Didot,France,Toulouse FC,6
Yannick Sagbo,Ivory Coast,Évian Thonon Gaillard,6
Romain Alessandrini,France,Stade Rennes,5
Maxime Barthelmé,France,FC Lorient,5
Fahid Ben Khalfallah,Tunisia,Girondins Bordeaux,5
Wissam Ben Yedder,France,Toulouse FC,5
Kévin Bérigaud,France,Évian Thonon Gaillard,5
Johan Cavalli,France,AC Ajaccio,5
Stéphane Darbion,France,ESTAC Troyes,5
Antoine Devaux,France,Stade Reims,5
Julien Féret,France,Stade Rennes,5
Clément Grenier,France,Olympique Lyon,5
Timothée Kolodziejczak,France,OGC Nice,5
Alexandre Lacazette,France,Olympique Lyon,5
Benoît Lesoimier,France,Stade Brest,5
Marvin Martin,France,Lille OSC,5
Anthony Mounier,France,Montpellier HSC,5
Franck Tabanou,France,Toulouse FC,5
Alain Traoré,Burkina Faso,FC Lorient,5
Daniel Braaten,Norway,Toulouse FC,4
Mathieu Dossevi,Togo,Valenciennes FC,4
Mevlüt Erdinç,Turkey,Stade Rennes,4
Foued Kadir,Algeria,Olympique Marseille,4
Saber Khalifa,Tunisia,Évian Thonon Gaillard,4
Ezequiel Lavezzi,Argentina,Paris Saint-Germain,4
 Lucas,Brazil,Paris Saint-Germain,4
Thomas Mangani,France,AS Nancy,4
 Nenê,Brazil,Paris Saint-Germain,4
Ludovic Obraniak,Poland,Girondins Bordeaux,4
Benoît Pedretti,France,Lille OSC,4
Jonathan Pitroipa,Burkina Faso,Stade Rennes,4
John Utaka,Nigeria,Montpellier HSC,4
Morgan Amalfitano,France,Olympique Marseille,3
Serge Aurier,Ivory Coast,Toulouse FC,3
Djamel Bakar,France,AS Nancy,3
Joey Barton,England,Olympique Marseille,3
Alexy Bosetti,France,OGC Nice,3
Jonathan Brison,France,AS Saint-Étienne,3
Fabien Camus,Tunisia,ESTAC Troyes,3
Benjamin Corgnet,France,FC Lorient,3
Sigamary Diarra,Mali,AC Ajaccio,3
Rod Fanni,France,Olympique Marseille,3
Julien Faussurier,France,ESTAC Troyes,3
Gueïda Fofana,France,Olympique Lyon,3
Faouzi Ghoulam,Algeria,AS Saint-Étienne,3
Romain Grange,France,AS Nancy,3
Magaye Gueye,Senegal,Stade Brest,3
Romain Hamouma,France,AS Saint-Étienne,3
Christophe Jallet,France,Paris Saint-Germain,3
Yann Jouffre,France,FC Lorient,3
 Jussiê,Brazil,Girondins Bordeaux,3
Salomon Kalou,Ivory Coast,Lille OSC,3
Djakaridja Koné,Burkina Faso,Évian Thonon Gaillard,3
Anthony Le Tallec,France,Valenciennes FC,3
 Maxwell,Brazil,Paris Saint-Germain,3
Anthony Modeste,France,SC Bastia,3
Miloš Ninković,Serbia,Évian Thonon Gaillard,3
Julien Palmieri,France,SC Bastia,3
Jérémy Pied,France,OGC Nice,3
Jaroslav Plašil,Czech Republic,Girondins Bordeaux,3
Adrien Rabiot,France,Paris Saint-Germain,3
 Rafaël Dias,Portugal,FC Sochaux,3
Sébastien Roudet,France,FC Sochaux,3
Giovanni Sio,Ivory Coast,FC Sochaux,3
Marco Verratti,Italy,Paris Saint-Germain,3
Aymen Abdennour,Tunisia,Toulouse FC,2
Karim Aït Fana,Morocco,Montpellier HSC,2
Mathias Autret,France,FC Lorient,2
André Ayew,Ghana,Olympique Marseille,2
Jean-Christophe Bahebeck,France,ESTAC Troyes,2
Florent Balmont,France,Lille OSC,2
David Beckham,England,Paris Saint-Germain,2
Henri Bédimo,Cameroon,Montpellier HSC,2
Younès Belhanda,Morocco,Montpellier HSC,2
Charlison Benschop,Curaçao,Stade Brest,2
Franck Béria,France,Lille OSC,2
Gaëtan Bong,Cameroon,Valenciennes FC,2
 Brandão,Brazil,AS Saint-Étienne,2
Souleymane Camara,Senegal,Montpellier HSC,2
Kamel Chafni,Morocco,Stade Brest,2
Benoît Cheyrou,France,Olympique Marseille,2
François Clerc,France,AS Saint-Étienne,2
Sébastien Corchia,France,FC Sochaux,2
Darío Cvitanich,Argentina,OGC Nice,2
Didier Digard,France,OGC Nice,2
 Eduardo,Brazil,AC Ajaccio,2
Eloge Enza Yamissi,Central Afr. Republic,ESTAC Troyes,2
Christopher Glombard,Martinique,Stade Reims,2
Bafétimbi Gomis,France,Olympique Lyon,2
Rémi Gomis,France,Valenciennes FC,2
Max Gradel,Ivory Coast,AS Saint-Étienne,2
Josuha Guilavogui,France,AS Saint-Étienne,2
Massadio Haïdara,France,AS Nancy,2
Yassine Jebbour,Morocco,AS Nancy,2
Charles Kaboré,Burkina Faso,Olympique Marseille,2
Fabien Lemoine,France,AS Saint-Étienne,2
Lucas Mareque,Argentina,FC Lorient,2
 Mariano,Brazil,Girondins Bordeaux,2
Jérémy Morel,France,Olympique Marseille,2
Benjamin Moukandjo,Cameroon,AS Nancy,2
Granddi N'Goyi,France,ESTAC Troyes,2
Fabrice N'Sakala,Congo DR,ESTAC Troyes,2
Benjamin Nivet,France,ESTAC Troyes,2
Vincent Nogueira,France,FC Sochaux,2
Sloan Privat,French Guyana,FC Sochaux,2
Grégory Pujol,France,Valenciennes FC,2
Enzo Reale,France,FC Lorient,2
Ronny Rodelin,France,Lille OSC,2
Jérôme Roussillon,France,FC Sochaux,2
Grégory Sertić,France,Girondins Bordeaux,2
Olivier Sorlin,France,Évian Thonon Gaillard,2
Modou Sougou,Senegal,Olympique Marseille,2
Kévin Théophile-Catherine,France,Stade Rennes,2
Vincent Aboubakar,Cameroon,Valenciennes FC,1
Fabrice Abriel,France,OGC Nice,1
Alejandro Alonso,Argentina,AS Saint-Étienne,1
Benjamin André,France,AC Ajaccio,1
 Andre Luiz,Brazil,AS Nancy,1
Gaël Angoula,France,SC Bastia,1
Floyd Ayité,Togo,Stade Reims,1
Cédric Bakambu,Congo DR,FC Sochaux,1
Cédric Barbosa,France,Évian Thonon Gaillard,1
Marko Baša,Montenegro,Lille OSC,1
Claudio Beauvue,Guadeloupe,SC Bastia,1
Chahir Belghazouani,France,AC Ajaccio,1
Yassine Benzia,Algeria,Olympique Lyon,1
 Bocoundji Cá,Guinea-Bissau,Stade Reims,1
Laurent Bonnart,France,Lille OSC,1
Jérémie Bréchet,France,ESTAC Troyes,1
Jimmy Briand,France,Olympique Lyon,1
Étienne Capoue,France,Toulouse FC,1
Clément Chantôme,France,Paris Saint-Germain,1
Aurélien Chedjou,Cameroon,Lille OSC,1
Gilles Cioni,France,SC Bastia,1
Renato Civelli,Argentina,OGC Nice,1
Daniel Congré,France,Montpellier HSC,1
Roy Contout,French Guyana,FC Sochaux,1
Gaëtan Courtet,France,Stade Reims,1
Mouhamadou Dabo,France,Olympique Lyon,1
Mathieu Debuchy,France,Lille OSC,1
Andy Delort,France,AC Ajaccio,1
Geoffrey Dernis,France,Stade Brest,1
Sadio Diallo,Guinea,Stade Rennes,1
Alou Diarra,France,Stade Rennes,1
 Diego,Brazil,Stade Reims,1
Brice Dja Djedjé,Ivory Coast,Évian Thonon Gaillard,1
Marco Estrada,Chile,Montpellier HSC,1
Valentin Eysseric,France,OGC Nice,1
 Felipe Saad,Brazil,AC Ajaccio,1
Mohamed Fofana,Mali,Stade Reims,1
Kevin Gameiro,France,Paris Saint-Germain,1
Lamine Gassama,Senegal,FC Lorient,1
Romain Genevois,Haiti,OGC Nice,1
Rachid Ghezzal,Algeria,Olympique Lyon,1
Ludovic Giuly,France,FC Lorient,1
Yoann Gourcuff,France,Olympique Lyon,1
Sidney Govou,France,Évian Thonon Gaillard,1
Sébastien Grax,France,ESTAC Troyes,1
Bruno Grougi,Martinique,Stade Brest,1
Idrissa Gueye,Senegal,Lille OSC,1
Féthi Harek,Algeria,SC Bastia,1
 Helder,Brazil,AS Nancy,1
Adil Hermach,Morocco,Toulouse FC,1
 Ilan,Brazil,SC Bastia,1
Nicolas Isimat-Mirin,France,Valenciennes FC,1
Florian Jarjat,France,ESTAC Troyes,1
Florian Julien,France,Stade Brest,1
Lossémy Karaboué,Ivory Coast,AS Nancy,1
Lamine Koné,Ivory Coast,FC Lorient,1
Mario Lička,Czech Republic,Stade Brest,1
Lisandro López,Argentina,Olympique Lyon,1
Grégory Lorenzi,France,Stade Brest,1
Jordan Lotiès,France,AS Nancy,1
Yann M'Vila,France,Stade Rennes,1
 Makonda,France,Stade Brest,1
Jean Makoun,Cameroon,Stade Rennes,1
Aïssa Mandi,Algeria,Stade Reims,1
