player,country,team,goal,penalty
Zlatan Ibrahimović,Sweden,Paris Saint-Germain,30,4
Pierre-Emerick Aubameyang,Gabon,AS Saint-Étienne,19,1
Darío Cvitanich,Argentina,OGC Nice,19,5
Bafétimbi Gomis,France,Olympique Lyon,16,4
Jérémie Aliadiére,France,FC Lorient,15,2
Wissam Ben Yedder,France,Toulouse FC,15,0
Anthony Modeste,France,SC Bastia,15,3
Salomon Kalou,Ivory Coast,Lille OSC,14,1
André-Pierre Gignac,France,Olympique Marseille,13,0
Saber Khalifa,Tunisia,Évian Thonon Gaillard,13,1
Eden Ben Basat,Israel,Stade Brest,12,3
Dimitri Payet,France,Lille OSC,12,0
 Brandão,Brazil,AS Saint-Étienne,11,0
Julien Féret,France,Stade Rennes,11,2
Lisandro López,Argentina,Olympique Lyon,11,3
Adrian Mutu,Romania,AC Ajaccio,11,3
Romain Alessandrini,France,Stade Rennes,10,0
Younès Belhanda,Morocco,Montpellier HSC,10,2
Souleymane Camara,Senegal,Montpellier HSC,10,1
Mevlüt Erdinç,Turkey,Stade Rennes,10,0
Benjamin Nivet,France,ESTAC Troyes,10,1
André Ayew,Ghana,Olympique Marseille,9,1
Éric Bauthéac,France,OGC Nice,9,0
Gaëtan Courtet,France,Stade Reims,9,0
Sloan Privat,French Guyana,FC Sochaux,9,0
Florian Thauvin,France,SC Bastia,9,1
Cédric Bakambu,Congo DR,FC Sochaux,8,0
Cédric Barbosa,France,Évian Thonon Gaillard,8,0
Cheick Diabaté,Mali,Girondins Bordeaux,8,1
Kevin Gameiro,France,Paris Saint-Germain,8,0
Yoan Gouffran,France,Girondins Bordeaux,8,0
Grégory Pujol,France,Valenciennes FC,8,0
Henri Saivet,Senegal,Girondins Bordeaux,8,0
Jordan Ayew,Ghana,Olympique Marseille,7,0
Rémy Cabella,France,Montpellier HSC,7,0
Fabien Camus,Tunisia,ESTAC Troyes,7,0
Étienne Capoue,France,Toulouse FC,7,1
Clément Grenier,France,Olympique Lyon,7,1
Wahbi Khazri,Tunisia,SC Bastia,7,0
Yohan Mollo,France,AS Nancy,7,0
Jonathan Pitroipa,Burkina Faso,Stade Rennes,7,0
Sébastien Puygrenier,France,AS Nancy,7,0
Nolan Roux,France,Lille OSC,7,0
Chahir Belghazouani,France,AC Ajaccio,6,0
Gaël Danic,France,Valenciennes FC,6,3
Emanuel Herrera,Argentina,Montpellier HSC,6,0
Foued Kadir,Algeria,Olympique Marseille,6,0
Toifilou Maoulida,France,SC Bastia,6,0
Kévin Monnet-Paquet,France,FC Lorient,6,0
Ludovic Obraniak,Poland,Girondins Bordeaux,6,0
Yannick Sagbo,Ivory Coast,Évian Thonon Gaillard,6,2
Alain Traoré,Burkina Faso,FC Lorient,6,0
John Utaka,Nigeria,Montpellier HSC,6,0
Djamel Bakar,France,AS Nancy,5,0
Marko Baša,Montenegro,Lille OSC,5,0
Charlison Benschop,Curaçao,Stade Brest,5,0
Renato Civelli,Argentina,OGC Nice,5,0
Benjamin Corgnet,France,FC Lorient,5,0
Valentin Eysseric,France,OGC Nice,5,1
Romain Hamouma,France,AS Saint-Étienne,5,0
Anthony Le Tallec,France,Valenciennes FC,5,0
Blaise Matuidi,France,Paris Saint-Germain,5,0
Jérémy Ménez,France,Paris Saint-Germain,5,0
 Michel Bastos,Brazil,Olympique Lyon,5,0
Benjamin Moukandjo,Cameroon,AS Nancy,5,1
Kévin Bérigaud,France,Évian Thonon Gaillard,4,0
Gaëtan Charbonnier,France,Montpellier HSC,4,0
Renaud Cohade,France,AS Saint-Étienne,4,0
Stéphane Darbion,France,ESTAC Troyes,4,0
 Diego,Brazil,Stade Reims,4,1
Marco Estrada,Chile,Montpellier HSC,4,0
Yann Jouffre,France,FC Lorient,4,0
Grzegorz Krychowiak,Poland,Stade Reims,4,2
Javier Pastore,Argentina,Paris Saint-Germain,4,0
Florian Raspentino,Algeria,Olympique Marseille,4,0
Emmanuel Rivière,France,Toulouse FC,4,0
Sébastien Roudet,France,FC Sochaux,4,0
Giovanni Sio,Ivory Coast,FC Sochaux,4,0
Franck Tabanou,France,Toulouse FC,4,0
Paul Alo'o Efoulou,Cameroon,AS Nancy,3,0
Jean-Christophe Bahebeck,France,ESTAC Troyes,3,0
Ryad Boudebouz,Algeria,FC Sochaux,3,2
Aurélien Chedjou,Cameroon,Lille OSC,3,0
Mathieu Dossevi,Togo,Valenciennes FC,3,0
 Eduardo,Brazil,AC Ajaccio,3,0
Julien Faussurier,France,ESTAC Troyes,3,0
Maxime Gonalons,France,Olympique Lyon,3,0
Yoann Gourcuff,France,Olympique Lyon,3,0
Max Gradel,Ivory Coast,AS Saint-Étienne,3,1
Josuha Guilavogui,France,AS Saint-Étienne,3,0
 Ilan,Brazil,SC Bastia,3,0
Corentin Jean,France,ESTAC Troyes,3,0
Lamine Koné,Ivory Coast,FC Lorient,3,0
Alexandre Lacazette,France,Olympique Lyon,3,0
Ezequiel Lavezzi,Argentina,Paris Saint-Germain,3,0
 Marcos,Brazil,ESTAC Troyes,3,1
Neal Maupay,Argentina,OGC Nice,3,0
Opa Nguette,France,Valenciennes FC,3,0
 Odaïr Fortes,Cape Verde,Stade Reims,3,0
Dennis Oliech,Kenya,AC Ajaccio,3,0
Nemanja Pejčinović,Serbia,OGC Nice,3,0
Adrien Regattin,Morocco,Toulouse FC,3,0
Ronny Rodelin,France,Lille OSC,3,0
Jérôme Rothen,France,SC Bastia,3,1
Salif Sané,Senegal,AS Nancy,3,0
Gilles Sunu,Togo,FC Lorient,3,0
Mahamane Traoré,Mali,OGC Nice,3,0
Mathieu Valbuena,France,Olympique Marseille,3,0
Mohamed Yattara,Guinea,ESTAC Troyes,3,0
Vincent Aboubakar,Cameroon,Valenciennes FC,2,0
Youssef Adnane,France,Évian Thonon Gaillard,2,0
 Alex,Brazil,Paris Saint-Germain,2,0
 Andre Luiz,Brazil,AS Nancy,2,0
Thomas Ayasse,France,AS Nancy,2,0
Floyd Ayité,Togo,Stade Reims,2,0
Jonathan Ayité,Togo,Stade Brest,2,1
Stéphane Bahoken,France,OGC Nice,2,0
Florent Balmont,France,Lille OSC,2,0
Maxime Barthelmé,France,FC Lorient,2,0
Paul Baysse,France,Stade Brest,2,0
Claudio Beauvue,Guadeloupe,SC Bastia,2,0
Mathieu Bodmer,France,AS Saint-Étienne,2,0
Grégory Bourillon,France,FC Lorient,2,0
John Boye,Ghana,Stade Rennes,2,0
Daniel Braaten,Norway,Toulouse FC,2,0
Jérémie Bréchet,France,ESTAC Troyes,2,0
Johan Cavalli,France,AC Ajaccio,2,0
Kamel Chafni,Morocco,Stade Brest,2,0
Benoît Cheyrou,France,Olympique Marseille,2,0
Fousseni Diawara,Mali,AC Ajaccio,2,0
Étienne Didot,France,Toulouse FC,2,0
Didier Digard,France,OGC Nice,2,0
Lucas Digne,France,Lille OSC,2,1
Thierry Doubaï,Ivory Coast,FC Sochaux,2,0
Rod Fanni,France,Olympique Marseille,2,0
Ricardo Faty,Senegal,AC Ajaccio,2,0
Nicolas Fauvergue,France,Stade Reims,2,0
Gueïda Fofana,France,Olympique Lyon,2,0
Romain Grange,France,AS Nancy,2,0
Lossémy Karaboué,Ivory Coast,AS Nancy,2,0
Wesley Lautoa,France,FC Lorient,2,0
Benoît Lesoimier,France,Stade Brest,2,0
Jordan Lotiès,France,AS Nancy,2,0
Jean Makoun,Cameroon,Stade Rennes,2,0
Steed Malbranque,France,Olympique Lyon,2,1
