Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Paris SG,38,29,6,3,108,29,79,93,425,67,6,628,255
2,Monaco,38,24,8,6,85,45,40,80,508,71,4,490,182
3,Lyon,38,23,9,6,87,43,44,78,473,71,2,576,233
4,Marseille,38,22,11,5,80,47,33,77,508,81,3,623,232
5,Rennes,38,16,10,12,50,44,6,58,486,66,5,474,153
6,Bordeaux,38,16,7,15,53,48,5,55,531,74,3,469,156
7,St Etienne,38,15,10,13,47,50,-3,55,510,72,8,421,155
8,Nice,38,15,9,14,53,52,1,54,443,85,4,483,183
9,Nantes,38,14,10,14,36,41,-5,52,490,68,6,499,139
10,Montpellier,38,11,18,9,36,33,3,51,444,72,2,493,158
11,Dijon,38,13,9,16,55,73,-18,48,490,70,5,445,162
12,Guingamp,38,12,11,15,48,59,-11,47,498,67,2,450,164
13,Amiens,38,12,9,17,37,42,-5,45,503,74,4,359,102
14,Angers,38,9,14,15,42,52,-10,41,491,71,3,463,156
15,Strasbourg,38,9,11,18,44,67,-23,38,520,71,4,451,136
16,Caen,38,10,8,20,27,52,-25,38,522,68,4,456,128
17,Lille,38,10,8,20,41,67,-26,38,479,60,6,428,142
18,Toulouse,38,9,10,19,38,54,-16,37,587,93,3,434,147
19,Troyes,38,9,6,23,32,59,-27,33,496,76,7,360,123
20,Metz,38,6,8,24,34,76,-42,26,531,80,7,428,161
