Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Lille,38,21,13,4,68,36,32,76,521,54,1,562,195
2,Marseille,38,18,14,6,62,39,23,68,619,59,4,563,200
3,Lyon,38,17,13,8,61,40,21,64,608,54,8,559,187
4,Paris SG,38,15,15,8,56,41,15,60,562,60,4,560,204
5,Sochaux,38,17,7,14,60,43,17,58,575,46,4,450,177
6,Rennes,38,15,11,12,38,35,3,56,608,54,6,430,140
7,Bordeaux,38,12,15,11,43,42,1,51,613,76,3,514,168
8,Toulouse,38,14,8,16,38,36,2,50,742,60,2,370,135
9,Auxerre,38,10,19,9,45,41,4,49,561,73,0,432,144
10,St Etienne,38,12,13,13,46,47,-1,49,599,60,2,484,168
11,Lorient,38,12,13,13,46,48,-2,49,451,49,6,455,164
12,Valenciennes,38,10,18,10,45,41,4,48,597,66,2,440,153
13,Nancy,38,13,9,16,43,48,-5,48,638,66,7,543,177
14,Montpellier,38,12,11,15,32,43,-11,47,706,76,9,511,163
15,Caen,38,11,13,14,46,51,-5,46,694,82,4,415,135
16,Brest,38,11,13,14,36,43,-7,46,643,49,0,455,145
17,Nice,38,11,13,14,33,48,-15,46,518,76,4,411,141
18,Monaco,38,9,17,12,36,40,-4,44,630,74,4,438,134
19,Lens,38,7,14,17,35,58,-23,35,625,54,3,468,139
20,Arles,38,3,11,24,21,70,-49,20,654,67,8,378,102
