player,country,team,goal,penalty
Luis Suárez,Uruguay,Liverpool FC,31,0
Daniel Sturridge,England,Liverpool FC,22,0
Yaya Touré,Ivory Coast,Manchester City,20,6
Kun Agüero,Argentina,Manchester City,17,0
Wilfried Bony,Ivory Coast,Swansea City,17,4
Wayne Rooney,England,Manchester United,17,3
Edin Džeko,Bosnia-Herzegovina,Manchester City,16,0
Olivier Giroud,France,Arsenal FC,16,1
Romelu Lukaku,Belgium,Chelsea FC,15,0
Jay Rodriguez,England,Southampton FC,15,0
Eden Hazard,Belgium,Chelsea FC,14,4
Loïc Rémy,France,Newcastle United,14,0
Steven Gerrard,England,Liverpool FC,13,9
Rickie Lambert,England,Southampton FC,13,3
Robin van Persie,Netherlands,Manchester United,12,2
Emmanuel Adebayor,Togo,Tottenham Hotspur,11,1
Christian Benteke,Belgium,Aston Villa,10,2
Aaron Ramsey,Wales,Arsenal FC,10,0
 Álvaro Negredo,Spain,Manchester City,9,0
Samuel Eto'o,Cameroon,Chelsea FC,9,0
Adam Lallana,England,Southampton FC,9,0
Kevin Mirallas,Belgium,Everton FC,9,0
Raheem Sterling,England,Liverpool FC,9,0
Danny Welbeck,England,Manchester United,9,0
Charlie Adam,Scotland,Stoke City,8,1
Adam Johnson,England,Sunderland AFC,8,1
 Oscar,Brazil,Chelsea FC,8,0
Lukas Podolski,Germany,Arsenal FC,8,0
André Schürrle,Germany,Chelsea FC,8,0
Fabio Borini,Italy,Liverpool FC,7,3
Yohan Cabaye,France,Newcastle United,7,0
Peter Crouch,England,Stoke City,7,0
 David Silva,Spain,Manchester City,7,0
Christian Eriksen,Denmark,Tottenham Hotspur,7,0
Dwight Gayle,England,Crystal Palace,7,1
Shane Long,Ireland,Hull City,7,0
Jordon Mutch,England,Cardiff City,7,0
Samir Nasri,France,Manchester City,7,0
Kevin Nolan,England,West Ham United,7,0
Peter Odemwingie,Nigeria,Cardiff City,7,0
Jason Puncheon,England,Crystal Palace,7,1
Steven Sidwell,England,Fulham FC,7,0
Martin Škrtel,Slovakia,Liverpool FC,7,0
Ross Barkley,England,Everton FC,6,0
Fraizer Campbell,England,Cardiff City,6,0
Séamus Coleman,Ireland,Everton FC,6,0
Nathan Dyer,England,Swansea City,6,0
Yoan Gouffran,France,Newcastle United,6,0
Gary Hooper,England,Norwich City,6,1
Frank Lampard,England,Chelsea FC,6,1
 Mata,Spain,Chelsea FC,6,0
 Paulinho,Brazil,Tottenham Hotspur,6,0
Jonjo Shelvey,England,Swansea City,6,0
Robert Snodgrass,Scotland,Norwich City,6,0
 Soldado,Spain,Tottenham Hotspur,6,4
Demba Ba,Senegal,Chelsea FC,5,0
Leandro Bacuna,Curaçao,Aston Villa,5,0
Leighton Baines,England,Everton FC,5,3
Saido Berahino,Burundi,West Bromwich Albion,5,1
Steven Caulker,England,Cardiff City,5,0
Marouane Chamakh,Morocco,Crystal Palace,5,1
Carlton Cole,England,West Ham United,5,0
 Coutinho,Brazil,Liverpool FC,5,0
Ashkan Dejagah,Iran,Fulham FC,5,0
 Fernandinho,Brazil,Manchester City,5,0
 Fernando Torres,Spain,Chelsea FC,5,0
Nikica Jelavić,Croatia,Everton FC,5,0
Steven Naismith,Scotland,Everton FC,5,0
Mesut Özil,Germany,Arsenal FC,5,0
Stéphane Sessègnon,Benin,Sunderland AFC,5,0
Gylfi Sigurðsson,Iceland,Tottenham Hotspur,5,0
Theo Walcott,England,Arsenal FC,5,0
Jon Walters,Ireland,Stoke City,5,2
Andreas Weimann,Austria,Aston Villa,5,0
Connor Wickham,England,Sunderland AFC,5,0
Gabriel Agbonlahor,England,Aston Villa,4,0
Morgan Amalfitano,France,West Bromwich Albion,4,0
Marko Arnautović,Austria,Stoke City,4,1
Oussama Assaidi,Morocco,Stoke City,4,0
Dimitar Berbatov,Bulgaria,Fulham FC,4,2
Jonathan de Guzmán,Netherlands,Swansea City,4,0
Momo Diamé,Senegal,West Ham United,4,0
Emanuele Giaccherini,Italy,Sunderland AFC,4,0
Jordan Henderson,England,Liverpool FC,4,0
Javier Hernández,Mexico,Manchester United,4,0
Adnan Januzaj,Belgium,Manchester United,4,0
 Jesús Navas,Spain,Manchester City,4,0
Vincent Kompany,Belgium,Manchester City,4,0
Libor Kozák,Czech Republic,Aston Villa,4,0
Kieran Richardson,England,Fulham FC,4,0
 Santi Cazorla,Spain,Arsenal FC,4,0
 Willian,Brazil,Chelsea FC,4,0
Victor Anichebe,Nigeria,Everton FC,3,0
Hatem Ben Arfa,France,Newcastle United,3,1
Darren Bent,England,Fulham FC,3,0
Robbie Brady,Ireland,Hull City,3,2
Chris Brunt,Northern Ireland,West Bromwich Albion,3,0
 Chico,Spain,Swansea City,3,0
Jack Colback,England,Sunderland AFC,3,0
Joe Cole,England,West Ham United,3,0
Fabian Delph,England,Aston Villa,3,0
Leroy Fer,Netherlands,Norwich City,3,0
Steven Fletcher,Scotland,Sunderland AFC,3,0
 Gerard Deulofeu,Spain,Everton FC,3,0
Branislav Ivanović,Serbia,Chelsea FC,3,0
Bradley Johnson,England,Norwich City,3,0
 José Fonte,Portugal,Southampton FC,3,0
Stevan Jovetić,Montenegro,Manchester City,3,0
Harry Kane,England,Tottenham Hotspur,3,0
Pajtim Kasami,Switzerland,Fulham FC,3,0
Sung-yueng Ki,South Korea,Sunderland AFC,3,1
Jake Livermore,England,Hull City,3,0
Ravel Morrison,England,West Ham United,3,0
Mark Noble,England,West Ham United,3,2
Leon Osman,England,Everton FC,3,0
Pablo Osvaldo,Italy,Southampton FC,3,0
Moussa Sissoko,France,Newcastle United,3,0
Matěj Vydra,Czech Republic,West Bromwich Albion,3,0
Ashley Westwood,England,Aston Villa,3,0
Peter Whittingham,England,Cardiff City,3,1
Jack Wilshere,England,Arsenal FC,3,0
Daniel Agger,Denmark,Liverpool FC,2,0
Shola Ameobi,Nigeria,Newcastle United,2,0
Nicolas Anelka,France,West Bromwich Albion,2,0
Phil Bardsley,Scotland,Sunderland AFC,2,0
Gareth Barry,England,Everton FC,2,0
Craig Bellamy,Wales,Cardiff City,2,0
Nicklas Bendtner,Denmark,Arsenal FC,2,0
Thievy Bifouma,Congo,West Bromwich Albion,2,0
George Boyd,Scotland,Hull City,2,0
 Cala,Spain,Cardiff City,2,0
Geoff Cameron,USA,Stoke City,2,0
Andy Carroll,England,West Ham United,2,0
Papiss Demba Cissé,Senegal,Newcastle United,2,0
Ben Davies,Wales,Swansea City,2,0
Curtis Davies,England,Hull City,2,0
Steven Davis,Northern Ireland,Southampton FC,2,0
Martín Demichelis,Argentina,Manchester City,2,0
Graham Dorrans,Scotland,West Bromwich Albion,2,0
Karim El Ahmadi,Morocco,Aston Villa,2,0
Ahmed El Mohamady,Egypt,Hull City,2,0
Mathieu Flamini,France,Arsenal FC,2,0
Matty Fryatt,England,Hull City,2,0
Craig Gardner,England,Sunderland AFC,2,1
Lewis Holtby,Germany,Fulham FC,2,0
Jonny Howson,England,Norwich City,2,0
Tom Huddlestone,England,Hull City,2,0
Stephen Ireland,Ireland,Stoke City,2,0
Matthew Jarvis,England,West Ham United,2,0
Cameron Jerome,England,Crystal Palace,2,0
Robert Koren,Slovenia,Hull City,2,0
Laurent Koscielny,France,Arsenal FC,2,0
Roland Lamah,Belgium,Swansea City,2,0
Joe Ledley,Wales,Crystal Palace,2,0
Dejan Lovren,Croatia,Southampton FC,2,0
Gareth McAuley,Northern Ireland,West Bromwich Albion,2,0
Per Mertesacker,Germany,Arsenal FC,2,0
David Meyler,Ireland,Hull City,2,0
 Michu,Spain,Swansea City,2,0
 Mikel Arteta,Spain,Arsenal FC,2,2
Youssuf Mulumbu,Congo DR,West Bromwich Albion,2,0
Steven N'Zonzi,France,Stoke City,2,0
Bryan Oviedo,Costa Rica,Everton FC,2,0
Alex Oxlade-Chamberlain,England,Arsenal FC,2,0
 Pablo Hernández,Spain,Swansea City,2,0
Scott Parker,England,Fulham FC,2,0
 Ricardo Vaz Tê,Portugal,West Ham United,2,0
Hugo Rodallega,Colombia,Fulham FC,2,0
Tomáš Rosický,Czech Republic,Arsenal FC,2,0
Wayne Routledge,England,Swansea City,2,0
Yannick Sagbo,Ivory Coast,Hull City,2,0
Mohamed Salah,Egypt,Chelsea FC,2,0
Morgan Schneiderlin,France,Southampton FC,2,0
John Terry,England,Chelsea FC,2,0
Antonio Valencia,Ecuador,Manchester United,2,0
James Wilson,England,Manchester United,2,0
Ashley Young,England,Manchester United,2,0
Joe Allen,Wales,Liverpool FC,1,0
Jozy Altidore,USA,Sunderland AFC,1,0
Sone Aluko,Nigeria,Hull City,1,0
Fernando Amorebieta,Venezuela,Fulham FC,1,0
Vurnon Anita,Netherlands,Newcastle United,1,0
 Antonio Luna,Spain,Aston Villa,1,0
Barry Bannan,Scotland,Crystal Palace,1,0
Asmir Begović,Bosnia-Herzegovina,Stoke City,1,0
Ryan Bennett,England,Norwich City,1,0
Gary Cahill,England,Chelsea FC,1,0
Étienne Capoue,France,Tottenham Hotspur,1,0
Michael Carrick,England,Manchester United,1,0
Lee Cattermole,England,Sunderland AFC,1,0
Nacer Chadli,Belgium,Tottenham Hotspur,1,0
James Chester,Wales,Hull City,1,0
Vlad Chiricheş,Romania,Tottenham Hotspur,1,0
Tom Cleverley,England,Manchester United,1,0
James Collins,Wales,West Ham United,1,0
Scott Dann,England,Crystal Palace,1,0
Chris David,Netherlands,Fulham FC,1,0
Mathieu Debuchy,France,Newcastle United,1,0
Jermain Defoe,England,Tottenham Hotspur,1,0
Damien Delaney,Ireland,Crystal Palace,1,0
Mousa Dembélé,Belgium,Tottenham Hotspur,1,0
Guy Demel,Ivory Coast,West Ham United,1,0
Stewart Downing,England,West Ham United,1,0
Paul Dummett,Wales,Newcastle United,1,0
Johan Elmander,Sweden,Norwich City,1,0
Marvin Emnes,Netherlands,Swansea City,1,0
Patrice Evra,France,Manchester United,1,0
Jon Flanagan,England,Liverpool FC,1,0
Daniel Gabbidon,Wales,Crystal Palace,1,0
Sam Gallagher,England,Southampton FC,1,0
Serge Gnabry,Germany,Arsenal FC,1,0
Danny Graham,England,Hull City,1,0
Aron Gunnarsson,Iceland,Cardiff City,1,0
John Heitinga,Netherlands,Everton FC,1,0
Grant Holt,England,Aston Villa,1,0
Wes Hoolahan,Ireland,Norwich City,1,0
Tom Ince,England,Crystal Palace,1,0
Mile Jedinak,Australia,Crystal Palace,1,1
Carl Jenkinson,England,Arsenal FC,1,0
Kenwyne Jones,Trinidad & Tobago,Cardiff City,1,0
Phil Jones,England,Manchester United,1,0
Younès Kaboul,France,Tottenham Hotspur,1,0
Alexander Kačaniklić,Sweden,Fulham FC,1,0
Bo-kyung Kim,South Korea,Cardiff City,1,0
Aleksandar Kolarov,Serbia,Manchester City,1,0
Sebastian Larsson,Sweden,Sunderland AFC,1,0
Aaron Lennon,England,Tottenham Hotspur,1,0
Diego Lugano,Uruguay,West Bromwich Albion,1,0
Modibo Maïga,Mali,West Ham United,1,0
Adrian Mariappa,Jamaica,Crystal Palace,1,0
James McCarthy,Ireland,Everton FC,1,0
John Mikel,Nigeria,Chelsea FC,1,0
James Milner,England,Manchester City,1,0
James Morrison,Scotland,West Bromwich Albion,1,1
Victor Moses,Nigeria,Liverpool FC,1,0
Mats Møller Dæhli,Norway,Cardiff City,1,0
Glenn Murray,England,Crystal Palace,1,1
Matija Nastasić,Serbia,Manchester City,1,0
Craig Noone,England,Cardiff City,1,0
Stuart O'Keefe,England,Crystal Palace,1,0
John O'Shea,Ireland,Sunderland AFC,1,0
Jonas Olsson,Sweden,West Bromwich Albion,1,0
Jermaine Pennant,England,Stoke City,1,0
Steven Pienaar,South Africa,Everton FC,1,0
Erik Pieters,Netherlands,Stoke City,1,0
Anthony Pilkington,Ireland,Norwich City,1,0
 Ramires,Brazil,Chelsea FC,1,0
Gastón Ramírez,Uruguay,Southampton FC,1,0
Nathan Redmond,England,Norwich City,1,0
Winston Reid,New Zealand,West Ham United,1,0
Liam Ridgewell,England,West Bromwich Albion,1,0
Danny Rose,England,Tottenham Hotspur,1,0
Liam Rosenior,England,Hull City,1,0
Bryan Ruiz,Costa Rica,Fulham FC,1,0
Bacary Sagna,France,Arsenal FC,1,0
Mamadou Sakho,France,Liverpool FC,1,0
 Sandro,Brazil,Tottenham Hotspur,1,0
Philippe Senderos,Switzerland,Fulham FC,1,0
Ryan Shawcross,England,Stoke City,1,0
Chris Smalling,England,Manchester United,1,0
Steven Taylor,England,Newcastle United,1,0
Alexander Tettey,Norway,Norwich City,1,0
Andros Townsend,England,Tottenham Hotspur,1,0
Ricky van Wolfswinkel,Netherlands,Norwich City,1,0
