player,country,team,goal,penalty
Kun Agüero,Argentina,Manchester City,26,5
Harry Kane,England,Tottenham Hotspur,21,2
 Diego Costa,Spain,Chelsea FC,20,1
Charlie Austin,England,Queens Park Rangers,18,3
Alexis Sánchez,Chile,Arsenal FC,16,0
Saido Berahino,Burundi,West Bromwich Albion,14,4
Olivier Giroud,France,Arsenal FC,14,0
Eden Hazard,Belgium,Chelsea FC,14,3
Christian Benteke,Belgium,Aston Villa,13,1
 David Silva,Spain,Manchester City,12,0
Mame Diouf,Senegal,Stoke City,12,0
Graziano Pellè,Italy,Southampton FC,12,0
Wayne Rooney,England,Manchester United,12,1
Wilfried Bony,Ivory Coast,Manchester City,11,1
Nacer Chadli,Belgium,Tottenham Hotspur,11,0
Papiss Demba Cissé,Senegal,Newcastle United,11,1
Danny Ings,England,Burnley FC,11,1
Leonardo Ulloa,Argentina,Leicester City,11,2
Christian Eriksen,Denmark,Tottenham Hotspur,10,0
Romelu Lukaku,Belgium,Everton FC,10,2
Sadio Mané,Senegal,Southampton FC,10,0
Diafra Sakho,Senegal,West Ham United,10,0
Yaya Touré,Ivory Coast,Manchester City,10,2
Robin van Persie,Netherlands,Manchester United,10,1
Steven Gerrard,England,Liverpool FC,9,4
 Mata,Spain,Manchester United,9,1
Peter Crouch,England,Stoke City,8,0
Nikica Jelavić,Croatia,Hull City,8,0
Sung-yueng Ki,South Korea,Swansea City,8,0
Jon Walters,Ireland,Stoke City,8,0
Charlie Adam,Scotland,Stoke City,7,1
 Ayoze Pérez,Spain,Newcastle United,7,0
Bafétimbi Gomis,France,Swansea City,7,0
Kevin Mirallas,Belgium,Everton FC,7,0
Glenn Murray,England,Crystal Palace,7,1
Steven Naismith,Scotland,Everton FC,7,0
Loïc Rémy,France,Chelsea FC,7,0
 Santi Cazorla,Spain,Arsenal FC,7,6
Gylfi Sigurðsson,Iceland,Swansea City,7,0
Raheem Sterling,England,Liverpool FC,7,0
Gabriel Agbonlahor,England,Aston Villa,6,0
 Ander Herrera,Spain,Manchester United,6,0
Stewart Downing,England,West Ham United,6,0
Marouane Fellaini,Belgium,Manchester United,6,0
Leroy Fer,Netherlands,Queens Park Rangers,6,0
Jordan Henderson,England,Liverpool FC,6,1
Frank Lampard,England,Manchester City,6,0
 Oscar,Brazil,Chelsea FC,6,0
Jason Puncheon,England,Crystal Palace,6,0
Aaron Ramsey,Wales,Arsenal FC,6,0
Ashley Barnes,England,Burnley FC,5,0
George Boyd,Scotland,Burnley FC,5,0
Esteban Cambiasso,Argentina,Leicester City,5,0
Andy Carroll,England,West Ham United,5,0
 Coutinho,Brazil,Liverpool FC,5,0
Steven Fletcher,Scotland,Sunderland AFC,5,0
Dwight Gayle,England,Crystal Palace,5,1
Mile Jedinak,Australia,Crystal Palace,5,3
Stevan Jovetić,Montenegro,Manchester City,5,0
Adam Lallana,England,Liverpool FC,5,0
Shane Long,Ireland,Southampton FC,5,0
James Milner,England,Manchester City,5,0
Dame N'Doye,Senegal,Hull City,5,0
David Nugent,England,Leicester City,5,1
John Terry,England,Chelsea FC,5,0
Jamie Vardy,England,Leicester City,5,0
Theo Walcott,England,Arsenal FC,5,0
Connor Wickham,England,Sunderland AFC,5,0
 Bojan,Spain,Stoke City,4,1
Yannick Bolasie,Congo DR,Crystal Palace,4,0
Fraizer Campbell,England,Crystal Palace,4,0
Jack Colback,England,Newcastle United,4,0
Jermain Defoe,England,Sunderland AFC,4,0
Momo Diamé,Senegal,Hull City,4,0
Didier Drogba,Ivory Coast,Chelsea FC,4,0
Edin Džeko,Bosnia-Herzegovina,Manchester City,4,0
Radamel Falcao,Colombia,Manchester United,4,0
Abel Hernández,Uruguay,Hull City,4,1
Brown Ideye,Nigeria,West Bromwich Albion,4,0
Branislav Ivanović,Serbia,Chelsea FC,4,0
Phil Jagielka,England,Everton FC,4,0
Adam Johnson,England,Sunderland AFC,4,1
 Jordi Gómez,Spain,Sunderland AFC,4,3
Cheikhou Kouyaté,Senegal,West Ham United,4,0
Riyad Mahrez,Algeria,Leicester City,4,0
Mesut Özil,Germany,Arsenal FC,4,0
Morgan Schneiderlin,France,Southampton FC,4,0
Moussa Sissoko,France,Newcastle United,4,0
Chris Smalling,England,Manchester United,4,0
Daniel Sturridge,England,Liverpool FC,4,0
Dušan Tadić,Serbia,Southampton FC,4,1
Enner Valencia,Ecuador,West Ham United,4,0
Danny Welbeck,England,Arsenal FC,4,0
Wilfried Zaha,Ivory Coast,Crystal Palace,4,0
Morgan Amalfitano,France,West Ham United,3,0
Victor Anichebe,Nigeria,West Bromwich Albion,3,0
 Cesc Fàbregas,Spain,Chelsea FC,3,0
Tom Cleverley,England,Aston Villa,3,0
Séamus Coleman,Ireland,Everton FC,3,0
Jack Cork,England,Southampton FC,3,0
Ángel Di María,Argentina,Manchester United,3,0
Nathan Dyer,England,Swansea City,3,0
Samuel Eto'o,Cameroon,Everton FC,3,0
 Fernandinho,Brazil,Manchester City,3,0
Craig Gardner,England,West Bromwich Albion,3,0
Laurent Koscielny,France,Arsenal FC,3,0
Sebastian Larsson,Sweden,Sunderland AFC,3,0
Victor Moses,Nigeria,Stoke City,3,1
Steven N'Zonzi,France,Stoke City,3,0
Matt Phillips,Scotland,Queens Park Rangers,3,0
Jack Rodwell,England,Sunderland AFC,3,0
Danny Rose,England,Tottenham Hotspur,3,0
Wayne Routledge,England,Swansea City,3,0
Jeffrey Schlupp,Ghana,Leicester City,3,0
André Schürrle,Germany,Chelsea FC,3,0
Jonjo Shelvey,England,Swansea City,3,1
Eduardo Vargas,Chile,Queens Park Rangers,3,0
Victor Wanyama,Kenya,Southampton FC,3,0
Andreas Weimann,Austria,Aston Villa,3,0
Bobby Zamora,England,Queens Park Rangers,3,0
Emmanuel Adebayor,Togo,Tottenham Hotspur,2,0
 Alberto Moreno,Spain,Liverpool FC,2,0
Marc Albrighton,England,Leicester City,2,0
Sammy Ameobi,England,Newcastle United,2,0
Scott Arfield,Canada,Burnley FC,2,0
Leighton Baines,England,Everton FC,2,2
Ross Barkley,England,Everton FC,2,0
Ryan Bertrand,England,Southampton FC,2,0
Daley Blind,Netherlands,Manchester United,2,0
Chris Brunt,Northern Ireland,West Bromwich Albion,2,0
Marouane Chamakh,Morocco,Crystal Palace,2,0
