Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Man City,38,28,5,5,93,29,64,89,384,56,5,666,399
2,Man United,38,28,5,5,89,33,56,89,367,51,1,592,369
3,Arsenal,38,21,7,10,74,49,25,70,374,67,4,585,352
4,Tottenham,38,20,9,9,66,41,25,69,340,45,3,635,373
5,Newcastle,38,19,8,11,56,51,5,65,387,67,2,451,255
6,Chelsea,38,18,10,10,65,46,19,64,403,75,4,616,334
7,Everton,38,15,11,12,50,40,10,56,449,61,1,474,253
8,Liverpool,38,14,10,14,47,40,7,52,366,56,5,612,330
9,Fulham,38,14,10,14,48,51,-3,52,350,54,0,489,301
10,West Brom,38,13,8,17,45,52,-7,47,385,48,1,470,264
11,Swansea,38,12,11,15,44,51,-7,47,309,40,2,420,241
12,Norwich,38,12,11,15,52,66,-14,47,384,59,3,474,254
13,Sunderland,38,11,12,15,45,46,-1,45,389,60,3,417,233
14,Stoke,38,11,12,15,36,53,-17,45,423,61,2,340,151
15,Wigan,38,11,10,17,42,62,-20,43,447,68,3,456,258
16,Aston Villa,38,7,17,14,37,53,-16,38,393,70,2,404,203
17,QPR,38,10,7,21,43,66,-23,37,389,57,9,494,264
18,Bolton,38,10,6,22,46,77,-31,36,429,51,5,447,275
19,Blackburn,38,8,7,23,48,78,-30,31,425,68,5,415,238
20,Wolves,38,5,10,23,40,82,-42,25,345,64,4,411,229
