Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Man United,38,23,11,4,78,37,41,80,396,58,3,543,310
2,Chelsea,38,21,8,9,69,33,36,71,405,59,1,635,344
3,Man City,38,21,8,9,60,33,27,71,454,74,5,477,276
4,Arsenal,38,19,11,8,72,43,29,68,432,68,6,595,342
5,Tottenham,38,16,14,8,55,46,9,62,361,51,2,560,321
6,Liverpool,38,17,7,14,59,44,15,58,436,63,2,475,268
7,Everton,38,13,15,10,51,45,6,54,459,58,5,509,286
8,Fulham,38,11,16,11,49,43,6,49,445,51,1,456,250
9,Aston Villa,38,12,12,14,48,59,-11,48,437,71,2,436,241
10,Sunderland,38,12,11,15,45,56,-11,47,403,59,5,450,230
11,West Brom,38,12,11,15,56,71,-15,47,391,54,7,523,287
12,Newcastle,38,11,13,14,56,57,-1,46,440,75,2,434,252
13,Stoke,38,13,7,18,46,48,-2,46,417,70,1,410,204
14,Bolton,38,12,10,16,52,56,-4,46,480,67,5,498,275
15,Blackburn,38,11,10,17,46,59,-13,43,455,65,4,385,191
16,Wigan,38,9,15,14,40,61,-21,42,461,68,4,450,253
17,Wolves,38,11,7,20,46,66,-20,40,438,63,2,371,207
18,Birmingham,38,8,15,15,37,58,-21,39,399,57,3,327,155
19,Blackpool,38,10,9,19,55,78,-23,39,403,47,2,446,235
20,West Ham,38,7,12,19,43,70,-27,33,406,58,1,469,246
