player,country,team,assists
Zlatan Ibrahimović,Sweden,AC Milan,4
Alberto Aquilani,Italy,Juventus,3
Antonio Cassano,Italy,AC Milan,3
 Alexandre Pato,Brazil,AC Milan,2
Jonathan Biabiany,France,Inter,2
Samuel Eto'o,Cameroon,Inter,2
Marek Hamšík,Slovakia,SSC Napoli,2
Angelo Palombo,Italy,Sampdoria,2
Ignazio Abate,Italy,AC Milan,1
 Ângelo,Brazil,Parma FC,1
Pablo Armero,Colombia,Udinese Calcio,1
Kevin-Prince Boateng,Ghana,AC Milan,1
Erjon Bogdani,Albania,AC Cesena,1
Marco Borriello,Italy,AC Milan,1
Cristian Brocchi,Italy,Lazio Roma,1
Paolo Cannavaro,Italy,SSC Napoli,1
Mattia Cassani,Italy,US Palermo,1
Luca Ceccarelli,Italy,AC Cesena,1
 Coutinho,Brazil,Inter,1
Hernán Crespo,Argentina,Parma FC,1
Daniele De Rossi,Italy,AS Roma,1
Antonio Di Natale,Italy,Udinese Calcio,1
Andrea Dossena,Italy,SSC Napoli,1
Gennaro Gattuso,Italy,AC Milan,1
Fabio Grosso,Italy,Juventus,1
Mauricio Isla,Chile,Udinese Calcio,1
Miloš Krasić,Serbia,Juventus,1
Adem Ljajić,Serbia,ACF Fiorentina,1
Christian Maggio,Italy,SSC Napoli,1
Guido Marilungo,Italy,Sampdoria,1
Jérémy Ménez,France,AS Roma,1
Philippe Mexès,France,AS Roma,1
Javier Pastore,Argentina,US Palermo,1
Giampaolo Pazzini,Italy,Inter,1
Simone Pepe,Italy,Juventus,1
David Pizarro,Chile,AS Roma,1
Fabio Quagliarella,Italy,Juventus,1
 Robinho,Brazil,AC Milan,1
 Ronaldinho,Brazil,AC Milan,1
Wesley Sneijder,Netherlands,Inter,1
Frederik Sørensen,Denmark,Juventus,1
 Thiago Motta,Italy,Inter,1
Francesco Valiani,Italy,Parma FC,1
Cristian Zaccardo,Italy,Parma FC,1
