player,country,team,goal,penalty
Mauro Icardi,Argentina,Inter,29,6
Ciro Immobile,Italy,Lazio Roma,29,7
Paulo Dybala,Argentina,Juventus,22,3
Fabio Quagliarella,Italy,Sampdoria,19,7
Dries Mertens,Belgium,SSC Napoli,18,4
Edin Džeko,Bosnia-Herzegovina,AS Roma,16,0
Gonzalo Higuaín,Argentina,Juventus,16,1
Giovanni Simeone,Argentina,ACF Fiorentina,14,0
 Iago Falqué,Spain,Torino FC,12,0
Roberto Inglese,Italy,Chievo Verona,12,1
Kevin Lasagna,Italy,Udinese Calcio,12,0
Sergej Milinković-Savić,Serbia,Lazio Roma,12,0
Mirco Antenucci,Italy,SPAL 2013 Ferrara,11,5
Josip Iličič,Slovenia,Atalanta,11,2
 Luis Alberto,Spain,Lazio Roma,11,1
Leonardo Pavoletti,Italy,Cagliari Calcio,11,0
Ivan Perišić,Croatia,Inter,11,0
Duván Zapata,Colombia,Sampdoria,11,0
Andrea Belotti,Italy,Torino FC,10,0
Patrick Cutrone,Italy,AC Milan,10,0
 José Callejón,Spain,SSC Napoli,10,0
Matteo Politano,Italy,Sassuolo Calcio,10,0
Simone Verdi,Italy,Bologna FC,10,2
Bryan Cristante,Italy,Atalanta,9,0
Sami Khedira,Germany,Juventus,9,0
Giacomo Bonaventura,Italy,AC Milan,8,0
Cheick Diabaté,Mali,Benevento Calcio,8,0
Lorenzo Insigne,Italy,SSC Napoli,8,1
Jordan Veretout,France,ACF Fiorentina,8,2
Antonín Barák,Czech Republic,Udinese Calcio,7,0
Stephan El Shaarawy,Italy,AS Roma,7,0
Marek Hamšík,Slovakia,SSC Napoli,7,0
Simeon Nwankwo,Nigeria,FC Crotone,7,0
Alberto Paloschi,Italy,SPAL 2013 Ferrara,7,0
Cyril Théréau,France,ACF Fiorentina,7,4
Marcello Trotta,Italy,FC Crotone,7,2
Cengiz Ünder,Turkey,AS Roma,7,0
Khouma Babacar,Senegal,ACF Fiorentina,6,3
Nicolò Barella,Italy,Cagliari Calcio,6,3
Ante Budimir,Croatia,FC Crotone,6,0
Hakan Çalhanoğlu,Turkey,AC Milan,6,0
Federico Chiesa,Italy,ACF Fiorentina,6,0
Stefan de Vrij,Netherlands,Lazio Roma,6,0
Mattia Destro,Italy,Bologna FC,6,0
Papu Gómez,Argentina,Atalanta,6,2
Nikola Kalinić,Croatia,AC Milan,6,0
Gianluca Lapadula,Italy,Genoa CFC,6,3
Adem Ljajić,Serbia,Torino FC,6,0
 Suso,Spain,AC Milan,6,0
Marco Benassi,Italy,ACF Fiorentina,5,0
Gianluca Caprari,Italy,Sampdoria,5,0
Lorenzo De Silvestri,Italy,Torino FC,5,0
Remo Freuler,Switzerland,Atalanta,5,0
 João Pedro,Brazil,Cagliari Calcio,5,1
Franck Kessié,Ivory Coast,AC Milan,5,3
Kalidou Koulibaly,Senegal,SSC Napoli,5,0
Dawid Kownacki,Poland,Sampdoria,5,0
Mario Mandžukić,Croatia,Juventus,5,0
Arkadiusz Milik,Poland,SSC Napoli,5,0
Joel Obi,Nigeria,Torino FC,5,0
Goran Pandev,Macedonia,Genoa CFC,5,0
Diego Perotti,Argentina,AS Roma,5,2
Miralem Pjanić,Bosnia-Herzegovina,Juventus,5,0
Mariusz Stępiński,Poland,Chievo Verona,5,0
 Alex Sandro,Brazil,Juventus,4,0
 Allan,Brazil,SSC Napoli,4,0
Daniele Baselli,Italy,Torino FC,4,0
 Bastos,Angola,Lazio Roma,4,0
Domenico Berardi,Italy,Sassuolo Calcio,4,2
Federico Bernardeschi,Italy,Juventus,4,0
Marcelo Brozović,Croatia,Inter,4,0
Martín Cáceres,Uruguay,Hellas Verona,4,0
Massimo Coda,Italy,Benevento Calcio,4,1
Juan Cuadrado,Colombia,Juventus,4,0
Rodrigo de Paul,Argentina,Udinese Calcio,4,4
 Douglas Costa,Brazil,Juventus,4,0
 Felipe Anderson,Brazil,Lazio Roma,4,0
Jakub Jankto,Czech Republic,Udinese Calcio,4,0
Moise Kean,Italy,Hellas Verona,4,0
Andrea Masiello,Italy,Atalanta,4,0
Radja Nainggolan,Belgium,AS Roma,4,0
M'Baye Niang,Senegal,Torino FC,4,0
Rodrigo Palacio,Argentina,Bologna FC,4,0
Marco Parolo,Italy,Lazio Roma,4,0
Giampaolo Pazzini,Italy,Hellas Verona,4,4
Andrea Petagna,Italy,Atalanta,4,0
Milan Škriniar,Slovakia,Inter,4,0
Lucas Torreira,Uruguay,Sampdoria,4,0
Piotr Zieliński,Poland,SSC Napoli,4,0
Musa Barrow,Gambia,Atalanta,3,0
Valter Birsa,Slovenia,Chievo Verona,3,0
Enrico Brignola,Italy,Benevento Calcio,3,0
Felipe Caicedo,Ecuador,Lazio Roma,3,0
Mattia Caldara,Italy,Atalanta,3,0
Lucas Castro,Argentina,Chievo Verona,3,0
Luca Ceppitelli,Italy,Cagliari Calcio,3,0
Alessio Cerci,Italy,Hellas Verona,3,1
Andreas Cornelius,Denmark,Atalanta,3,0
 Daniel Bessa,Italy,Genoa CFC,3,0
Marten de Roon,Netherlands,Atalanta,3,1
 Éder,Italy,Inter,3,0
Sergio Floccari,Italy,SPAL 2013 Ferrara,3,0
Seko Fofana,France,Udinese Calcio,3,1
Andrey Galabinov,Bulgaria,Genoa CFC,3,1
Emanuele Giaccherini,Italy,Chievo Verona,3,0
Alberto Grassi,Italy,SPAL 2013 Ferrara,3,0
Përparim Hetemaj,Finland,Chievo Verona,3,0
Jasmin Kurtić,Slovenia,Atalanta,3,0
Diego Laxalt,Uruguay,Genoa CFC,3,0
Karol Linetty,Poland,Sampdoria,3,0
Senad Lulić,Bosnia-Herzegovina,Lazio Roma,3,1
Adam Marušić,Montenegro,Lazio Roma,3,0
Alessandro Matri,Italy,Sassuolo Calcio,3,1
Blaise Matuidi,France,Juventus,3,0
 Nani,Portugal,Lazio Roma,3,0
Orji Okwonkwo,Nigeria,Bologna FC,3,0
Lorenzo Pellegrini,Italy,AS Roma,3,0
Erick Pulgar,Chile,Bologna FC,3,0
Gastón Ramírez,Uruguay,Sampdoria,3,0
 Raúl Albiol,Spain,SSC Napoli,3,0
 Rômulo,Italy,Hellas Verona,3,2
Marco Tumminello,Italy,AS Roma,3,0
Mattia Valoti,Italy,Hellas Verona,3,0
Matías Vecino,Uruguay,Inter,3,0
Federico Viviani,Italy,SPAL 2013 Ferrara,3,0
Silvan Widmer,Switzerland,Udinese Calcio,3,0
 André Silva,Portugal,AC Milan,2,0
Milan Badelj,Croatia,ACF Fiorentina,2,0
Andrea Barberis,Italy,FC Crotone,2,0
Medhi Benatia,Morocco,Juventus,2,0
Leonardo Bonucci,Italy,AC Milan,2,0
Fabio Borini,Italy,AC Milan,2,0
 Borja Valero,Spain,Inter,2,0
Fabrizio Cacciatore,Italy,Chievo Verona,2,0
Antonio Caracciolo,Italy,Hellas Verona,2,0
Amato Ciciretti,Italy,Benevento Calcio,2,0
Luca Cigarini,Italy,Cagliari Calcio,2,0
Danilo D'Ambrosio,Italy,Inter,2,0
Sebastien De Maio,France,Bologna FC,2,0
Godfred Donsah,Ghana,Bologna FC,2,0
Diego Falcinelli,Italy,ACF Fiorentina,2,0
Paolo Faragò,Italy,Cagliari Calcio,2,0
Davide Faraoni,Italy,FC Crotone,2,0
Federico Fazio,Argentina,AS Roma,2,0
Gianmarco Ferrari,Italy,Sampdoria,2,0
 Gerson,Brazil,AS Roma,2,0
Faouzi Ghoulam,Algeria,SSC Napoli,2,0
 Gil Dias,Portugal,ACF Fiorentina,2,0
 Guilherme,Brazil,Benevento Calcio,2,0
Pietro Iemmello,Italy,Benevento Calcio,2,1
 Iuri Medeiros,Portugal,Genoa CFC,2,0
 Jorginho,Italy,SSC Napoli,2,1
Aleksandar Kolarov,Serbia,AS Roma,2,0
Manuel Lazzari,Italy,SPAL 2013 Ferrara,2,0
Maxi López,Argentina,Udinese Calcio,2,1
 Lucas Leiva,Brazil,Lazio Roma,2,0
Rolando Mandragora,Italy,FC Crotone,2,0
Kostas Manolas,Greece,AS Roma,2,0
 Mário Rui,Portugal,SSC Napoli,2,0
Nicolas N'Koulou,Cameroon,Torino FC,2,0
Pietro Pellegri,Italy,Genoa CFC,2,0
Andrea Poli,Italy,Bologna FC,2,0
Manuel Pucciarelli,Italy,Chievo Verona,2,0
 Rafinha,Brazil,Inter,2,0
Andrea Ranocchia,Italy,Inter,2,0
Luca Rigoni,Italy,Genoa CFC,2,0
Luca Rizzo,Italy,Atalanta,2,0
Marcus Rohdén,Sweden,FC Crotone,2,0
Alessio Romagnoli,Italy,AC Milan,2,0
Daniele Rugani,Italy,Juventus,2,0
 Samir,Brazil,Udinese Calcio,2,0
Marco Sau,Italy,Cagliari Calcio,2,0
Patrik Schick,Czech Republic,AS Roma,2,0
Stefano Sensi,Italy,Sassuolo Calcio,2,0
Adrian Stoian,Romania,FC Crotone,2,0
Adel Taarabt,Morocco,Genoa CFC,2,0
Daniele Verde,Italy,Hellas Verona,2,0
Nicolas Viola,Italy,Benevento Calcio,2,0
Bruno Zuculini,Argentina,Hellas Verona,2,0
Ignazio Abate,Italy,AC Milan,1,0
Afriyie Acquah,Ghana,Torino FC,1,0
 Álex Berenguer,Spain,Torino FC,1,0
Ricardo Álvarez,Argentina,Sampdoria,1,0
Cristian Ansaldi,Argentina,Inter,1,0
Samuel Armenteros,Sweden,Benevento Calcio,1,0
Davide Astori,Italy,ACF Fiorentina,1,0
Edgar Barreto,Paraguay,Sampdoria,1,0
Samuel Bastien,Belgium,Chievo Verona,1,0
Valon Behrami,Switzerland,Udinese Calcio,1,0
Ahmad Benali,Libya,FC Crotone,1,0
Andrea Bertolacci,Italy,Genoa CFC,1,0
Lucas Biglia,Argentina,AC Milan,1,0
Cristiano Biraghi,Italy,ACF Fiorentina,1,0
Marco Borriello,Italy,SPAL 2013 Ferrara,1,0
Alberto Brignoli,Italy,Benevento Calcio,1,0
Davide Calabria,Italy,AC Milan,1,0
Francesco Cassata,Italy,Sassuolo Calcio,1,0
Danilo Cataldi,Italy,Benevento Calcio,1,0
Federico Ceccherini,Italy,FC Crotone,1,0
Thiago Rangel Cionek,Poland,SPAL 2013 Ferrara,1,0
Giovanni Crociata,Italy,FC Crotone,1,0
Marco D'Alessandro,Italy,Benevento Calcio,1,0
Bryan Dabo,France,ACF Fiorentina,1,0
 Danilo,Brazil,Udinese Calcio,1,0
Daniele De Rossi,Italy,AS Roma,1,0
