Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Juventus,38,29,4,5,75,20,55,91,571,90,6,599,215
2,Napoli,38,25,7,6,80,32,48,82,441,68,2,656,243
3,Roma,38,23,11,4,83,41,42,80,532,79,5,585,216
4,Inter,38,20,7,11,50,38,12,67,504,90,12,516,167
5,Fiorentina,38,18,10,10,60,42,18,64,536,93,3,573,180
6,Sassuolo,38,16,13,9,49,40,9,61,571,90,7,486,153
7,Milan,38,15,12,11,49,43,6,57,585,92,3,550,173
8,Lazio,38,15,9,14,52,52,0,54,594,94,10,511,147
9,Chievo,38,13,11,14,43,45,-2,50,632,104,4,423,129
10,Genoa,38,13,7,18,45,48,-3,46,632,82,9,468,149
11,Empoli,38,12,10,16,40,49,-9,46,507,92,6,477,148
12,Torino,38,12,9,17,52,55,-3,45,656,95,3,471,176
13,Atalanta,38,11,12,15,41,47,-6,45,636,95,14,454,137
14,Bologna,38,11,9,18,33,45,-12,42,535,88,7,387,114
15,Sampdoria,38,10,10,18,48,61,-13,40,551,102,7,430,152
16,Udinese,38,10,9,19,35,60,-25,39,575,98,7,444,145
17,Palermo,38,10,9,19,38,65,-27,39,621,96,6,412,122
18,Carpi,38,9,11,18,37,57,-20,38,634,105,6,426,132
19,Frosinone,38,8,7,23,35,76,-41,31,625,108,5,486,124
20,Verona,38,5,13,20,34,63,-29,28,612,88,7,451,142
