Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Juventus,38,30,5,3,86,24,62,95,425,66,1,554,205
2,Napoli,38,28,7,3,77,29,48,91,349,58,3,652,256
3,Roma,38,23,8,7,61,28,33,77,396,48,4,644,213
4,Lazio,38,21,9,8,89,49,40,72,435,77,6,554,216
5,Inter,38,20,12,6,66,30,36,72,453,69,1,570,206
6,Milan,38,18,10,10,56,42,14,64,498,75,7,609,224
7,Atalanta,38,16,12,10,57,39,18,60,491,67,4,573,197
8,Fiorentina,38,16,9,13,54,46,8,57,547,88,6,616,193
9,Torino,38,13,15,10,54,46,8,54,565,78,4,443,156
10,Sampdoria,38,16,6,16,56,60,-4,54,424,69,2,476,172
11,Sassuolo,38,11,10,17,29,59,-30,43,483,89,7,495,143
12,Genoa,38,11,8,19,33,43,-10,41,560,76,5,411,126
13,Udinese,38,12,4,22,48,63,-15,40,529,72,4,444,139
14,Chievo,38,10,10,18,36,59,-23,40,479,75,4,386,135
15,Bologna,38,11,6,21,40,52,-12,39,480,102,6,353,123
16,Cagliari,38,11,6,21,33,61,-28,39,607,96,6,371,120
17,Spal,38,8,14,16,39,59,-20,38,476,102,4,368,115
18,Crotone,38,9,8,21,40,66,-26,35,504,66,2,379,135
19,Verona,38,7,4,27,30,78,-48,25,519,96,6,357,101
20,Benevento,38,6,3,29,33,84,-51,21,490,78,7,466,146
