Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Bayern Munich,34,29,4,1,98,18,80,91,440,35,1,578,254
2,Dortmund,34,19,9,6,81,42,39,66,456,43,4,543,223
3,Leverkusen,34,19,8,7,65,39,26,65,516,61,2,556,218
4,Schalke 04,34,16,7,11,58,50,8,55,501,55,3,495,198
5,Freiburg,34,14,9,11,45,40,5,51,515,56,3,442,162
6,Ein Frankfurt,34,14,9,11,49,46,3,51,526,62,2,426,132
7,Hamburg,34,14,6,14,42,53,-11,48,603,67,4,435,163
8,M'gladbach,34,12,11,11,45,49,-4,47,455,57,1,353,125
9,Hannover,34,13,6,15,60,62,-2,45,536,74,4,354,137
10,Nurnberg,34,11,11,12,39,47,-8,44,581,68,2,365,134
11,Wolfsburg,34,10,13,11,47,52,-5,43,595,59,4,383,147
12,Stuttgart,34,12,7,15,37,55,-18,43,561,71,7,379,148
13,Mainz,34,10,12,12,42,44,-2,42,515,69,4,362,115
14,Werder Bremen,34,8,10,16,50,66,-16,34,543,55,6,487,172
15,Augsburg,34,8,9,17,33,51,-18,33,564,69,2,466,150
16,Hoffenheim,34,8,7,19,42,67,-25,31,578,73,5,409,155
17,Fortuna Dusseldorf,34,7,9,18,39,57,-18,30,516,76,3,315,104
18,Greuther Furth,34,4,9,21,26,60,-34,21,651,76,6,360,118
