player,country,team,assists
Henrikh Mkhitaryan,Armenia,Borussia Dortmund,16
Zlatko Junuzović,Austria,Werder Bremen,12
Karim Bellarabi,Germany,Bayer Leverkusen,11
 Douglas Costa,Brazil,Bayern München,11
Lars Stindl,Germany,Bor. Mönchengladbach,11
 Raffael,Brazil,Bor. Mönchengladbach,10
Mahmoud Dahoud,Germany,Bor. Mönchengladbach,9
Shinji Kagawa,Japan,Borussia Dortmund,8
Kevin Volland,Germany,1899 Hoffenheim,8
Gonzalo Castro,Germany,Borussia Dortmund,7
Filip Kostić,Serbia,VfB Stuttgart,7
Max Kruse,Germany,VfL Wolfsburg,7
Max Meyer,Germany,FC Schalke 04,7
 Caiuby,Brazil,FC Augsburg,6
Kingsley Coman,France,Bayern München,6
Julian Draxler,Germany,FC Schalke 04,6
Matthias Ginter,Germany,Borussia Dortmund,6
Pascal Groß,Germany,FC Ingolstadt 04,6
 Jairo,Spain,1. FSV Mainz 05,6
Hiroshi Kiyotake,Japan,Hannover 96,6
Admir Mehmedi,Switzerland,Bayer Leverkusen,6
Thomas Müller,Germany,Bayern München,6
Marcel Risse,Germany,1. FC Köln,6
Lukas Rupp,Germany,VfB Stuttgart,6
Leroy Sané,Germany,FC Schalke 04,6
Stefan Aigner,Germany,Eintracht Frankfurt,5
Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,5
Hakan Çalhanoğlu,Turkey,Bayer Leverkusen,5
Daniel Caligiuri,Germany,VfL Wolfsburg,5
Johannes Geis,Germany,FC Schalke 04,5
Marcel Heller,Germany,SV Darmstadt 98,5
Alexandru Maxim,Romania,VfB Stuttgart,5
Anthony Modeste,France,1. FC Köln,5
Nicolai Müller,Germany,Hamburger SV,5
Marvin Plattenhardt,Germany,Hertha BSC,5
Konstantin Rausch,Russia,SV Darmstadt 98,5
Marcel Schmelzer,Germany,Borussia Dortmund,5
André Schürrle,Germany,VfL Wolfsburg,5
Haris Seferović,Switzerland,Eintracht Frankfurt,5
Eduardo Vargas,Chile,1899 Hoffenheim,5
Arturo Vidal,Chile,Bayern München,5
 Vieirinha,Portugal,VfL Wolfsburg,5
Mitchell Weiser,Germany,Hertha BSC,5
Nadiem Amiri,Germany,1899 Hoffenheim,4
Leonardo Bittencourt,Germany,1. FC Köln,4
Danny da Costa,Germany,FC Ingolstadt 04,4
Pablo de Blasis,Argentina,1. FSV Mainz 05,4
Daniel Didavi,Germany,VfB Stuttgart,4
Santiago García,Argentina,Werder Bremen,4
Yannick Gerhardt,Germany,1. FC Köln,4
Jérôme Gondorf,Germany,SV Darmstadt 98,4
Thorgan Hazard,Belgium,Bor. Mönchengladbach,4
Jonas Hector,Germany,1. FC Köln,4
Klaas Jan Huntelaar,Netherlands,FC Schalke 04,4
Vedad Ibišević,Bosnia-Herzegovina,Hertha BSC,4
