player,country,team,goal,penalty
Robert Lewandowski,Poland,Bayern München,29,6
Nils Petersen,Germany,SC Freiburg,15,5
Niclas Füllkrug,Germany,Hannover 96,14,3
Mark Uth,Germany,1899 Hoffenheim,14,0
Kevin Volland,Germany,Bayer Leverkusen,14,0
Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,13,3
Michael Gregoritsch,Austria,FC Augsburg,13,1
Andrej Kramarić,Croatia,1899 Hoffenheim,13,2
Timo Werner,Germany,RB Leipzig,13,2
Alfreð Finnbogason,Iceland,FC Augsburg,12,3
Salomon Kalou,Ivory Coast,Hertha BSC,12,1
Sandro Wagner,Germany,1899 Hoffenheim,12,1
Guido Burgstaller,Austria,FC Schalke 04,11,0
Serge Gnabry,Germany,1899 Hoffenheim,10,0
Thorgan Hazard,Belgium,Bor. Mönchengladbach,10,5
Davie Selke,Germany,Hertha BSC,10,1
Lucas Alario,Argentina,Bayer Leverkusen,9,1
Jean-Kévin Augustin,France,RB Leipzig,9,1
Leon Bailey,Jamaica,Bayer Leverkusen,9,0
Julian Brandt,Germany,Bayer Leverkusen,9,0
Daniel Didavi,Germany,VfL Wolfsburg,9,0
Mario Gomez,Germany,VfB Stuttgart,9,0
Sébastien Haller,France,Eintracht Frankfurt,9,2
Martin Harnik,Austria,Hannover 96,9,0
Maximilian Philipp,Germany,Borussia Dortmund,9,0
 Raffael,Brazil,Bor. Mönchengladbach,9,1
Luka Jović,Serbia,Eintracht Frankfurt,8,0
Thomas Müller,Germany,Bayern München,8,0
Yoshinori Mutō,Japan,1. FSV Mainz 05,8,0
Michy Batshuayi,Belgium,Borussia Dortmund,7,0
Daniel Ginczek,Germany,VfB Stuttgart,7,1
 Naldo,Brazil,FC Schalke 04,7,0
Marco Reus,Germany,Borussia Dortmund,7,0
James Rodríguez,Colombia,Bayern München,7,0
Simon Terodde,Germany,1. FC Köln,7,1
Kevin-Prince Boateng,Ghana,Eintracht Frankfurt,6,0
Daniel Caligiuri,Germany,FC Schalke 04,6,3
Lewis Holtby,Germany,Hamburger SV,6,0
Vedad Ibišević,Bosnia-Herzegovina,Hertha BSC,6,2
Naby Keïta,Guinea,RB Leipzig,6,0
Max Kruse,Germany,Werder Bremen,6,0
Divock Origi,Belgium,VfL Wolfsburg,6,0
Ante Rebić,Croatia,Eintracht Frankfurt,6,0
Lars Stindl,Germany,Bor. Mönchengladbach,6,0
Corentin Tolisso,France,Bayern München,6,0
Arturo Vidal,Chile,Bayern München,6,0
Chadrac Akolo,Congo DR,VfB Stuttgart,5,0
Ihlas Bebou,Togo,Hannover 96,5,0
Leonardo Bittencourt,Germany,1. FC Köln,5,0
 Caiuby,Brazil,FC Augsburg,5,0
Pablo de Blasis,Argentina,1. FSV Mainz 05,5,3
Matthias Ginter,Germany,Bor. Mönchengladbach,5,0
Shinji Kagawa,Japan,Borussia Dortmund,5,0
Filip Kostić,Serbia,Hamburger SV,5,0
Mathew Leckie,Australia,Hertha BSC,5,0
