player,country,team,goal,penalty
Zlatan Ibrahimović,Sweden,Paris Saint-Germain,26,7
Vincent Aboubakar,Cameroon,FC Lorient,16,2
Wissam Ben Yedder,France,Toulouse FC,16,2
Edinson Cavani,Uruguay,Paris Saint-Germain,16,2
André-Pierre Gignac,France,Olympique Marseille,16,1
Salomon Kalou,Ivory Coast,Lille OSC,16,5
Alexandre Lacazette,France,Olympique Lyon,15,0
Rémy Cabella,France,Montpellier HSC,14,3
Bafétimbi Gomis,France,Olympique Lyon,14,1
Cheick Diabaté,Mali,Girondins Bordeaux,12,1
Mevlüt Erdinç,Turkey,AS Saint-Étienne,12,1
Mustapha Yatabaré,Mali,EA Guingamp,11,2
Kévin Bérigaud,France,Évian Thonon Gaillard,10,0
Prince Oniangué,Congo,Stade Reims,10,0
Emmanuel Rivière,France,AS Monaco,10,0
Filip Đorđević,Serbia,FC Nantes,9,0
Radamel Falcao,Colombia,AS Monaco,9,2
Romain Hamouma,France,AS Saint-Étienne,9,0
 Jussiê,Brazil,Girondins Bordeaux,9,2
Ezequiel Lavezzi,Argentina,Paris Saint-Germain,9,0
James Rodríguez,Colombia,AS Monaco,9,2
Nolan Roux,France,Lille OSC,9,0
Majeed Waris,Ghana,Valenciennes FC,9,1
Daniel Wass,Denmark,Évian Thonon Gaillard,9,0
Jérémie Aliadiére,France,FC Lorient,8,2
Gianni Bruno,Belgium,SC Bastia,8,1
Darío Cvitanich,Argentina,OGC Nice,8,2
Serge Gakpé,Togo,FC Nantes,8,0
 Nélson Oliveira,Portugal,Stade Rennes,8,1
Dimitri Payet,France,Olympique Marseille,8,0
Junior Tallo,Ivory Coast,AC Ajaccio,8,0
Florian Thauvin,France,Olympique Marseille,8,0
Cédric Bakambu,Congo DR,FC Sochaux,7,1
Martin Braithwaite,Denmark,Toulouse FC,7,1
Benjamin Corgnet,France,AS Saint-Étienne,7,0
Ola Toivonen,Sweden,Stade Rennes,7,0
Romain Alessandrini,France,Stade Rennes,6,1
Serge Aurier,Ivory Coast,Toulouse FC,6,0
André Ayew,Ghana,Olympique Marseille,6,1
Jordan Ayew,Ghana,FC Sochaux,6,0
Dimitar Berbatov,Bulgaria,AS Monaco,6,0
Jimmy Briand,France,Olympique Lyon,6,0
Abdoulaye Doucouré,France,Stade Rennes,6,0
Yann Jouffre,France,FC Lorient,6,2
Foued Kadir,Algeria,Olympique Marseille,6,0
Wahbi Khazri,Tunisia,SC Bastia,6,1
