Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Paris SG,38,27,8,3,84,23,61,89,450,61,1,593,234
2,Monaco,38,23,11,4,63,31,32,80,538,61,0,530,188
3,Lille,38,20,11,7,46,26,20,71,531,55,6,497,180
4,St Etienne,38,20,9,9,56,34,22,69,546,67,2,490,177
5,Lyon,38,17,10,11,56,44,12,61,555,52,7,490,178
6,Marseille,38,16,12,10,53,40,13,60,530,59,0,524,192
7,Bordeaux,38,13,14,11,49,43,6,53,502,50,6,452,169
8,Nantes,38,13,10,15,40,43,-3,49,536,55,4,407,132
9,Lorient,38,13,10,15,48,53,-5,49,448,48,6,439,155
10,Toulouse,38,12,13,13,46,53,-7,49,518,76,5,438,167
11,Reims,38,12,12,14,44,52,-8,48,532,56,3,435,141
12,Rennes,38,11,13,14,47,45,2,46,442,47,4,393,147
13,Bastia,38,12,10,16,42,58,-16,46,514,61,6,398,138
14,Evian Thonon Gaillard,38,11,11,16,39,51,-12,44,530,64,5,406,138
15,Montpellier,38,8,18,12,45,53,-8,42,481,59,14,439,144
16,Guingamp,38,11,9,18,34,42,-8,42,554,61,5,439,139
17,Nice,38,12,6,20,30,44,-14,42,505,58,5,364,118
18,Sochaux,38,10,10,18,37,61,-24,40,567,70,5,429,145
19,Valenciennes,38,7,8,23,37,65,-28,29,543,61,2,417,141
20,Ajaccio,38,4,11,23,37,72,-35,23,620,70,4,352,116
