player,country,team,goal,penalty
Harry Kane,England,Tottenham Hotspur,25,5
Kun Agüero,Argentina,Manchester City,24,4
Jamie Vardy,England,Leicester City,24,5
Romelu Lukaku,Belgium,Everton FC,18,1
Riyad Mahrez,Algeria,Leicester City,17,4
Olivier Giroud,France,Arsenal FC,16,1
Odion Ighalo,Nigeria,Watford FC,16,0
Jermain Defoe,England,Sunderland AFC,15,1
Troy Deeney,England,Watford FC,13,6
Alexis Sánchez,Chile,Arsenal FC,13,0
André Ayew,Ghana,Swansea City,12,0
 Diego Costa,Spain,Chelsea FC,12,0
Marko Arnautović,Austria,Stoke City,11,3
Sadio Mané,Senegal,Southampton FC,11,0
Anthony Martial,France,Manchester United,11,0
Graziano Pellè,Italy,Southampton FC,11,0
Gylfi Sigurðsson,Iceland,Swansea City,11,3
Georginio Wijnaldum,Netherlands,Newcastle United,11,1
Dele Alli,England,Tottenham Hotspur,10,0
Shane Long,Ireland,Southampton FC,10,0
 Roberto Firmino,Brazil,Liverpool FC,10,0
Christian Benteke,Belgium,Liverpool FC,9,1
Andy Carroll,England,West Ham United,9,1
Aleksandar Mitrović,Serbia,Newcastle United,9,2
Dimitri Payet,France,West Ham United,9,0
Salomón Rondón,Venezuela,West Bromwich Albion,9,0
Michail Antonio,England,West Ham United,8,0
Ross Barkley,England,Everton FC,8,2
 Coutinho,Brazil,Liverpool FC,8,0
Kelechi Iheanacho,Nigeria,Manchester City,8,0
Wayne Rooney,England,Manchester United,8,1
Daniel Sturridge,England,Liverpool FC,8,0
Dušan Tadić,Serbia,Southampton FC,8,1
Jordan Ayew,Ghana,Aston Villa,7,1
 Bojan,Spain,Stoke City,7,2
Kevin De Bruyne,Belgium,Manchester City,7,0
Dieumerci Mbokani,Congo DR,Norwich City,7,0
Mark Noble,England,West Ham United,7,3
 Pedro,Spain,Chelsea FC,7,0
 Ayoze Pérez,Spain,Newcastle United,6,0
Christian Eriksen,Denmark,Tottenham Hotspur,6,0
Bafétimbi Gomis,France,Swansea City,6,1
Joshua King,Norway,AFC Bournemouth,6,0
Manuel Lanzini,Argentina,West Ham United,6,0
 Mata,Spain,Manchester United,6,1
Mesut Özil,Germany,Arsenal FC,6,0
Nathan Redmond,England,Norwich City,6,0
Raheem Sterling,England,Manchester City,6,0
Yaya Touré,Ivory Coast,Manchester City,6,1
Leonardo Ulloa,Argentina,Leicester City,6,1
Patrick van Aanholt,Netherlands,Sunderland AFC,6,0
Yannick Bolasie,Congo DR,Crystal Palace,5,0
Fabio Borini,Italy,Sunderland AFC,5,1
Yohan Cabaye,France,Crystal Palace,5,3
 Cesc Fàbregas,Spain,Chelsea FC,5,2
Scott Dann,England,Crystal Palace,5,0
Steven Davis,Northern Ireland,Southampton FC,5,0
Mame Diouf,Senegal,Stoke City,5,0
Rudy Gestede,Benin,Aston Villa,5,0
Arouna Koné,Ivory Coast,Everton FC,5,0
Cheikhou Kouyaté,Senegal,West Ham United,5,0
Érik Lamela,Argentina,Tottenham Hotspur,5,0
Aaron Lennon,England,Everton FC,5,0
James Milner,England,Liverpool FC,5,1
Shinji Okazaki,Japan,Leicester City,5,0
Divock Origi,Belgium,Liverpool FC,5,0
Aaron Ramsey,Wales,Arsenal FC,5,0
Marcus Rashford,England,Manchester United,5,0
Diafra Sakho,Senegal,West Ham United,5,0
Theo Walcott,England,Arsenal FC,5,0
Jon Walters,Ireland,Stoke City,5,0
Connor Wickham,England,Crystal Palace,5,1
 Willian,Brazil,Chelsea FC,5,0
Callum Wilson,England,AFC Bournemouth,5,1
Benik Afobe,Congo DR,AFC Bournemouth,4,0
Toby Alderweireld,Belgium,Tottenham Hotspur,4,0
Saido Berahino,Burundi,West Bromwich Albion,4,0
Wilfried Bony,Ivory Coast,Manchester City,4,0
Steve Cook,England,AFC Bournemouth,4,0
Craig Dawson,England,West Bromwich Albion,4,0
Steven Fletcher,Scotland,Sunderland AFC,4,0
Ramiro Funes Mori,Argentina,Everton FC,4,0
Eden Hazard,Belgium,Chelsea FC,4,0
Wes Hoolahan,Ireland,Norwich City,4,1
 Joselu,Spain,Stoke City,4,0
Laurent Koscielny,France,Arsenal FC,4,0
Adam Lallana,England,Liverpool FC,4,0
Jesse Lingard,England,Manchester United,4,0
Kevin Mirallas,Belgium,Everton FC,4,0
Steven Naismith,Scotland,Everton FC,4,0
Matt Ritchie,Scotland,AFC Bournemouth,4,0
Heung-min Son,South Korea,Tottenham Hotspur,4,0
Andros Townsend,England,Newcastle United,4,0
Enner Valencia,Ecuador,West Ham United,4,0
Danny Welbeck,England,Arsenal FC,4,0
 Ander Herrera,Spain,Manchester United,3,1
Robbie Brady,Ireland,Norwich City,3,0
Joel Campbell,Costa Rica,Arsenal FC,3,0
Nacer Chadli,Belgium,Tottenham Hotspur,3,0
Papiss Demba Cissé,Senegal,Newcastle United,3,0
Charlie Daniels,England,AFC Bournemouth,3,2
Mousa Dembélé,Belgium,Tottenham Hotspur,3,0
Eric Dier,England,Tottenham Hotspur,3,0
Danny Drinkwater,England,Leicester City,3,0
Craig Gardner,England,West Bromwich Albion,3,0
Dwight Gayle,England,Crystal Palace,3,0
Dan Gosling,England,AFC Bournemouth,3,0
Jonny Howson,England,Norwich City,3,0
Robert Huth,Germany,Leicester City,3,0
Cameron Jerome,England,Norwich City,3,0
Aleksandar Kolarov,Serbia,Manchester City,3,0
Jeremain Lens,Netherlands,Sunderland AFC,3,0
Joleon Lescott,England,Aston Villa,3,0
Russell Martin,Scotland,Norwich City,3,0
James Morrison,Scotland,West Bromwich Albion,3,0
Glenn Murray,England,AFC Bournemouth,3,0
 Oscar,Brazil,Chelsea FC,3,1
Marc Pugh,England,AFC Bournemouth,3,0
Xherdan Shaqiri,Switzerland,Stoke City,3,0
Junior Stanislas,England,AFC Bournemouth,3,0
Virgil van Dijk,Netherlands,Southampton FC,3,0
Duncan Watmore,England,Sunderland AFC,3,0
Mauro Zárate,Argentina,West Ham United,3,0
