Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Juventus,38,27,6,5,71,24,47,87,490,76,1,697,257
2,Napoli,38,23,9,6,73,36,37,78,519,88,0,574,222
3,Milan,38,21,9,8,67,39,28,72,540,89,7,638,232
4,Fiorentina,38,21,7,10,72,44,28,70,519,89,3,613,207
5,Udinese,38,18,12,8,59,45,14,66,562,84,6,443,158
6,Lazio,38,18,7,13,51,42,9,61,613,79,8,514,178
7,Roma,37,17,8,12,68,56,12,59,506,86,8,608,214
8,Catania,38,15,11,12,50,46,4,56,666,90,8,469,148
9,Inter,38,16,6,16,55,57,-2,54,493,81,4,551,185
10,Parma,38,13,10,15,45,46,-1,49,665,106,3,535,177
11,Cagliari,37,12,11,14,43,52,-9,47,668,107,9,461,145
12,Chievo,38,12,9,17,37,52,-15,45,633,95,4,376,116
13,Bologna,38,11,11,16,46,52,-6,44,660,103,4,503,150
14,Sampdoria,38,11,10,17,43,51,-8,43,537,85,10,430,138
15,Atalanta,38,11,9,18,39,56,-17,42,585,105,13,409,129
16,Torino,38,8,16,14,46,55,-9,40,557,79,6,422,145
17,Genoa,38,8,14,16,38,52,-14,38,614,101,4,451,161
18,Siena,38,9,9,20,36,57,-21,36,592,92,6,351,109
19,Palermo,38,6,14,18,34,54,-20,32,574,90,8,511,165
20,Pescara,38,6,4,28,27,84,-57,22,610,94,8,400,119
